model,method,cv_balanced,cv_macro_f1,cv_weighted_f1,cv_accuracy,cv_balanced_std,cv_macro_f1_std,cv_weighted_f1_std,cv_accuracy_std,optuna_time,train_time,test_balanced,test_macro_f1,test_weighted_f1,test_accuracy,test_roc_auc,inf_time_per_sample,IPC,seed,vae_pretrain_time,vae_fine_tunning_time,encoder_inference_time,decoder_inference_time
xgb,random,0.95,0.947,0.947,0.95,0.1,0.107,0.107,0.1,4.492,0.052,0.83,0.793,0.885,0.878,0.883,1.8e-05,10,0,,,,
rf,random,0.8,0.793,0.793,0.8,0.187,0.189,0.189,0.187,13.007,0.326,0.79,0.709,0.822,0.8,0.867,2.3e-05,10,0,,,,
svc,random,0.65,0.6,0.6,0.65,0.255,0.292,0.292,0.255,2.57,0.002,0.71,0.648,0.785,0.759,0.794,2e-06,10,0,,,,
logreg,random,0.65,0.6,0.6,0.65,0.255,0.292,0.292,0.255,6.25,0.343,0.775,0.724,0.84,0.826,0.851,1e-06,10,0,,,,
mlp,random,0.55,0.52,0.52,0.55,0.245,0.261,0.261,0.245,4.713,0.03,0.768,0.726,0.844,0.832,0.829,8.1e-05,10,0,,,,
xgb,k-means,0.95,0.947,0.947,0.95,0.1,0.107,0.107,0.1,6.642,0.031,0.812,0.806,0.897,0.896,0.877,2e-06,10,0,224.22787046432495,0,8.773597455340548e-07,0.0013704299926757812
rf,k-means,0.9,0.893,0.893,0.9,0.122,0.131,0.131,0.122,15.979,0.301,0.707,0.655,0.794,0.772,0.8,2.4e-05,10,0,224.22787046432495,0,8.773597455340548e-07,0.0013704299926757812
svc,k-means,0.95,0.947,0.947,0.95,0.1,0.107,0.107,0.1,6.999,0.002,0.816,0.749,0.852,0.838,0.895,3e-06,10,0,224.22787046432495,0,8.773597455340548e-07,0.0013704299926757812
logreg,k-means,0.95,0.947,0.947,0.95,0.1,0.107,0.107,0.1,4.052,0.006,0.829,0.766,0.864,0.852,0.897,1e-06,10,0,224.22787046432495,0,8.773597455340548e-07,0.0013704299926757812
mlp,k-means,0.8,0.787,0.787,0.8,0.1,0.107,0.107,0.1,4.914,0.02,0.809,0.728,0.834,0.815,0.896,5.9e-05,10,0,224.22787046432495,0,8.773597455340548e-07,0.0013704299926757812
xgb,ag,0.95,0.947,0.947,0.95,0.1,0.107,0.107,0.1,4.47,0.034,0.814,0.796,0.89,0.887,0.862,8e-06,10,0,224.22787046432495,0,8.773597455340548e-07,0.0015301704406738281
rf,ag,0.9,0.893,0.893,0.9,0.122,0.131,0.131,0.122,15.817,0.191,0.741,0.658,0.783,0.754,0.809,1.1e-05,10,0,224.22787046432495,0,8.773597455340548e-07,0.0015301704406738281
svc,ag,0.95,0.947,0.947,0.95,0.1,0.107,0.107,0.1,3.292,0.001,0.7,0.641,0.78,0.753,0.799,2e-06,10,0,224.22787046432495,0,8.773597455340548e-07,0.0015301704406738281
logreg,ag,0.9,0.893,0.893,0.9,0.122,0.131,0.131,0.122,7.306,0.009,0.751,0.665,0.788,0.759,0.784,0.0,10,0,224.22787046432495,0,8.773597455340548e-07,0.0015301704406738281
mlp,ag,0.65,0.633,0.633,0.65,0.255,0.268,0.268,0.255,7.794,0.049,0.684,0.634,0.779,0.755,0.777,2.6e-05,10,0,224.22787046432495,0,8.773597455340548e-07,0.0015301704406738281
xgb,k_center,0.8,0.787,0.787,0.8,0.1,0.107,0.107,0.1,6.359,0.053,0.829,0.792,0.884,0.878,0.807,2e-06,10,0,224.22787046432495,0,8.773597455340548e-07,0.0013446807861328125
rf,k_center,0.65,0.613,0.613,0.65,0.2,0.232,0.232,0.2,16.294,0.442,0.502,0.201,0.155,0.206,0.736,2.4e-05,10,0,224.22787046432495,0,8.773597455340548e-07,0.0013446807861328125
svc,k_center,0.75,0.707,0.707,0.75,0.158,0.213,0.213,0.158,7.14,0.001,0.656,0.494,0.589,0.531,0.314,4e-06,10,0,224.22787046432495,0,8.773597455340548e-07,0.0013446807861328125
logreg,k_center,0.6,0.58,0.58,0.6,0.2,0.21,0.21,0.2,5.95,0.005,0.623,0.462,0.551,0.493,0.659,1e-06,10,0,224.22787046432495,0,8.773597455340548e-07,0.0013446807861328125
mlp,k_center,0.55,0.533,0.533,0.55,0.187,0.197,0.197,0.187,8.368,0.034,0.598,0.366,0.403,0.371,0.645,6e-06,10,0,224.22787046432495,0,8.773597455340548e-07,0.0013446807861328125
xgb,craig,0.7,0.6,0.6,0.7,0.245,0.327,0.327,0.245,4.185,0.029,0.5,0.458,0.774,0.845,0.774,1.9e-05,10,0,224.22787046432495,0,8.773597455340548e-07,0.0018358230590820312
rf,craig,0.7,0.6,0.6,0.7,0.245,0.327,0.327,0.245,14.185,0.303,0.5,0.458,0.774,0.845,0.5,1.7e-05,10,0,224.22787046432495,0,8.773597455340548e-07,0.0018358230590820312
svc,craig,0.7,0.6,0.6,0.7,0.245,0.327,0.327,0.245,7.053,0.001,0.5,0.458,0.774,0.845,0.264,2e-06,10,0,224.22787046432495,0,8.773597455340548e-07,0.0018358230590820312
logreg,craig,0.8,0.733,0.733,0.8,0.245,0.327,0.327,0.245,4.531,0.007,0.693,0.638,0.78,0.755,0.753,1e-06,10,0,224.22787046432495,0,8.773597455340548e-07,0.0018358230590820312
