Administrative,Administrative_Duration,Informational,Informational_Duration,ProductRelated,ProductRelated_Duration,BounceRates,ExitRates,PageValues,SpecialDay,Month,OperatingSystems,Browser,Region,TrafficType,VisitorType,Weekend,Revenue
1.6700357,49.775425,0.18226026,8.236406,24.832432,903.1718,0.011663986,0.035503816,1.2999156,0.0023658935,May,2,2,1,1,Returning_Visitor,False,False
1.748737,45.815365,0.1366479,5.578516,19.039463,668.93866,0.012693453,0.036629252,0.47103807,0.0025080207,May,2,2,1,3,Returning_Visitor,False,False
2.29202,65.58134,0.23997246,10.861553,24.581888,878.2469,0.007914234,0.029128648,1.5954292,0.00048985955,Dec,2,2,1,2,Returning_Visitor,False,False
0.052257903,5.3589168,0.016352214,0.36842912,3.0935006,122.313065,0.16110304,0.17772126,-0.10737828,0.027100345,May,2,2,1,1,Returning_Visitor,False,False
2.022307,55.21023,0.28243646,13.063261,26.569605,952.2486,0.0048774215,0.024625793,1.3016226,0.0012996929,Nov,2,2,1,2,Returning_Visitor,False,False
1.9529942,61.01015,0.27085108,12.532036,26.05179,905.17804,0.012386702,0.032808606,1.3848369,0.0051234313,May,2,2,6,2,Returning_Visitor,False,False
2.505463,83.34836,0.51558614,20.460302,23.9405,851.3563,0.006162952,0.025271842,1.7896821,0.0009870144,Nov,1,1,1,2,Returning_Visitor,False,False
0.94679,25.195976,0.14041503,5.851965,25.589592,760.53644,0.023067506,0.046281554,0.36719438,0.7237756,May,2,2,1,1,Returning_Visitor,False,False
2.1562004,65.84954,0.3324305,17.104574,28.181446,968.2362,0.009071723,0.030010503,1.4211428,0.0026604186,May,2,2,4,2,Returning_Visitor,False,False
7.9250836,317.23367,2.6758797,244.58553,107.0526,4428.42,0.007015805,0.021207891,4.441379,0.0045178444,May,2,2,1,2,Returning_Visitor,False,False
2.797014,82.81879,0.4551227,20.659115,30.410454,1144.0752,0.0021859014,0.016468601,26.318953,0.0010700362,May,2,2,1,2,Returning_Visitor,False,True
5.397646,166.34789,1.5438517,98.95121,82.88825,3031.3647,0.005699891,0.01962885,10.615349,0.0010138178,Nov,2,2,1,2,Returning_Visitor,False,True
2.6836174,80.827225,0.43187904,17.56838,28.581373,1076.783,0.006277641,0.021862667,21.46331,0.023211671,May,2,2,1,1,Returning_Visitor,False,True
1.7835212,55.0554,0.0002795834,-0.56582075,26.435015,899.4094,-0.0010220524,0.012257227,173.70702,0.0027045112,Dec,8,13,9,20,Other,False,True
3.299139,103.00285,0.6352452,29.829079,34.946693,1233.8177,0.0051643415,0.018944707,19.103504,-7.561346e-05,Nov,1,1,1,2,Returning_Visitor,False,True
2.7676263,73.297325,0.32842112,17.862627,35.620075,1194.0463,0.0031459962,0.017477889,19.930035,0.000114193805,Nov,2,2,4,2,Returning_Visitor,False,True
2.901583,71.82433,0.2627431,12.549217,29.8717,1022.12775,0.00495113,0.021331582,19.755451,0.0012755865,May,2,2,1,3,Returning_Visitor,False,True
1.3455848,50.888252,0.4618413,18.109528,28.270128,1031.626,0.0073220613,0.022851864,21.46197,0.00046777228,Nov,2,2,1,11,Returning_Visitor,True,True
3.1666093,86.49244,0.15309404,6.7064,29.096325,1119.3771,0.004295084,0.022674361,15.683915,0.00083063793,Nov,1,1,1,8,Returning_Visitor,False,True
8.263213,311.3588,3.3245854,170.913,285.73416,11685.475,0.0049090604,0.01688594,6.4796457,-0.00024328133,Nov,2,2,1,2,Returning_Visitor,False,True
