Administrative,Administrative_Duration,Informational,Informational_Duration,ProductRelated,ProductRelated_Duration,BounceRates,ExitRates,PageValues,SpecialDay,Month,OperatingSystems,Browser,Region,TrafficType,VisitorType,Weekend,Revenue
1.2742195,35.825848,0.16277741,3.8600388,20.794165,832.86395,0.016465219,0.041648492,0.6300537,0.0018400723,Oct,3,2,1,3,Returning_Visitor,False,False
1.4197378,35.962296,0.173912,4.1682453,20.72139,799.37604,0.010870397,0.03717625,0.7261216,0.0009813296,Dec,1,1,1,3,Returning_Visitor,False,False
0.150406,0.82633156,0.012651451,2.572197,2.258307,162.32063,0.18805908,0.18962054,0.16143246,0.015984928,May,1,2,1,1,Returning_Visitor,False,False
1.5674021,34.762028,0.17896403,4.1037292,31.369114,1125.0793,0.0047258134,0.026377592,1.2181766,-2.592554e-05,Dec,2,2,1,2,Returning_Visitor,False,False
8.133534,341.9905,2.5131207,298.09552,100.34643,3559.753,0.007160393,0.0212513,3.4486701,0.0058934675,Dec,2,2,1,2,Returning_Visitor,False,False
0.9525989,13.748832,0.08522213,3.5177364,24.247375,932.35767,0.010570961,0.041986313,0.6509339,0.00018482158,Aug,2,2,1,1,Returning_Visitor,False,False
2.1861646,70.028755,0.17974432,4.59548,16.970434,678.3311,0.0022397821,0.018583868,0.5712587,0.00052356225,Dec,2,2,1,2,New_Visitor,False,False
1.5737524,41.78757,0.24125804,5.710287,28.397865,1000.97485,0.008409306,0.029751543,0.8524701,-0.00032085305,Oct,1,2,1,2,Returning_Visitor,True,False
1.2335217,25.71595,0.1716467,3.6445026,25.568184,964.00226,0.012176635,0.039350558,0.55778235,-0.00020365915,Mar,1,2,1,1,Returning_Visitor,True,False
0.72145617,8.963653,0.111087985,3.7249317,26.246136,850.8303,0.019085396,0.050867982,0.4753277,0.63326377,May,2,2,1,3,Returning_Visitor,False,False
9.953505,897.37616,1.1147212,71.51454,58.510845,2282.6187,0.004564838,0.017324224,21.056925,-0.00032772994,Nov,2,2,1,2,Returning_Visitor,False,True
2.4865122,83.987236,0.29286632,8.335276,35.95625,1318.0048,0.007073318,0.024095751,18.359375,0.010064068,Jul,2,2,2,1,Returning_Visitor,False,True
1.76536,48.333157,0.29652503,4.341215,33.970333,1309.1254,0.005303131,0.021129515,13.45383,0.0032052237,Nov,1,2,1,2,Returning_Visitor,True,True
1.8359817,48.72421,0.38064396,9.4353695,29.169842,1079.7188,0.0065863417,0.023445457,22.503386,0.025864454,May,2,2,1,4,Returning_Visitor,False,True
6.021623,135.40535,1.1683642,47.445595,170.06635,6877.0474,0.0049100737,0.016508885,8.15671,0.00027176613,Nov,2,2,1,2,Returning_Visitor,False,True
1.2503328,24.448856,0.10793085,2.7478676,26.070795,1081.3337,0.0012417581,0.01169943,125.36535,-0.0004525458,Dec,2,2,1,2,Returning_Visitor,False,True
2.3319943,65.44017,0.36094537,7.403612,34.804718,1302.3142,0.005873944,0.021924853,16.770159,0.0022374045,Nov,2,2,2,2,Returning_Visitor,False,True
7.2200947,221.61516,4.221616,532.72864,87.18958,3185.8374,0.0054882406,0.016672468,13.756967,0.0030640166,Nov,2,2,1,2,Returning_Visitor,False,True
2.0859773,59.39391,0.23250155,4.539236,34.635136,1375.1093,0.0067369347,0.022996241,16.077858,-0.00026524192,Nov,2,2,1,2,Returning_Visitor,False,True
1.6196959,44.53896,0.13754614,4.0533886,21.443735,930.3242,0.0018118914,0.014132735,25.966927,0.0053805844,Dec,2,2,1,2,New_Visitor,False,True
