Administrative,Administrative_Duration,Informational,Informational_Duration,ProductRelated,ProductRelated_Duration,BounceRates,ExitRates,PageValues,SpecialDay,Month,OperatingSystems,Browser,Region,TrafficType,VisitorType,Weekend,Revenue
0.12859404,3.3608088,-0.010393344,4.8997345,19.320898,189.87465,0.021924518,0.03491423,-0.28795508,0.6096043,May,2,2,1,13,Returning_Visitor,False,False
26.808344,903.9608,2.438225,126.35146,563.3354,25386.775,0.0032189188,-0.0013857272,2.734782,0.034461375,Nov,2,4,3,8,Returning_Visitor,False,False
10.584185,1218.3845,7.9164405,272.86667,453.7173,24344.193,0.022173816,0.018765835,1.1721251,0.01439439,Sep,2,2,4,13,Returning_Visitor,False,False
-0.2610308,-23.967812,6.169015,64.08172,418.29523,17341.27,0.01064346,0.022177177,-0.77074987,-0.009754323,Nov,2,2,7,1,Returning_Visitor,True,False
9.485512,1914.2268,0.62467235,62.208572,74.0733,5961.0356,-0.00067038124,0.024875343,18.535645,0.015732894,Nov,2,2,1,2,Returning_Visitor,False,True
2.0039434,-14.19243,4.101647,-12.431734,394.0699,12639.354,0.00607383,0.029668754,-4.5102906,-0.008171947,Nov,2,2,1,2,Returning_Visitor,False,True
9.209626,214.24754,3.2557912,1377.3009,70.50632,3535.0522,-0.000943093,0.00032916554,39.29985,0.0063620755,Dec,2,2,2,2,Returning_Visitor,False,False
16.922167,332.0047,5.989115,843.43335,72.276726,1714.3033,-0.0022361989,0.019627329,26.912775,0.02084271,Mar,2,4,2,2,Returning_Visitor,False,False
12.888192,444.7497,2.03869,5.547426,133.86235,10526.75,0.0013462246,0.015351885,22.883518,0.0006460945,June,2,2,1,4,Returning_Visitor,False,False
2.5523355,94.91347,9.895128,781.6904,54.52982,1786.039,0.00046068398,0.02467311,27.758554,-0.00416878,Dec,1,1,2,2,Returning_Visitor,False,False
