model,method,cv_balanced,cv_macro_f1,cv_weighted_f1,cv_accuracy,cv_balanced_std,cv_macro_f1_std,cv_weighted_f1_std,cv_accuracy_std,optuna_time,train_time,test_balanced,test_macro_f1,test_weighted_f1,test_accuracy,test_roc_auc,inf_time_per_sample,space,IPC,seed,vae_pretrain_time,vae_fine_tunning_time,encoder_inference_time,decoder_inference_time,destillation_time
xgb,Full-data,0.778,0.798,0.898,0.902,0.008,0.007,0.003,0.003,27.283,21.121,0.769,0.795,0.898,0.903,0.93,4.8e-05,original,,,,,,,
rf,Full-data,0.85,0.783,0.874,0.862,0.007,0.006,0.004,0.005,126.179,3.157,0.856,0.788,0.876,0.865,0.919,3.6e-05,original,,,,,,,
svc,Full-data,0.744,0.77,0.885,0.892,0.005,0.006,0.003,0.003,918.774,34.11,0.771,0.795,0.897,0.902,0.885,0.000399,original,,,,,,,
logreg,Full-data,0.677,0.717,0.866,0.882,0.006,0.005,0.002,0.002,17.521,8.922,0.702,0.746,0.88,0.894,0.902,1e-06,original,,,,,,,
mlp,Full-data,0.765,0.786,0.893,0.897,0.01,0.009,0.005,0.005,112.482,2.683,0.771,0.79,0.894,0.898,0.912,5e-06,original,,,,,,,
naive_bayes,Full-data,0.568,0.281,0.269,0.281,0.008,0.015,0.023,0.014,10.143,0.024,0.567,0.285,0.277,0.285,0.754,2e-06,original,,,,,,,
knn,Full-data,0.674,0.701,0.854,0.866,0.013,0.014,0.007,0.006,36.809,0.003,0.686,0.713,0.86,0.87,0.782,0.000851,original,,,,,,,
xgb,random,0.8,0.76,0.76,0.8,0.187,0.244,0.244,0.187,22.705,0.2,0.755,0.679,0.802,0.778,0.824,1.8e-05,original,10,5,,,,,
rf,random,0.65,0.547,0.547,0.65,0.2,0.275,0.275,0.2,23.744,0.459,0.74,0.647,0.771,0.738,0.823,2.8e-05,original,10,5,,,,,
svc,random,0.75,0.733,0.733,0.75,0.0,0.0,0.0,0.0,8.063,0.002,0.761,0.626,0.736,0.694,0.152,4e-06,original,10,5,,,,,
logreg,random,0.75,0.707,0.707,0.75,0.158,0.213,0.213,0.158,6.368,0.017,0.716,0.633,0.763,0.73,0.796,1e-06,original,10,5,,,,,
mlp,random,0.7,0.687,0.687,0.7,0.1,0.093,0.093,0.1,9.374,1.643,0.748,0.614,0.726,0.682,0.826,6.6e-05,original,10,5,,,,,
naive_bayes,random,0.6,0.593,0.593,0.6,0.122,0.114,0.114,0.122,5.352,0.002,0.705,0.57,0.683,0.632,0.707,2e-06,original,10,5,,,,,
knn,random,0.75,0.68,0.68,0.75,0.224,0.299,0.299,0.224,7.199,0.001,0.72,0.681,0.817,0.802,0.776,0.000122,original,10,5,,,,,
xgb,k-means,0.95,0.947,0.947,0.95,0.1,0.107,0.107,0.1,4.074,0.043,0.814,0.796,0.89,0.887,0.858,1.7e-05,original,10,5,580.9238874912262,65.845144033432,7.587627772867245e-07,0.0021615028381347656,0.2833082675933838
rf,k-means,0.85,0.847,0.847,0.85,0.2,0.202,0.202,0.2,19.508,0.247,0.759,0.673,0.794,0.766,0.826,1.7e-05,original,10,5,580.9238874912262,65.845144033432,7.587627772867245e-07,0.0021615028381347656,0.2833082675933838
svc,k-means,0.95,0.947,0.947,0.95,0.1,0.107,0.107,0.1,6.439,0.002,0.819,0.735,0.838,0.82,0.899,3e-06,original,10,5,580.9238874912262,65.845144033432,7.587627772867245e-07,0.0021615028381347656,0.2833082675933838
logreg,k-means,0.95,0.947,0.947,0.95,0.1,0.107,0.107,0.1,7.289,0.006,0.801,0.721,0.83,0.811,0.868,1.1e-05,original,10,5,580.9238874912262,65.845144033432,7.587627772867245e-07,0.0021615028381347656,0.2833082675933838
mlp,k-means,0.9,0.893,0.893,0.9,0.122,0.131,0.131,0.122,8.247,0.037,0.786,0.669,0.78,0.747,0.877,0.000114,original,10,5,580.9238874912262,65.845144033432,7.587627772867245e-07,0.0021615028381347656,0.2833082675933838
naive_bayes,k-means,0.5,0.453,0.453,0.5,0.158,0.18,0.18,0.158,7.159,0.001,0.69,0.588,0.716,0.672,0.677,2e-06,original,10,5,580.9238874912262,65.845144033432,7.587627772867245e-07,0.0021615028381347656,0.2833082675933838
knn,k-means,0.95,0.947,0.947,0.95,0.1,0.107,0.107,0.1,8.002,0.001,0.788,0.693,0.805,0.779,0.861,0.000268,original,10,5,580.9238874912262,65.845144033432,7.587627772867245e-07,0.0021615028381347656,0.2833082675933838
xgb,k-means,0.85,0.847,0.847,0.85,0.2,0.202,0.202,0.2,4.64,0.114,0.827,0.799,0.89,0.885,0.863,1.7e-05,latent,10,5,580.9238874912262,65.845144033432,7.587627772867245e-07,0.0021615028381347656,0.2833082675933838
rf,k-means,0.85,0.84,0.84,0.85,0.122,0.131,0.131,0.122,21.696,0.309,0.848,0.775,0.868,0.855,0.886,1.7e-05,latent,10,5,580.9238874912262,65.845144033432,7.587627772867245e-07,0.0021615028381347656,0.2833082675933838
svc,k-means,0.9,0.893,0.893,0.9,0.122,0.131,0.131,0.122,6.622,0.002,0.834,0.791,0.882,0.875,0.914,5e-06,latent,10,5,580.9238874912262,65.845144033432,7.587627772867245e-07,0.0021615028381347656,0.2833082675933838
logreg,k-means,0.85,0.84,0.84,0.85,0.122,0.131,0.131,0.122,5.761,0.089,0.819,0.729,0.834,0.813,0.883,1e-06,latent,10,5,580.9238874912262,65.845144033432,7.587627772867245e-07,0.0021615028381347656,0.2833082675933838
mlp,k-means,0.7,0.66,0.66,0.7,0.187,0.227,0.227,0.187,6.344,0.035,0.823,0.768,0.867,0.856,0.895,9.7e-05,latent,10,5,580.9238874912262,65.845144033432,7.587627772867245e-07,0.0021615028381347656,0.2833082675933838
naive_bayes,k-means,0.8,0.787,0.787,0.8,0.1,0.107,0.107,0.1,8.61,0.002,0.743,0.57,0.668,0.616,0.754,3e-06,latent,10,5,580.9238874912262,65.845144033432,7.587627772867245e-07,0.0021615028381347656,0.2833082675933838
knn,k-means,0.95,0.947,0.947,0.95,0.1,0.107,0.107,0.1,6.403,0.001,0.757,0.751,0.868,0.867,0.851,6e-06,latent,10,5,580.9238874912262,65.845144033432,7.587627772867245e-07,0.0021615028381347656,0.2833082675933838
xgb,k-center,0.7,0.693,0.693,0.7,0.187,0.185,0.185,0.187,6.274,0.05,0.439,0.27,0.301,0.273,0.547,1.6e-05,original,10,5,580.9238874912262,65.845144033432,7.587627772867245e-07,0.0019521713256835938,0.051099538803100586
rf,k-center,0.65,0.633,0.633,0.65,0.255,0.268,0.268,0.255,19.922,0.317,0.488,0.186,0.135,0.193,0.556,2.2e-05,original,10,5,580.9238874912262,65.845144033432,7.587627772867245e-07,0.0019521713256835938,0.051099538803100586
svc,k-center,0.55,0.467,0.467,0.55,0.187,0.223,0.223,0.187,3.52,0.002,0.5,0.135,0.043,0.156,0.581,3e-06,original,10,5,580.9238874912262,65.845144033432,7.587627772867245e-07,0.0019521713256835938,0.051099538803100586
logreg,k-center,0.5,0.44,0.44,0.5,0.224,0.244,0.244,0.224,3.513,0.008,0.491,0.135,0.046,0.154,0.373,0.0,original,10,5,580.9238874912262,65.845144033432,7.587627772867245e-07,0.0019521713256835938,0.051099538803100586
mlp,k-center,0.25,0.2,0.2,0.25,0.0,0.0,0.0,0.0,6.338,0.075,0.495,0.321,0.367,0.328,0.475,9.4e-05,original,10,5,580.9238874912262,65.845144033432,7.587627772867245e-07,0.0019521713256835938,0.051099538803100586
naive_bayes,k-center,0.5,0.42,0.42,0.5,0.158,0.183,0.183,0.158,7.187,0.001,0.484,0.474,0.676,0.637,0.497,1e-06,original,10,5,580.9238874912262,65.845144033432,7.587627772867245e-07,0.0019521713256835938,0.051099538803100586
knn,k-center,0.65,0.633,0.633,0.65,0.255,0.268,0.268,0.255,5.883,0.001,0.491,0.149,0.071,0.165,0.438,3.7e-05,original,10,5,580.9238874912262,65.845144033432,7.587627772867245e-07,0.0019521713256835938,0.051099538803100586
xgb,k-center,0.75,0.74,0.74,0.75,0.158,0.158,0.158,0.158,7.864,0.212,0.438,0.258,0.281,0.26,0.376,1.7e-05,latent,10,5,580.9238874912262,65.845144033432,7.587627772867245e-07,0.0019521713256835938,0.051099538803100586
rf,k-center,0.55,0.533,0.533,0.55,0.187,0.197,0.197,0.187,20.086,0.307,0.475,0.208,0.177,0.21,0.515,1.9e-05,latent,10,5,580.9238874912262,65.845144033432,7.587627772867245e-07,0.0019521713256835938,0.051099538803100586
svc,k-center,0.65,0.6,0.6,0.65,0.255,0.292,0.292,0.255,3.466,0.002,0.498,0.135,0.043,0.155,0.599,7e-06,latent,10,5,580.9238874912262,65.845144033432,7.587627772867245e-07,0.0019521713256835938,0.051099538803100586
logreg,k-center,0.5,0.44,0.44,0.5,0.224,0.244,0.244,0.224,5.553,0.006,0.489,0.136,0.049,0.155,0.382,1e-06,latent,10,5,580.9238874912262,65.845144033432,7.587627772867245e-07,0.0019521713256835938,0.051099538803100586
mlp,k-center,0.35,0.287,0.287,0.35,0.122,0.119,0.119,0.122,4.638,0.04,0.506,0.34,0.395,0.35,0.507,5.7e-05,latent,10,5,580.9238874912262,65.845144033432,7.587627772867245e-07,0.0019521713256835938,0.051099538803100586
naive_bayes,k-center,0.3,0.247,0.247,0.3,0.187,0.165,0.165,0.187,3.483,0.001,0.43,0.228,0.23,0.228,0.343,2e-06,latent,10,5,580.9238874912262,65.845144033432,7.587627772867245e-07,0.0019521713256835938,0.051099538803100586
knn,k-center,0.6,0.553,0.553,0.6,0.255,0.286,0.286,0.255,6.771,0.001,0.483,0.153,0.079,0.166,0.481,6.8e-05,latent,10,5,580.9238874912262,65.845144033432,7.587627772867245e-07,0.0019521713256835938,0.051099538803100586
xgb,ag,0.95,0.947,0.947,0.95,0.1,0.107,0.107,0.1,4.991,0.121,0.8,0.802,0.897,0.897,0.872,2.4e-05,original,10,5,580.9238874912262,65.845144033432,7.587627772867245e-07,0.001678466796875,5.681479454040527
rf,ag,0.85,0.813,0.813,0.85,0.2,0.261,0.261,0.2,19.966,0.295,0.728,0.653,0.782,0.754,0.799,1.6e-05,original,10,5,580.9238874912262,65.845144033432,7.587627772867245e-07,0.001678466796875,5.681479454040527
svc,ag,0.95,0.947,0.947,0.95,0.1,0.107,0.107,0.1,4.574,0.002,0.769,0.67,0.787,0.758,0.861,3e-06,original,10,5,580.9238874912262,65.845144033432,7.587627772867245e-07,0.001678466796875,5.681479454040527
logreg,ag,0.95,0.947,0.947,0.95,0.1,0.107,0.107,0.1,7.502,0.007,0.806,0.727,0.834,0.816,0.886,1e-06,original,10,5,580.9238874912262,65.845144033432,7.587627772867245e-07,0.001678466796875,5.681479454040527
mlp,ag,0.85,0.84,0.84,0.85,0.122,0.131,0.131,0.122,6.69,0.036,0.784,0.701,0.816,0.793,0.88,0.000112,original,10,5,580.9238874912262,65.845144033432,7.587627772867245e-07,0.001678466796875,5.681479454040527
naive_bayes,ag,0.65,0.58,0.58,0.65,0.2,0.256,0.256,0.2,3.496,0.001,0.674,0.584,0.717,0.673,0.664,1e-06,original,10,5,580.9238874912262,65.845144033432,7.587627772867245e-07,0.001678466796875,5.681479454040527
knn,ag,0.9,0.893,0.893,0.9,0.122,0.131,0.131,0.122,6.812,0.001,0.781,0.672,0.785,0.753,0.867,0.000111,original,10,5,580.9238874912262,65.845144033432,7.587627772867245e-07,0.001678466796875,5.681479454040527
xgb,ag,0.9,0.893,0.893,0.9,0.122,0.131,0.131,0.122,5.199,0.092,0.809,0.795,0.89,0.887,0.832,2.2e-05,latent,10,5,580.9238874912262,65.845144033432,7.587627772867245e-07,0.001678466796875,5.681479454040527
rf,ag,0.85,0.84,0.84,0.85,0.122,0.131,0.131,0.122,22.823,0.493,0.824,0.777,0.874,0.865,0.892,3.4e-05,latent,10,5,580.9238874912262,65.845144033432,7.587627772867245e-07,0.001678466796875,5.681479454040527
svc,ag,0.85,0.84,0.84,0.85,0.122,0.131,0.131,0.122,5.947,0.002,0.814,0.724,0.829,0.809,0.887,4e-06,latent,10,5,580.9238874912262,65.845144033432,7.587627772867245e-07,0.001678466796875,5.681479454040527
logreg,ag,0.85,0.84,0.84,0.85,0.122,0.131,0.131,0.122,7.424,0.007,0.795,0.723,0.834,0.816,0.881,1e-06,latent,10,5,580.9238874912262,65.845144033432,7.587627772867245e-07,0.001678466796875,5.681479454040527
mlp,ag,0.75,0.733,0.733,0.75,0.0,0.0,0.0,0.0,8.69,1.304,0.78,0.701,0.817,0.795,0.862,0.000126,latent,10,5,580.9238874912262,65.845144033432,7.587627772867245e-07,0.001678466796875,5.681479454040527
naive_bayes,ag,0.65,0.573,0.573,0.65,0.122,0.196,0.196,0.122,5.846,0.001,0.742,0.577,0.679,0.629,0.758,2e-06,latent,10,5,580.9238874912262,65.845144033432,7.587627772867245e-07,0.001678466796875,5.681479454040527
knn,ag,0.9,0.893,0.893,0.9,0.122,0.131,0.131,0.122,7.609,0.002,0.752,0.677,0.801,0.776,0.826,4.5e-05,latent,10,5,580.9238874912262,65.845144033432,7.587627772867245e-07,0.001678466796875,5.681479454040527
xgb,lc,0.95,0.947,0.947,0.95,0.1,0.107,0.107,0.1,7.199,0.039,0.201,0.223,0.346,0.264,0.116,2.2e-05,original,10,5,580.9238874912262,65.845144033432,7.587627772867245e-07,0.016193628311157227,13.238509178161621
rf,lc,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,20.051,0.264,0.261,0.278,0.427,0.343,0.164,1.6e-05,original,10,5,580.9238874912262,65.845144033432,7.587627772867245e-07,0.016193628311157227,13.238509178161621
svc,lc,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,8.215,0.002,0.238,0.173,0.218,0.178,0.158,3e-06,original,10,5,580.9238874912262,65.845144033432,7.587627772867245e-07,0.016193628311157227,13.238509178161621
logreg,lc,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,4.015,0.006,0.247,0.136,0.142,0.136,0.136,0.0,original,10,5,580.9238874912262,65.845144033432,7.587627772867245e-07,0.016193628311157227,13.238509178161621
mlp,lc,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,8.288,1.378,0.285,0.279,0.406,0.326,0.217,5.6e-05,original,10,5,580.9238874912262,65.845144033432,7.587627772867245e-07,0.016193628311157227,13.238509178161621
naive_bayes,lc,0.95,0.947,0.947,0.95,0.1,0.107,0.107,0.1,8.893,0.001,0.421,0.422,0.627,0.574,0.418,1e-06,original,10,5,580.9238874912262,65.845144033432,7.587627772867245e-07,0.016193628311157227,13.238509178161621
knn,lc,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,6.844,0.001,0.24,0.173,0.216,0.178,0.182,0.000105,original,10,5,580.9238874912262,65.845144033432,7.587627772867245e-07,0.016193628311157227,13.238509178161621
xgb,lc,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,5.947,1.832,0.437,0.279,0.318,0.283,0.218,1.7e-05,latent,10,5,580.9238874912262,65.845144033432,7.587627772867245e-07,0.016193628311157227,13.238509178161621
