Administrative,Administrative_Duration,Informational,Informational_Duration,ProductRelated,ProductRelated_Duration,BounceRates,ExitRates,PageValues,SpecialDay,Month,OperatingSystems,Browser,Region,TrafficType,VisitorType,Weekend,Revenue
1.6845788,73.36792,0.02093894,13.854755,20.659405,757.7025,0.0074825236,0.033130012,1.1823151,0.01652254,May,1,1,1,2,New_Visitor,False,False
6.3296857,267.47275,1.566161,172.40958,81.35383,2946.565,0.006400009,0.021981461,3.5086215,0.008367508,Nov,2,2,1,2,New_Visitor,False,False
1.227337,40.633648,0.02147562,6.526684,19.924292,743.7446,0.0071014143,0.034237288,0.96143454,0.006150598,May,2,2,1,1,New_Visitor,False,False
1.716326,67.79577,0.016483374,11.454901,21.440722,845.27997,0.007476169,0.03509631,1.2294972,0.0032426591,May,2,2,4,2,New_Visitor,False,False
1.0135796,35.256466,0.014007129,9.152716,26.848589,931.4461,0.013772942,0.044295594,0.5500805,0.7129141,May,2,2,1,3,New_Visitor,False,False
1.0794641,47.084747,0.0136747435,9.466043,23.197649,902.372,0.024164204,0.060153246,0.62658805,0.08799434,May,3,2,1,13,New_Visitor,False,False
1.8239009,65.93183,0.022965856,13.153097,17.72059,676.8856,0.006194403,0.03021441,0.9532525,0.0021438252,May,2,2,1,8,New_Visitor,False,False
0.015010245,1.513145,-0.002095602,0.87806886,2.3054357,19.039867,0.18073475,0.19023961,-0.06303195,0.043662068,May,2,2,1,1,New_Visitor,False,False
1.6082374,59.368492,0.024117537,10.060944,20.59889,744.3927,0.0067016347,0.03053294,0.67736644,0.0009258787,Mar,2,2,1,2,New_Visitor,False,False
1.7830818,61.87372,0.020795591,10.551361,21.85901,758.61914,0.00729747,0.030207118,1.2886164,0.008467476,May,2,2,1,4,New_Visitor,False,False
5.7181883,190.75356,1.1354569,68.61805,86.1221,3100.6045,0.005377596,0.0186847,11.992009,0.0020567763,Nov,2,2,1,2,New_Visitor,False,True
2.3122184,82.624825,0.04720164,16.261122,30.444403,1199.4634,0.005307616,0.02299555,16.95893,0.0030503708,Nov,2,2,1,1,New_Visitor,False,True
1.3734142,49.86384,0.020381548,6.0064526,24.668217,1057.586,0.00018112514,0.010560512,116.74868,8.749465e-05,May,2,2,7,2,New_Visitor,False,True
7.912667,540.61615,4.7252154,768.35614,90.64618,4024.3823,0.005601696,0.01769488,11.1341505,0.01603332,Nov,2,2,1,2,New_Visitor,False,True
2.0672145,88.41057,0.052335925,14.840927,27.394709,1120.6553,0.004757739,0.019026129,25.73691,0.14440069,May,2,2,1,4,New_Visitor,False,True
1.8028839,48.07791,0.015367009,3.0509377,21.229568,945.2185,0.0016885024,0.020012947,19.851795,0.0006929065,Nov,1,1,3,8,New_Visitor,False,True
2.4724915,97.24868,0.07956401,23.21409,27.390608,1114.0837,0.0047840304,0.019615097,22.892782,0.005664798,Nov,1,1,1,2,New_Visitor,False,True
8.023052,276.3032,1.9081161,138.6376,302.91022,11839.271,0.0037469731,0.015648745,5.9698462,0.0004048782,Nov,2,2,1,2,New_Visitor,False,True
1.7836852,58.57188,0.031214006,9.168411,31.409685,1295.3921,0.0043048556,0.019270115,11.330054,0.0008478823,Nov,2,2,1,2,New_Visitor,False,True
1.7830315,63.117413,0.020010836,14.056204,20.568523,841.2414,0.0012976263,0.014719727,31.33893,0.013436756,May,2,2,1,2,New_Visitor,False,True
