Administrative,Administrative_Duration,Informational,Informational_Duration,ProductRelated,ProductRelated_Duration,BounceRates,ExitRates,PageValues,SpecialDay,Month,OperatingSystems,Browser,Region,TrafficType,VisitorType,Weekend,Revenue
0.0010424925,1.0016246,-0.001965962,-0.24327667,16.107323,192.64796,0.00012005832,0.018866085,-0.012306012,-0.00061949465,May,2,2,1,4,Other,False,False
17.185432,2631.1887,23.866991,2061.9407,696.35974,43014.855,0.0048506293,0.01248219,1.2651064,0.03692344,May,2,2,1,14,Other,False,False
19.786308,191.50438,6.950131,294.0674,679.037,23497.385,0.011824978,0.02621194,0.6530716,-0.00034512705,Aug,2,2,1,1,Other,False,False
3.9110713,160.32828,-0.0017414909,-0.31740004,61.496414,4515.778,0.0008643117,0.0012614864,246.08392,0.0011043424,Oct,4,1,8,2,New_Visitor,False,False
8.01303,114.989174,8.891876,2238.269,18.294178,1080.7665,0.00803365,0.010555333,0.021528445,0.0037529233,Jul,3,2,4,2,Other,False,False
6.7680306,2668.4968,2.9379,353.99982,70.122665,5927.8857,0.032401465,0.03841245,-0.31527165,0.0014704155,Jul,3,2,1,13,Other,False,False
14.555884,2656.317,13.02239,1943.3464,340.7471,30103.629,0.0052862274,0.0281519,-0.6249779,0.005533027,Dec,2,2,1,2,Other,False,False
3.1638362,276.2252,1.0239238,1795.4991,360.00613,13299.457,0.0027262976,0.007852382,0.27661964,0.0007842767,May,2,2,1,19,Other,False,False
0.0046418975,-0.15995839,3.9930115,226.26773,222.70497,9651.639,0.056148857,0.06605143,0.052722655,0.00065585476,June,7,10,1,5,Other,False,False
8.003871,113.80442,-0.003972254,-0.7288533,373.19318,12434.422,0.0023773366,0.011168311,6.332313,-0.0008669061,Nov,2,2,2,2,Other,False,False
13.981566,1273.6666,12.0068,986.9721,29.641111,1981.678,0.0023633407,0.023517663,-0.10272244,0.5951377,May,2,2,3,2,Other,False,False
17.104525,313.39474,4.054502,426.55835,138.10046,3881.6729,0.0018819362,0.01096893,87.78805,0.0011508936,Dec,2,2,1,6,Other,False,False
4.913448,1660.0637,-0.0015517693,-0.6489926,14.807274,411.7486,-0.0015915859,0.005894567,-0.09087924,-0.0005709988,Dec,7,10,1,4,Other,False,False
9.868936,2422.3906,2.9877224,422.12115,485.14304,22751.447,-0.000950456,0.012585356,-0.11633376,0.0015878143,Jul,2,2,1,3,Other,False,False
-0.0036448168,-0.30851796,-0.0014273744,-0.11390503,1.4673314,2.0725825,0.20016338,0.20099759,0.04293319,1.0013555,May,3,2,7,6,Other,False,False
8.022315,355.95847,1.9697684,963.78265,13.574648,324.3943,0.0007079035,0.0058823666,0.06038352,-0.00018233931,Mar,3,2,7,9,Other,False,False
1.9870098,121.11992,-0.002913199,0.8041782,27.471087,1862.3738,0.015312751,0.0153221255,111.33472,0.0013171496,Dec,1,1,6,2,Other,False,False
2.9730594,603.4536,6.0743484,76.58821,49.474762,2425.025,0.018731581,0.037654303,0.04549571,0.99857926,May,1,1,3,15,Other,False,False
0.011379845,-0.45617726,-0.0004939657,-0.30515486,1.3291421,9.211498,0.19967297,0.1997014,0.06284209,-0.0009980364,Nov,7,1,2,8,New_Visitor,False,False
3.957122,96.5391,12.1052265,885.6765,159.26022,7923.3164,0.0041718273,0.014396406,0.02779504,-0.0007225958,Nov,3,2,6,2,Other,False,False
9.925241,1753.4939,2.9542804,69.92246,21.962671,1537.3973,0.012349112,0.07085812,4.085845,-0.0016614733,May,2,4,2,3,Other,False,False
22.31477,1155.6693,3.0292044,109.81193,207.48291,4329.1475,0.00075207057,0.008960946,175.93384,-0.0011302395,Nov,2,5,3,3,Other,False,False
0.09657801,-1.0914311,15.964616,1213.1677,5.317513,282.7458,0.0048857587,0.014310737,0.24257298,-0.0020951417,Mar,2,2,1,8,Other,False,False
2.0294802,13.096213,1.9958326,188.88043,134.11568,6790.2153,0.008237432,0.02476316,0.036502562,-0.00020774952,Nov,1,8,3,11,Other,False,False
1.9786783,80.6815,6.0087795,314.8565,33.50002,1419.4484,0.00021524694,0.002564958,0.070538245,0.00028522187,Oct,4,1,4,2,New_Visitor,False,False
15.972884,182.08527,0.9991707,650.4036,113.25746,8037.5947,0.0086976485,0.026609534,-0.045987405,-0.0012163086,Dec,2,6,7,1,Other,False,False
8.022491,303.37448,8.105445,180.13852,157.78775,16076.669,0.008651606,0.027036842,1.9987652,0.0011283295,June,2,2,1,5,Other,False,False
0.013659842,-3.0081182,1.0010653,1739.1656,18.733162,1372.6833,0.019929834,0.04997074,0.06359645,-0.00022670379,Dec,2,2,1,3,Other,False,False
13.934657,376.11914,0.0017890412,-0.095625,155.2758,5437.0703,0.0094619645,0.02870949,3.2585678,0.9964109,May,2,2,6,1,Other,False,False
6.0125165,124.05999,-0.0028740983,-0.29541594,11.451876,184.20839,-0.00017870251,0.014253332,-0.012095727,0.00017506504,Dec,3,12,3,1,New_Visitor,False,False
4.0267935,76.3548,-0.0007958334,0.29147905,58.657463,2084.0981,0.009579566,0.022396611,0.03973981,-0.0005513777,Jul,2,6,2,7,Other,False,False
0.0017882658,0.77201027,-0.0023560147,-0.12891968,1.1141095,-1.968189,0.19972734,0.19982396,0.034282885,-0.0007400823,June,1,8,3,4,Other,False,False
