Administrative,Administrative_Duration,Informational,Informational_Duration,ProductRelated,ProductRelated_Duration,BounceRates,ExitRates,PageValues,SpecialDay,Month,OperatingSystems,Browser,Region,TrafficType,VisitorType,Weekend,Revenue
5.0297933,157.94774,0.00460095,-0.7240277,4.793595,40.505566,0.019507969,0.039689288,-0.16213922,-0.00042481846,Oct,2,2,2,20,New_Visitor,True,False
24.824984,1573.2366,9.013064,490.6745,195.33253,10142.596,0.011305639,0.014972075,19.67087,-0.002593347,Nov,3,2,2,13,Returning_Visitor,False,True
5.084493,623.63586,-0.025065087,-4.1352367,473.78503,13903.698,0.00036749398,0.003214008,11.836453,-0.0011686174,Nov,4,2,9,2,Returning_Visitor,True,True
13.106379,657.26807,7.980325,599.51935,162.26932,5366.5293,0.0015147958,0.0032437544,17.590084,-0.001159036,Mar,2,2,1,2,Returning_Visitor,True,True
1.9939451,89.47818,10.102869,726.8121,54.566517,1973.9379,0.005557827,0.020253051,26.322987,-0.0005823386,Dec,1,1,2,2,Returning_Visitor,False,False
13.048818,193.57715,2.9908767,14.464689,108.4072,4016.8562,0.007066538,0.013471651,23.922285,-0.001318389,May,3,2,9,13,Returning_Visitor,True,True
3.9209285,36.960403,3.0052986,922.3281,23.595905,520.79205,8.615259e-05,0.014449743,26.277964,0.6228402,May,2,6,1,2,Returning_Visitor,False,True
3.9422002,94.65497,-0.0043307166,0.0071391314,21.787024,818.9293,0.008626153,0.04185714,18.052502,-0.000555822,Jul,3,2,2,4,Returning_Visitor,False,True
0.998371,8.339324,1.01337,-0.7045956,45.33221,1582.7528,0.042942304,0.050575826,53.96491,0.3993255,Feb,3,2,1,1,Returning_Visitor,False,False
8.092087,2098.0693,0.9535824,38.3345,86.16978,5427.7485,0.0024334488,0.01419982,14.3900385,-0.0020492312,Nov,2,2,1,2,Returning_Visitor,False,True
0.020550855,3.9140315,-0.010085486,-0.0020352155,74.04684,2794.999,0.0048950627,0.021184577,27.262169,-0.00035277507,May,2,5,3,6,Returning_Visitor,False,False
-0.012449376,2.5298228,4.0551696,117.3728,93.95575,2325.198,0.0031792296,0.010876595,17.052048,-0.00026625147,Aug,2,2,1,4,Returning_Visitor,False,True
2.9319973,52.30032,4.0572686,321.97522,91.59876,6525.3623,0.01765089,0.045936864,13.994771,-0.0006288079,Jul,2,2,1,3,Returning_Visitor,False,False
9.028079,162.29454,-0.0065134983,0.53081316,48.339455,3961.244,0.007175865,0.011030688,20.465065,-0.00050965074,Mar,2,6,1,8,Returning_Visitor,True,True
11.87097,185.40985,0.9803633,6.361967,162.17244,6230.872,0.010842567,0.031109724,18.21752,-0.00010799741,June,2,4,3,2,Returning_Visitor,False,False
-0.023438327,3.3084407,-0.0034843902,-0.26030546,8.137787,486.90265,-0.00016113404,0.028545605,13.939881,-0.00053665537,Nov,1,1,2,3,New_Visitor,True,True
9.064455,331.12073,4.042625,121.78964,28.817503,1388.6047,0.017077012,0.021344535,20.714579,-0.00062329444,Nov,3,2,6,1,Returning_Visitor,False,False
9.841886,2479.5703,2.8693624,417.08878,488.7836,22843.318,0.0012335439,0.010802525,0.24450894,-0.0035449576,Jul,2,2,1,3,Returning_Visitor,False,False
10.869053,252.78741,1.9974185,369.45773,90.672646,7242.121,0.0006997209,0.003974407,13.576543,-0.00065082434,Mar,2,2,3,8,Returning_Visitor,False,True
-0.06054174,1.4487224,-9.1485315e-05,-0.10562332,15.084822,978.38916,0.00022818115,0.013823395,21.79578,0.8073568,May,2,2,9,4,New_Visitor,False,True
-0.01323878,3.5551524,-0.0064789276,-0.38513762,20.655819,516.4878,-0.0001584388,0.00994465,15.817764,-0.0005482783,Nov,1,1,3,8,Returning_Visitor,False,True
2.993455,48.60851,-0.01094576,0.5119571,178.84167,6981.757,0.0034746618,0.0114574535,20.58267,-0.00023812926,Aug,2,4,9,4,Returning_Visitor,False,False
11.973935,401.2645,-0.0011660677,-0.24054535,37.98698,1461.1086,0.00654819,0.015386815,27.317972,-0.0012732757,May,3,2,1,7,Returning_Visitor,False,False
-0.010563724,3.6492534,-0.0028212885,-0.8992711,22.208303,521.88055,5.20904e-05,0.009036045,23.23308,-0.0005779651,Dec,4,2,8,2,New_Visitor,False,True
5.9630685,125.83127,3.0316033,243.02638,25.243883,1970.1013,0.0074777226,0.030575484,25.324787,-0.0005500962,May,2,2,5,4,Returning_Visitor,False,True
10.95121,258.40253,-0.0076452713,0.85034746,169.10219,8312.107,0.0025792809,0.015882708,8.059441,-0.001097211,Nov,4,1,1,8,Returning_Visitor,True,False
5.059218,837.8486,0.0015407581,-0.8844891,32.55223,815.38446,-5.8649443e-05,0.0056338487,20.616167,2.1538384e-05,Mar,2,4,9,10,New_Visitor,False,True
1.9026773,100.25972,-0.006018422,0.8762416,11.283703,1220.836,0.014404952,0.028589485,18.289522,-0.00019450983,Nov,2,6,2,1,Returning_Visitor,True,False
5.0188007,150.84584,-0.0039025764,-0.28037077,27.418947,1483.4004,0.014413398,0.03042309,27.770683,-0.00072141114,Oct,3,3,6,1,Returning_Visitor,True,False
6.940311,68.94279,1.9888699,731.8914,101.06429,4743.1953,0.008976466,0.010274912,21.373652,-0.000111607216,May,1,1,6,3,Returning_Visitor,True,True
0.88742816,5.650245,-0.007360063,0.54752535,18.995455,2214.4155,0.0008344498,0.028012,19.534895,-0.00054817396,May,4,1,2,4,Returning_Visitor,True,True
1.9187617,13.1622,0.0028162678,-0.34227186,12.010656,1555.969,0.022526355,0.041830976,33.1803,0.80873543,May,2,2,1,1,Returning_Visitor,False,False
8.816046,771.58984,4.171735,163.24596,72.80608,13434.566,0.003993626,0.031874925,15.678451,-0.0026915607,May,2,2,2,13,Returning_Visitor,False,True
5.9375296,141.93286,1.9782115,1054.9734,137.72398,8793.561,0.0068732216,0.016042456,22.392962,-0.0006816325,Dec,3,2,1,2,Returning_Visitor,False,True
1.9609312,19.98016,4.0749073,358.01028,57.219234,1207.363,0.015096622,0.027041316,14.353257,5.1798917e-05,Nov,1,1,1,10,Returning_Visitor,False,True
8.018511,122.442665,-5.8464346e-05,-0.63989073,69.97849,982.1097,0.0045907344,0.012374188,25.85888,0.40298524,May,2,2,2,3,Returning_Visitor,False,True
14.09564,1101.1284,0.96107143,284.78488,68.409195,4107.8716,0.0068191956,0.025126083,18.152586,-0.0009413299,Aug,1,1,3,3,Returning_Visitor,False,False
-0.0005150961,0.15055034,0.0015564639,-0.7229863,15.984519,515.12695,0.022973638,0.03503554,36.099407,-0.00051893416,Oct,1,1,9,3,Returning_Visitor,False,True
-0.017896526,0.35865733,-0.003284357,-0.24595077,8.298855,303.37366,0.00015422668,0.025327012,23.533772,-0.00033882013,May,1,1,1,5,New_Visitor,False,True
9.862063,216.71223,4.032071,113.146,223.42499,9058.481,0.0085472595,0.018052358,10.471739,-0.0011514066,Nov,1,2,3,2,Returning_Visitor,True,False
1.9933375,1693.8635,3.9953713,22.641226,18.037426,1317.1885,0.0010533348,0.017213803,41.96438,-0.0015459744,Dec,2,2,1,6,Returning_Visitor,False,True
0.9510063,21.8247,-0.007516585,-0.20831497,38.29425,1286.2795,-9.950843e-05,0.028929127,31.325914,-0.00014677024,Dec,2,6,9,3,Returning_Visitor,False,False
15.147165,143.66327,1.9610407,1533.1809,23.164137,2163.4094,0.005025729,0.019973917,17.258877,-0.00010325884,Oct,2,2,2,20,Returning_Visitor,False,False
