Administrative,Administrative_Duration,Informational,Informational_Duration,ProductRelated,ProductRelated_Duration,BounceRates,ExitRates,PageValues,SpecialDay,Month,OperatingSystems,Browser,Region,TrafficType,VisitorType,Weekend,Revenue
22.295998,1145.4246,2.9625254,105.735214,206.5039,4287.1235,0.0011920208,0.009560725,178.20659,0.0023138954,Nov,2,5,3,3,Returning_Visitor,True,False
3.988953,119.06586,6.0122514,97.430916,111.2573,2692.3638,0.004297485,0.0063415733,121.83371,-0.00020948221,May,1,1,2,3,Returning_Visitor,False,False
3.0083158,101.46662,0.005203609,-0.035610788,135.68652,3918.2578,0.0009477107,0.0051938207,82.193794,0.0026093854,Dec,2,10,3,1,Returning_Visitor,False,False
3.0191097,342.81744,1.0131758,13.333531,28.475145,1067.3528,0.0055170185,0.0063886703,69.73799,0.00054548885,Nov,2,2,5,2,Returning_Visitor,False,False
4.0085573,195.36763,-0.0009536105,0.0130266035,30.980875,993.7364,0.017455893,0.031031245,78.25215,0.0011964944,Nov,3,2,1,13,Returning_Visitor,False,False
2.014189,36.187,0.0002900404,0.46318376,1.9853464,10.911913,-0.00019587051,-0.0003521494,56.3153,0.00015946681,Sep,1,1,3,2,New_Visitor,False,False
2.0332599,97.27203,0.007832293,0.4500383,19.212082,980.93665,-0.0001978058,0.02058476,68.706085,0.0010394288,Dec,2,2,1,10,Returning_Visitor,False,False
11.0330925,446.9737,0.019885544,2.0443912,51.609665,1778.7173,-0.0002725109,0.01646542,40.63333,-0.00082438235,Nov,1,1,1,2,Returning_Visitor,False,False
4.997539,79.39804,3.027887,242.84624,15.903512,1111.3671,0.0063139643,0.018148588,62.620167,-0.0015897023,Mar,3,2,6,2,Returning_Visitor,False,False
0.04081682,-1.1953307,0.008982603,-0.061020486,5.226889,202.96635,-0.0001670349,0.03342116,64.358765,4.1091986e-05,Jul,1,1,4,4,Returning_Visitor,True,False
3.019902,66.83429,3.0064194,62.08803,29.58126,1356.0258,0.013853396,0.038561005,43.42765,0.00010531226,Nov,2,2,1,1,Returning_Visitor,False,False
8.038462,150.7538,0.02704585,0.14419116,54.5642,2563.769,0.0026171382,0.007748647,48.61376,-0.00043335726,May,2,4,8,2,Returning_Visitor,True,False
2.0197146,69.21347,3.0039506,62.546997,90.88988,2318.6262,0.0017171527,0.012079749,51.139538,-0.00061499496,Dec,2,5,7,2,Returning_Visitor,False,False
2.0171103,19.333172,0.010436778,0.4985727,21.299356,831.3128,0.0018098556,0.019250067,63.004482,5.822832e-05,Dec,2,2,1,2,Returning_Visitor,False,False
4.032842,72.34932,0.0057234806,-0.08413755,31.991154,2237.5532,-8.960939e-05,0.025212584,38.54924,0.0010173229,Nov,2,2,9,2,Returning_Visitor,False,False
2.0206926,114.44867,4.039969,121.71621,18.882874,869.48,0.00793144,0.035214435,61.84292,0.00036033074,Dec,3,2,3,2,Returning_Visitor,False,False
12.043269,271.32236,6.971239,141.57446,70.4727,1680.2076,0.0038526894,0.01625555,42.22496,-0.00092330744,Oct,2,10,1,4,Returning_Visitor,False,False
10.015631,78.87989,1.0284312,807.9572,113.92032,3262.6377,0.0068514147,0.016661962,45.22687,-0.0014814864,Aug,2,2,3,1,Returning_Visitor,False,False
3.0388167,99.05681,0.0034549278,-0.11039793,31.782438,854.48456,0.0058356565,0.012267683,58.83006,0.00050872396,May,1,1,3,4,Returning_Visitor,False,False
3.0293736,48.141968,1.00231,51.343796,67.5405,2977.7483,0.006755033,0.01642013,46.47014,4.8479236e-05,Mar,2,2,1,1,Returning_Visitor,False,False
3.0390007,20.315441,0.0069516343,0.63936937,29.47504,445.08545,-0.00027387714,0.009597512,50.873272,0.00088641996,Mar,4,1,4,3,Returning_Visitor,False,False
4.9614105,67.65633,-0.0062172967,0.5988382,23.720137,653.4457,-0.0003090383,0.013564389,42.693092,0.0009032806,Oct,2,6,3,2,Returning_Visitor,False,False
2.0259287,57.37642,0.009500627,0.20043887,24.581072,2428.9673,0.007054405,0.028464543,49.092064,0.00041250716,Dec,2,2,1,2,Returning_Visitor,False,False
