Administrative,Administrative_Duration,Informational,Informational_Duration,ProductRelated,ProductRelated_Duration,BounceRates,ExitRates,PageValues,SpecialDay,Month,OperatingSystems,Browser,Region,TrafficType,VisitorType,Weekend,Revenue
3.2646306,82.2773,0.14352225,8.669495,20.207174,680.85675,0.0008593794,0.014544212,-0.024228849,-0.0008370069,Sep,2,2,1,2,New_Visitor,True,False
1.6883491,48.19568,0.12800743,5.934204,28.456005,1239.2959,0.0037071423,0.028081784,0.70238465,-0.00067265454,Dec,2,2,1,2,Returning_Visitor,False,False
1.8174658,37.438557,0.30016157,7.0806923,24.844904,1007.0659,0.007809526,0.03333504,-0.008119382,0.00516223,May,2,2,6,2,Returning_Visitor,False,False
1.7897539,45.279415,0.2524058,4.3256283,23.975655,834.0462,0.009404762,0.031826302,-0.019725598,-0.0011343671,Dec,1,1,1,2,Returning_Visitor,False,False
9.131917,379.342,2.4055445,109.33449,55.14994,2303.0598,0.0076131416,0.020445948,6.1182103,0.006041678,May,1,1,1,2,Returning_Visitor,False,False
1.5135255,47.530922,0.0062699993,1.2141322,19.567327,751.2391,0.013023774,0.03453039,-0.011263646,-0.00077435496,Mar,3,2,1,1,Returning_Visitor,True,False
1.5821319,46.027866,0.03432677,7.023573,27.806522,1273.848,0.0066750175,0.02861931,0.041552268,0.008183389,May,2,4,7,2,Returning_Visitor,False,False
0.90789735,14.757117,0.0069405814,0.9807643,24.456436,706.5896,0.01470688,0.042495638,0.016797267,0.63586223,May,2,2,1,3,Returning_Visitor,False,False
0.023439534,0.83692116,-0.0018049699,-0.098871306,3.2934499,95.461624,0.16907153,0.18042311,-0.035863675,0.0093160225,May,2,2,1,13,Returning_Visitor,False,False
1.7441928,47.474667,0.09319205,1.6290339,16.273273,584.23553,0.01800657,0.03791346,-0.017079152,0.009256362,May,3,2,1,4,Returning_Visitor,False,False
2.9106169,78.54049,0.42147937,18.378633,25.850962,916.6381,0.0074366475,0.024952682,1.6528327,0.011302407,May,1,1,3,2,Returning_Visitor,False,False
1.3806189,28.881546,0.024975963,1.618307,23.393969,940.9213,0.0058814115,0.03190656,-0.030019559,0.012074548,May,2,5,1,3,Returning_Visitor,False,False
1.4158148,30.625553,0.0031198044,0.46919435,19.733362,719.3198,0.007337187,0.035077043,-0.053318776,-0.0012932135,Mar,2,2,1,3,Returning_Visitor,False,False
2.474727,54.38914,0.29550686,16.887993,35.328506,1454.9022,0.004681341,0.027974144,0.61033934,-0.000616127,Nov,2,2,3,2,Returning_Visitor,True,False
4.4402614,117.357605,4.177457,1198.155,60.596947,3120.6765,0.007939064,0.026211824,3.783003,0.012966155,May,2,2,1,2,Returning_Visitor,False,False
7.0734453,225.10033,4.2104235,300.46887,55.602646,2242.829,0.00825225,0.020469826,6.0884852,0.00029116,May,3,2,1,2,Returning_Visitor,False,False
1.2280446,34.37983,0.007744797,0.97915834,14.550961,579.8237,0.010203554,0.040998466,-0.024524964,0.011479824,May,1,1,3,3,Returning_Visitor,False,False
0.91812146,20.799572,0.0076834043,1.1073321,22.453562,809.2376,0.0088979,0.03603344,0.0023362264,0.06437329,May,2,4,1,3,Returning_Visitor,False,False
1.8060459,41.751255,0.08916513,2.7589302,25.435417,972.05304,0.013130956,0.038557515,0.021747313,0.06046366,May,2,2,1,6,Returning_Visitor,False,False
1.786031,50.880653,0.042807914,1.2700175,27.253506,1173.5787,0.007251562,0.031726394,0.34936878,0.00024052212,Dec,2,2,2,1,Returning_Visitor,False,False
1.7905163,58.23795,0.09792099,5.514984,19.727823,742.2866,0.01215326,0.029735448,-0.026173867,0.0035076018,May,3,2,6,1,Returning_Visitor,False,False
1.3064162,33.18479,0.08478526,3.4162235,25.49986,964.27893,0.007949958,0.03383167,-0.008568563,-0.00080285344,Mar,2,2,1,1,Returning_Visitor,False,False
0.1096412,3.7224498,-0.0018052679,0.15163605,7.860617,170.80354,0.14835633,0.15931538,-0.014837541,0.13400781,May,3,2,1,13,Returning_Visitor,False,False
0.7006235,26.097137,0.0065294285,1.2522372,24.946363,959.5444,0.02180367,0.05279778,0.023838721,0.61300635,May,2,2,1,13,Returning_Visitor,False,False
1.9199247,61.674007,0.033130653,2.1646519,21.885624,884.5466,0.005882244,0.022580754,0.047931872,-0.00088954094,Nov,3,2,1,2,Returning_Visitor,True,False
0.03447879,0.54959816,-0.002461038,-0.036321715,2.6851773,63.733227,0.17547321,0.18448974,-0.012172975,0.0010945114,Dec,3,2,1,1,Returning_Visitor,False,False
0.123786815,1.546638,-0.00041138346,-0.09942062,3.1751733,71.37654,0.17395414,0.18063945,-0.019802846,0.05514517,May,1,1,1,3,Returning_Visitor,False,False
1.7728627,50.306,0.17305978,8.065739,28.254326,1223.4734,0.00925471,0.034506403,0.0012609586,0.00013535345,Mar,2,2,4,1,Returning_Visitor,False,False
1.551013,27.115189,0.055850245,1.5854968,24.894491,888.3208,0.011640228,0.034756698,-0.010495938,0.0020627852,Mar,2,2,7,1,Returning_Visitor,False,False
0.75109005,15.419051,0.012893565,0.50010866,17.971004,936.39667,0.015689924,0.04580089,-0.008732118,0.0046682605,Mar,2,5,1,1,Returning_Visitor,False,False
8.61236,237.37402,0.6657475,14.09606,45.21532,1620.0309,0.0036053897,0.016785672,4.376824,-0.0005380784,Oct,2,2,1,2,Returning_Visitor,False,False
2.7745476,101.71929,0.083530314,2.7667732,12.306576,453.20056,0.001980135,0.01928061,-0.09104756,0.0013213778,Mar,1,1,1,2,New_Visitor,False,False
2.351959,80.04796,0.24396847,6.3540497,24.74136,979.45593,0.011613091,0.032168996,-0.0053441897,0.010092392,May,3,2,8,2,Returning_Visitor,False,False
2.0588267,49.815514,0.11154721,6.7496834,27.80049,1435.7064,0.009197333,0.032139547,0.010800563,0.003637186,Mar,2,2,8,1,Returning_Visitor,False,False
