model,method,cv_balanced,cv_macro_f1,cv_weighted_f1,cv_accuracy,cv_balanced_std,cv_macro_f1_std,cv_weighted_f1_std,cv_accuracy_std,optuna_time,train_time,test_balanced,test_macro_f1,test_weighted_f1,test_accuracy,test_roc_auc,inf_time_per_sample,space,IPC,seed,vae_pretrain_time,vae_fine_tunning_time,encoder_inference_time,decoder_inference_time
xgb,random,0.9,0.899,0.903,0.91,0.122,0.124,0.12,0.111,19.718,0.096,0.827,0.737,0.838,0.819,0.863,2.2e-05,original,0.002,5,,,,
rf,random,0.817,0.81,0.813,0.82,0.162,0.165,0.16,0.157,19.147,0.153,0.742,0.642,0.765,0.73,0.822,1e-05,original,0.002,5,,,,
svc,random,0.817,0.8,0.8,0.81,0.097,0.103,0.103,0.097,5.963,0.002,0.743,0.695,0.823,0.807,0.841,3e-06,original,0.002,5,,,,
logreg,random,0.783,0.76,0.76,0.77,0.041,0.033,0.033,0.024,5.805,0.006,0.749,0.65,0.771,0.738,0.815,1e-06,original,0.002,5,,,,
mlp,random,0.667,0.663,0.667,0.67,0.19,0.189,0.187,0.189,8.379,1.276,0.724,0.585,0.697,0.649,0.809,7e-05,original,0.002,5,,,,
xgb,k-means,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,6.942,0.061,0.783,0.753,0.863,0.856,0.88,1.8e-05,original,0.002,5,,,,
rf,k-means,0.95,0.947,0.947,0.95,0.1,0.107,0.107,0.1,18.949,0.285,0.501,0.137,0.046,0.157,0.872,1.8e-05,original,0.002,5,,,,
svc,k-means,0.55,0.394,0.371,0.51,0.1,0.171,0.187,0.128,5.929,0.002,0.519,0.501,0.787,0.845,0.15,5e-06,original,0.002,5,,,,
logreg,k-means,0.667,0.636,0.643,0.68,0.19,0.229,0.23,0.194,7.049,0.014,0.798,0.725,0.835,0.818,0.877,1e-06,original,0.002,5,,,,
mlp,k-means,0.433,0.38,0.395,0.45,0.122,0.141,0.14,0.118,7.559,0.049,0.761,0.719,0.839,0.827,0.863,2.6e-05,original,0.002,5,,,,
xgb,ag,0.867,0.853,0.853,0.86,0.113,0.122,0.122,0.116,5.04,0.055,0.814,0.796,0.89,0.887,0.865,1.6e-05,original,0.002,5,,,,
rf,ag,0.9,0.893,0.893,0.9,0.122,0.131,0.131,0.122,20.695,0.327,0.661,0.439,0.498,0.452,0.819,3e-05,original,0.002,5,,,,
svc,ag,0.6,0.54,0.54,0.59,0.244,0.273,0.274,0.242,6.815,0.002,0.801,0.76,0.865,0.856,0.868,4e-06,original,0.002,5,,,,
logreg,ag,0.717,0.63,0.619,0.69,0.194,0.277,0.292,0.215,6.169,0.577,0.777,0.704,0.82,0.8,0.85,0.0,original,0.002,5,,,,
mlp,ag,0.567,0.454,0.446,0.55,0.097,0.174,0.189,0.118,6.445,0.054,0.77,0.69,0.809,0.785,0.828,8.6e-05,original,0.002,5,,,,
xgb,k_center,0.817,0.806,0.81,0.82,0.097,0.1,0.099,0.093,5.238,0.033,0.815,0.796,0.89,0.886,0.809,9e-06,original,0.002,5,,,,
rf,k_center,0.583,0.53,0.533,0.58,0.204,0.23,0.231,0.196,16.163,0.103,0.535,0.265,0.254,0.265,0.775,7e-06,original,0.002,5,,,,
svc,k_center,0.5,0.394,0.371,0.46,0.274,0.305,0.315,0.278,7.266,0.001,0.5,0.135,0.043,0.156,0.434,4e-06,original,0.002,5,,,,
logreg,k_center,0.617,0.557,0.546,0.59,0.267,0.303,0.314,0.273,4.59,0.006,0.496,0.135,0.044,0.155,0.534,1e-06,original,0.002,5,,,,
mlp,k_center,0.417,0.37,0.375,0.42,0.293,0.317,0.32,0.298,5.22,0.036,0.558,0.342,0.378,0.346,0.618,3.5e-05,original,0.002,5,,,,
xgb,craig,0.6,0.48,0.507,0.633,0.2,0.261,0.259,0.194,8.099,13.907,0.764,0.787,0.893,0.898,0.763,4.5e-05,original,0.002,5,,,,
rf,craig,0.85,0.8,0.8,0.833,0.2,0.267,0.267,0.211,30.782,0.613,0.673,0.549,0.666,0.613,0.761,3.1e-05,original,0.002,5,,,,
svc,craig,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,9.555,0.001,0.457,0.203,0.176,0.205,0.491,1e-06,original,0.002,5,,,,
logreg,craig,0.9,0.867,0.867,0.9,0.2,0.267,0.267,0.2,7.252,0.828,0.455,0.179,0.134,0.184,0.486,0.0,original,0.002,5,,,,
mlp,craig,0.9,0.867,0.867,0.9,0.2,0.267,0.267,0.2,13.664,0.116,0.585,0.405,0.474,0.422,0.706,7e-05,original,0.002,5,,,,
xgb,lc,0.95,0.947,0.947,0.95,0.1,0.107,0.107,0.1,4.244,0.034,0.378,0.143,0.1,0.148,0.202,1.2e-05,original,0.002,5,,,,
rf,lc,0.85,0.813,0.813,0.85,0.2,0.261,0.261,0.2,20.788,0.469,0.333,0.312,0.443,0.364,0.277,6.1e-05,original,0.002,5,,,,
svc,lc,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,6.392,0.002,0.408,0.148,0.097,0.154,0.162,3e-06,original,0.002,5,,,,
logreg,lc,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,4.611,0.257,0.453,0.128,0.046,0.144,0.113,1e-06,original,0.002,5,,,,
mlp,lc,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,7.803,2.116,0.285,0.218,0.28,0.229,0.191,0.000101,original,0.002,5,,,,
xgb,random,0.933,0.917,0.913,0.92,0.133,0.167,0.173,0.16,12.663,6.228,0.835,0.792,0.883,0.876,0.853,3e-05,original,0.002,6,,,,
rf,random,0.817,0.81,0.813,0.82,0.162,0.165,0.16,0.157,29.994,0.209,0.668,0.569,0.7,0.652,0.769,1.1e-05,original,0.002,6,,,,
svc,random,0.85,0.823,0.82,0.83,0.133,0.16,0.165,0.154,6.795,0.001,0.732,0.606,0.722,0.677,0.789,4e-06,original,0.002,6,,,,
logreg,random,0.85,0.823,0.82,0.83,0.133,0.16,0.165,0.154,16.084,0.238,0.776,0.658,0.771,0.736,0.837,1e-06,original,0.002,6,,,,
mlp,random,0.85,0.823,0.82,0.83,0.133,0.16,0.165,0.154,10.23,0.037,0.731,0.618,0.738,0.697,0.793,2.9e-05,original,0.002,6,,,,
xgb,k-means,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,4.618,7.607,0.811,0.801,0.894,0.893,0.853,4.4e-05,original,0.002,6,,,,
rf,k-means,0.95,0.952,0.956,0.96,0.1,0.095,0.088,0.08,27.803,0.663,0.5,0.134,0.042,0.155,0.882,3.1e-05,original,0.002,6,,,,
svc,k-means,0.8,0.78,0.773,0.79,0.292,0.324,0.336,0.31,5.416,0.002,0.82,0.749,0.851,0.836,0.884,3e-06,original,0.002,6,,,,
logreg,k-means,0.8,0.786,0.783,0.8,0.292,0.323,0.336,0.31,9.714,0.113,0.804,0.78,0.88,0.875,0.888,0.0,original,0.002,6,,,,
mlp,k-means,0.333,0.307,0.307,0.33,0.139,0.158,0.16,0.14,8.387,0.02,0.747,0.723,0.847,0.84,0.845,5.4e-05,original,0.002,6,,,,
xgb,ag,0.817,0.807,0.807,0.81,0.186,0.187,0.187,0.185,5.951,10.165,0.814,0.796,0.89,0.887,0.871,1.7e-05,original,0.002,6,,,,
rf,ag,0.833,0.813,0.813,0.82,0.091,0.098,0.098,0.093,28.506,0.686,0.636,0.391,0.429,0.396,0.823,3.7e-05,original,0.002,6,,,,
svc,ag,0.567,0.52,0.512,0.55,0.097,0.145,0.166,0.118,8.062,0.001,0.806,0.766,0.869,0.861,0.869,3e-06,original,0.002,6,,,,
logreg,ag,0.75,0.717,0.713,0.73,0.279,0.301,0.302,0.282,8.599,0.116,0.761,0.681,0.802,0.777,0.837,1e-06,original,0.002,6,,,,
mlp,ag,0.483,0.424,0.412,0.46,0.162,0.185,0.195,0.166,11.659,0.057,0.755,0.671,0.793,0.766,0.816,8.9e-05,original,0.002,6,,,,
xgb,k_center,0.7,0.633,0.633,0.7,0.245,0.306,0.306,0.245,5.726,4.538,0.779,0.722,0.837,0.822,0.811,1.8e-05,original,0.002,6,,,,
rf,k_center,0.483,0.439,0.443,0.49,0.162,0.189,0.195,0.18,27.32,0.523,0.613,0.423,0.491,0.44,0.741,4e-05,original,0.002,6,,,,
svc,k_center,0.5,0.314,0.291,0.46,0.0,0.023,0.051,0.049,7.064,0.002,0.5,0.135,0.043,0.156,0.51,4e-06,original,0.002,6,,,,
logreg,k_center,0.65,0.59,0.587,0.63,0.133,0.167,0.167,0.125,5.181,0.008,0.496,0.135,0.044,0.155,0.425,0.0,original,0.002,6,,,,
