model,method,cv_balanced,cv_macro_f1,cv_weighted_f1,cv_accuracy,cv_balanced_std,cv_macro_f1_std,cv_weighted_f1_std,cv_accuracy_std,optuna_time,train_time,test_balanced,test_macro_f1,test_weighted_f1,test_accuracy,test_roc_auc,inf_time_per_sample,space,IPC,seed,vae_pretrain_time,vae_fine_tunning_time,encoder_inference_time,decoder_inference_time
xgb,random,0.95,0.947,0.947,0.95,0.1,0.107,0.107,0.1,11.416,0.038,0.83,0.793,0.885,0.878,0.883,9e-06,original,10,0,,,,
rf,random,0.75,0.74,0.74,0.75,0.158,0.158,0.158,0.158,16.533,0.345,0.782,0.686,0.8,0.773,0.858,1.9e-05,original,10,0,,,,
svc,random,0.65,0.6,0.6,0.65,0.255,0.292,0.292,0.255,6.347,0.002,0.71,0.648,0.785,0.759,0.794,4e-06,original,10,0,,,,
logreg,random,0.65,0.6,0.6,0.65,0.255,0.292,0.292,0.255,4.663,0.007,0.775,0.724,0.84,0.826,0.851,0.0,original,10,0,,,,
mlp,random,0.55,0.507,0.507,0.55,0.245,0.271,0.271,0.245,7.205,0.035,0.733,0.667,0.797,0.773,0.812,2.5e-05,original,10,0,,,,
xgb,random,0.95,0.947,0.947,0.95,0.1,0.107,0.107,0.1,7.102,0.045,0.802,0.803,0.897,0.897,0.849,1.1e-05,original,10,1,,,,
rf,random,0.85,0.813,0.813,0.85,0.2,0.261,0.261,0.2,12.946,0.202,0.741,0.705,0.833,0.822,0.836,1.9e-05,original,10,1,,,,
svc,random,0.8,0.787,0.787,0.8,0.292,0.311,0.311,0.292,6.38,0.002,0.769,0.724,0.842,0.83,0.848,2e-06,original,10,1,,,,
logreg,random,0.8,0.787,0.787,0.8,0.292,0.311,0.311,0.292,5.391,0.006,0.779,0.743,0.856,0.847,0.861,1e-06,original,10,1,,,,
mlp,random,0.6,0.587,0.587,0.6,0.3,0.293,0.293,0.3,6.806,0.046,0.754,0.658,0.778,0.747,0.822,8.8e-05,original,10,1,,,,
xgb,random,0.9,0.893,0.893,0.9,0.122,0.131,0.131,0.122,6.754,0.031,0.833,0.789,0.881,0.873,0.85,1.8e-05,original,10,2,,,,
rf,random,0.9,0.9,0.9,0.9,0.2,0.2,0.2,0.2,15.167,0.259,0.77,0.618,0.724,0.68,0.859,1.7e-05,original,10,2,,,,
svc,random,0.9,0.893,0.893,0.9,0.122,0.131,0.131,0.122,6.05,0.002,0.792,0.739,0.849,0.836,0.866,2e-06,original,10,2,,,,
logreg,random,0.9,0.893,0.893,0.9,0.122,0.131,0.131,0.122,6.343,0.177,0.782,0.709,0.824,0.805,0.858,1e-06,original,10,2,,,,
mlp,random,0.9,0.9,0.9,0.9,0.2,0.2,0.2,0.2,5.877,0.059,0.759,0.656,0.774,0.741,0.841,7.3e-05,original,10,2,,,,
xgb,random,0.6,0.587,0.587,0.6,0.3,0.293,0.293,0.3,6.595,0.015,0.73,0.582,0.69,0.641,0.807,1.9e-05,original,10,3,,,,
rf,random,0.5,0.427,0.427,0.5,0.274,0.278,0.278,0.274,14.533,0.334,0.662,0.524,0.634,0.577,0.723,2.3e-05,original,10,3,,,,
svc,random,0.8,0.793,0.793,0.8,0.187,0.189,0.189,0.187,6.774,0.002,0.709,0.634,0.768,0.736,0.779,5e-06,original,10,3,,,,
logreg,random,0.8,0.793,0.793,0.8,0.187,0.189,0.189,0.187,6.775,0.007,0.734,0.643,0.768,0.735,0.803,0.0,original,10,3,,,,
mlp,random,0.9,0.893,0.893,0.9,0.122,0.131,0.131,0.122,7.432,1.467,0.716,0.604,0.726,0.683,0.784,5.1e-05,original,10,3,,,,
