Administrative,Administrative_Duration,Informational,Informational_Duration,ProductRelated,ProductRelated_Duration,BounceRates,ExitRates,PageValues,SpecialDay,Month,OperatingSystems,Browser,Region,TrafficType,VisitorType,Weekend,Revenue
5.897216,149.69943,0.34355098,13.587929,69.487625,2549.235,0.0073013855,0.024256717,2.68292,0.0538879,May,2,2,2,1,Returning_Visitor,False,False
24.217175,1716.8652,19.823845,1692.9767,766.0993,33766.355,0.011487111,-0.02771958,10.908726,0.076170444,May,2,2,1,14,Returning_Visitor,False,False
15.899693,1725.7102,4.0940948,272.63,475.63666,21042.076,0.0076710777,-0.0021517165,6.6288185,-0.003741987,Jul,2,2,1,1,Returning_Visitor,False,False
5.5255165,156.47446,7.0908012,1623.0713,53.54241,3069.599,0.007078275,0.017944783,5.0272164,0.0039115474,Jul,3,2,4,2,Returning_Visitor,False,False
2.2728653,78.30409,0.17923316,15.311785,24.910336,995.9016,-0.0045964364,-0.008441266,187.37216,-0.03264281,Oct,4,1,9,2,New_Visitor,False,False
7.645956,198.58022,6.1643486,1190.4534,369.55316,15949.627,0.013483694,0.0155754015,4.0236573,0.027942795,Jul,2,2,1,13,Returning_Visitor,False,False
9.277661,1753.584,1.3876699,101.151306,59.662624,4175.086,0.016132807,0.033245426,3.3444538,-0.009693168,Oct,3,2,1,13,Returning_Visitor,False,False
17.903791,657.6045,2.4416115,159.67992,462.62653,18761.432,0.0013045184,-0.0137687065,5.389321,-0.0017640144,Nov,2,4,1,8,Returning_Visitor,False,False
5.694742,114.87589,0.94865525,75.8353,269.6654,10862.193,0.0070405407,0.015429359,2.9851687,0.7200707,May,2,2,1,6,Returning_Visitor,False,False
7.44592,352.40085,5.012361,688.8306,251.61111,10773.912,0.0052388217,0.0070160367,5.2165604,-0.0029909462,Nov,3,2,1,2,Returning_Visitor,False,False
1.3610495,28.110043,0.17576724,7.2420883,41.5192,1549.2949,0.008822576,0.03369243,1.9506905,0.008231182,Jul,2,2,3,3,Returning_Visitor,False,True
2.1990778,73.72834,0.20469579,5.6481457,37.55873,1536.88,-0.003759263,-0.014471281,278.78235,-0.050971963,Dec,8,13,9,20,Other,True,True
17.185589,1024.1387,3.305433,219.0008,473.81335,19810.203,0.0046334807,-0.014779087,5.7168846,-0.011825755,Nov,1,1,1,2,Returning_Visitor,False,True
15.03348,1507.7715,8.088183,976.35925,89.44231,5237.6294,0.0048299097,0.008841235,7.774264,-0.036857605,Mar,2,2,1,2,Returning_Visitor,False,True
7.758748,188.84146,1.3053783,93.649895,339.70966,13725.127,0.0010784697,0.0042259768,4.5164056,0.010611445,Nov,2,4,1,10,Returning_Visitor,False,True
18.418922,1007.1214,6.861547,489.1682,159.6745,6878.416,0.013693571,0.012934968,5.2821817,-0.0240838,Nov,3,2,2,13,Returning_Visitor,False,True
3.4678485,93.31198,4.220183,1168.9087,56.304047,2857.8682,0.011048898,0.032464206,4.324198,0.5807332,May,2,2,2,4,Returning_Visitor,False,True
1.6965661,56.18178,0.1826959,17.092745,26.726685,982.6841,-0.0029590037,0.00012633204,142.87737,-0.025412299,Nov,2,2,4,2,New_Visitor,False,True
0.716589,15.531975,0.093239814,10.016775,18.936558,622.4789,0.009997839,0.035550565,3.923726,0.70608443,May,1,8,1,11,Returning_Visitor,False,True
3.431287,94.37172,2.8325233,870.9502,127.34419,5651.412,0.005387066,0.01803132,4.257576,0.0036394075,Nov,2,2,1,2,Returning_Visitor,True,True
