Administrative,Administrative_Duration,Informational,Informational_Duration,ProductRelated,ProductRelated_Duration,BounceRates,ExitRates,PageValues,SpecialDay,Month,OperatingSystems,Browser,Region,TrafficType,VisitorType,Weekend,Revenue
2.2728653,78.30409,0.17923316,15.311785,24.910336,995.9016,-0.0045964364,-0.008441266,187.37216,-0.03264281,Oct,4,1,9,2,New_Visitor,False,False
1.529005,52.763664,0.1714111,9.09367,22.484947,889.352,0.001441773,0.009271305,126.90575,-0.019490056,Oct,1,1,1,5,New_Visitor,False,False
2.029055,66.89821,0.20934355,12.332691,31.182348,1199.1754,-0.0012971833,-0.0024716072,171.34607,-0.03209479,Dec,1,1,3,2,Returning_Visitor,False,False
17.281996,920.6185,2.1816194,101.99638,115.93088,4720.2627,-0.0005408451,-0.0148553625,146.07715,-0.058153562,Nov,2,2,3,3,Returning_Visitor,False,False
4.377783,105.53084,0.4303905,24.81865,105.6836,4194.758,0.0018905662,0.005112704,104.22765,-0.012262881,Oct,2,2,3,20,Returning_Visitor,False,False
1.2950666,30.664013,0.13887239,4.2770615,26.50042,945.25885,0.005177796,0.020427253,63.598923,-0.007830016,Nov,8,13,9,20,Other,True,False
1.629571,52.053886,0.16055477,11.855539,22.635319,865.1305,0.0015742276,0.011596326,85.652985,-0.00982514,Dec,1,1,2,2,Returning_Visitor,True,False
1.2385259,41.194107,0.17471638,13.821802,28.580677,1032.2146,0.0010281913,0.017214369,63.197495,-0.0076328143,Nov,2,4,7,2,Returning_Visitor,False,False
1.0609823,27.771805,0.17065391,8.671261,28.46446,1064.3857,0.009297123,0.025696818,87.98125,-0.0076421946,Nov,3,2,1,13,Returning_Visitor,False,False
1.256542,34.72822,0.116696,5.142313,17.362148,621.3654,0.006310165,0.024210798,55.065018,0.0010445416,Oct,1,1,4,4,Returning_Visitor,True,False
0.17757154,4.799782,0.010183364,3.8905258,2.6676483,73.09485,0.15587059,0.1662435,1.0112824,0.011975352,Jul,2,2,1,3,Returning_Visitor,False,True
0.05254984,-6.6486893,-0.0065146983,0.8651581,4.30225,48.985718,0.15540937,0.16509873,0.81880474,0.006824095,Nov,3,2,3,8,Returning_Visitor,False,True
-0.066107035,-7.469467,0.022315979,4.9083176,5.8783283,131.89075,0.15164456,0.16340317,1.3032398,0.0043765754,Nov,3,2,1,11,Returning_Visitor,False,True
1.1889912,24.231522,0.1317656,5.700222,19.838348,685.5006,0.010287626,0.035528697,1.2564006,0.012519635,Jul,1,1,2,3,Returning_Visitor,True,True
0.67553675,13.0601425,0.059117943,-0.5167198,14.001757,466.5996,0.026653912,0.05364909,1.0608883,0.006244473,Dec,3,2,2,3,Returning_Visitor,False,True
1.0735532,24.430721,0.12080434,6.127058,22.233116,831.75745,0.008083067,0.031703398,1.7268968,0.009596951,Dec,8,13,9,3,Returning_Visitor,True,True
0.9196116,25.310505,0.13715348,10.845459,18.033718,667.5699,0.0071973717,0.031883523,2.019558,0.01081755,Jul,4,2,1,2,Returning_Visitor,True,True
0.9197806,19.544613,0.10164204,5.341631,16.620983,579.08484,0.009060666,0.03433404,1.3526707,0.009159092,Dec,4,2,2,3,Returning_Visitor,True,True
3.4678485,93.31198,4.220183,1168.9087,56.304047,2857.8682,0.011048898,0.032464206,4.324198,0.5807332,May,2,2,2,4,Returning_Visitor,False,True
10.886413,576.3367,0.9368653,42.98239,40.714294,1562.6072,0.0054282676,0.013565719,3.6163166,-0.018791683,Mar,1,1,3,2,Returning_Visitor,False,True
