Administrative,Administrative_Duration,Informational,Informational_Duration,ProductRelated,ProductRelated_Duration,BounceRates,ExitRates,PageValues,SpecialDay,Month,OperatingSystems,Browser,Region,TrafficType,VisitorType,Weekend,Revenue
1.2844763,33.17207,0.14157078,4.428524,18.321823,615.94885,0.0068117,0.030124767,1.9705682,0.0013974421,Dec,1,1,6,2,Returning_Visitor,False,False
1.4605818,36.92741,0.1543085,7.5600452,20.396349,681.0568,0.0071411254,0.030660752,1.8953483,0.00097640604,Dec,1,1,1,2,Returning_Visitor,False,False
0.7119305,17.545818,0.057925254,-10.700642,17.03667,527.681,0.011150908,0.0376165,1.4156232,0.52154773,May,2,2,1,2,Returning_Visitor,False,False
5.359592,139.82135,1.793066,67.76283,192.01436,7749.455,0.004841758,0.015621094,3.636574,-0.0061822757,Nov,2,2,1,2,Returning_Visitor,False,False
1.4821808,41.09696,0.14184073,7.421543,22.646471,814.3777,0.007284645,0.030624792,1.5911212,0.009093586,Dec,2,2,6,2,Returning_Visitor,False,False
1.2659194,36.833023,0.1360515,9.750084,23.78231,847.9126,0.0072270324,0.031057302,1.4753981,0.0014548153,Dec,2,2,1,2,Returning_Visitor,False,False
0.053725004,4.6524124,0.02778852,-0.6171341,3.8818264,86.37598,0.14847146,0.16333175,-0.3283372,0.019640543,May,2,2,1,3,Returning_Visitor,False,False
-0.09655309,-0.021125793,-0.01239267,-4.890175,1.7312031,52.989258,0.15085626,0.16732308,-0.8279395,0.00020910427,Mar,2,2,1,1,Returning_Visitor,False,False
0.7444085,25.683392,0.096934795,3.504303,12.593767,470.43695,0.0056290086,0.03159585,1.7658343,0.036415286,Feb,2,2,1,3,Returning_Visitor,False,False
0.62202656,20.551311,0.043362856,-7.9558563,19.224857,658.4437,0.019985799,0.04686357,0.6128621,0.48553213,May,2,2,1,3,Returning_Visitor,False,False
0.87519526,18.487923,0.06447509,-1.6960945,21.247921,792.9833,0.008701624,0.035701815,1.0448766,-0.008119673,Mar,2,2,7,1,Returning_Visitor,False,False
1.4241164,35.942024,0.13706079,1.9421196,26.260353,1000.30475,0.010799069,0.035707094,1.4576612,-0.004932165,Mar,2,2,4,1,Returning_Visitor,False,False
1.0363351,27.767883,0.10115364,2.718708,22.742992,854.6712,0.01117624,0.037229136,1.0788364,-0.0036056936,Mar,2,2,1,1,Returning_Visitor,False,False
1.1800805,27.87764,0.123688996,4.3101177,22.16304,772.7931,0.0052728467,0.029722102,1.7063103,0.0029079765,Dec,2,2,3,2,Returning_Visitor,False,False
