Administrative,Administrative_Duration,Informational,Informational_Duration,ProductRelated,ProductRelated_Duration,BounceRates,ExitRates,PageValues,SpecialDay,Month,OperatingSystems,Browser,Region,TrafficType,VisitorType,Weekend,Revenue
0.8688595,29.453823,0.11160305,7.703781,20.143993,730.8855,0.0127621945,0.037719574,0.95280457,0.01400917,May,3,2,1,3,Returning_Visitor,False,False
0.7936708,20.165703,0.08051002,-2.6241264,16.283684,624.2935,0.013769921,0.040240802,0.9686699,-0.0037174448,Mar,2,2,6,1,Returning_Visitor,False,False
0.75402594,17.12767,0.057845116,-17.849453,18.737629,577.8538,0.01339691,0.03961153,1.2536106,0.748014,May,3,2,1,2,Returning_Visitor,True,False
2.1140697,50.39981,0.16004306,8.94939,23.563175,788.77185,0.0031055473,0.025306081,1.9830661,-0.006622076,Dec,2,2,3,2,Returning_Visitor,False,False
1.798726,45.171257,0.17841849,10.071535,19.135202,609.8758,0.0055925176,0.027485337,2.0407338,-0.00269185,Dec,1,1,1,2,Returning_Visitor,False,False
4.3886213,126.579094,2.379796,128.82616,48.992188,1902.4376,0.0068461904,0.024938084,3.2195642,-0.0015369058,Dec,1,2,1,2,Returning_Visitor,False,False
1.1753966,30.51757,0.14114389,6.092478,24.368916,866.4352,0.006267406,0.030588195,2.2640133,0.0046226494,May,2,2,6,2,Returning_Visitor,False,False
0.8727546,25.989311,0.095695436,1.1343231,16.526005,560.2507,0.013010502,0.037300956,1.382596,0.013652388,May,1,1,4,3,Returning_Visitor,False,False
1.2000208,24.292866,0.10149494,2.6354256,24.391748,857.4398,0.003442401,0.028559506,1.5068636,-0.0019229278,Dec,2,2,7,2,Returning_Visitor,False,False
5.012644,147.34966,3.7579002,378.79886,62.969078,2666.166,0.0062642004,0.022393012,4.0975723,0.006440088,May,2,2,4,2,Returning_Visitor,False,False
2.8042107,81.796104,0.18724945,8.083935,15.459986,440.62457,0.0036073271,0.023814376,2.2903523,-0.0041430965,Dec,2,2,6,2,Returning_Visitor,False,False
0.7014873,17.73573,0.055183113,-10.02013,15.743622,490.74384,0.013049675,0.039630093,1.5711017,0.46095708,May,4,2,6,2,Returning_Visitor,False,False
0.74625957,14.52935,0.043199092,-12.235859,23.029812,769.36884,0.008760133,0.03556395,1.2294044,0.51954967,May,2,2,3,2,Returning_Visitor,False,False
0.9124694,22.486351,0.09247106,-1.8614082,21.909075,878.23376,0.007924173,0.03343369,0.7810712,-0.00068011135,Mar,2,2,1,10,Returning_Visitor,False,False
0.5923548,20.277058,0.037118882,-8.874214,18.743488,639.7062,0.020916712,0.047905505,0.4576459,0.51859766,May,2,2,1,13,Returning_Visitor,False,False
-0.08736324,0.8745117,-0.009209663,-3.6802483,1.9524441,55.984497,0.14886774,0.1656383,-0.8372526,0.0011238195,Mar,2,2,1,1,Returning_Visitor,False,False
1.2322781,23.064793,0.14000472,-4.005844,20.850544,761.1034,0.006191477,0.029893454,1.3709435,-0.0026301742,Nov,1,1,1,8,Returning_Visitor,False,False
0.8177142,24.303135,0.09531739,0.37224197,16.272612,612.52234,0.011686174,0.0377982,1.263813,0.020170871,May,2,2,6,1,Returning_Visitor,False,False
0.8768059,29.34491,0.1120916,5.524908,19.997028,741.6543,0.014641514,0.039587144,1.0689206,0.02190156,May,3,2,4,3,Returning_Visitor,False,False
0.7543068,12.980423,0.046666473,-3.154663,22.592064,846.9344,0.007945378,0.03574272,0.89913034,-0.009989969,Mar,2,2,7,1,Returning_Visitor,False,False
1.5057576,41.37467,0.14346227,11.071623,23.768997,827.9852,0.0061289147,0.029557189,1.7295198,5.6810677e-06,Dec,2,2,1,2,Returning_Visitor,False,False
4.0651,113.76191,2.1914828,126.49312,144.33649,5851.455,0.0051308535,0.018802652,3.48335,-0.0044949725,Mar,2,2,1,2,Returning_Visitor,False,False
0.792338,15.784149,0.06383881,-3.5088806,19.976627,755.1987,0.010332701,0.037452534,0.93664885,-0.0071846023,Mar,2,2,3,1,Returning_Visitor,False,False
0.9405836,24.043114,0.12052435,1.324192,15.887068,537.80286,0.008978356,0.03369574,1.6663342,0.009579267,May,3,2,6,3,Returning_Visitor,False,False
15.186515,877.3568,7.069158,495.64304,433.0359,18437.139,0.0022736955,-0.009522777,8.042173,-0.019213088,Nov,2,2,1,2,Returning_Visitor,False,False
1.1659784,30.581966,0.111312956,3.174776,24.921566,940.4792,0.011074871,0.036899738,1.1314263,-0.003777191,Mar,2,2,1,1,Returning_Visitor,False,False
1.1286612,23.111809,0.09429458,-6.272747,13.139587,524.32697,0.0037284512,0.028972972,1.3052115,-0.0016236231,Mar,2,2,1,8,Returning_Visitor,False,False
1.0521771,23.12859,0.12847942,2.4416695,22.548338,787.2876,0.0058096275,0.030714348,1.8464851,0.009454634,May,2,2,3,2,Returning_Visitor,False,False
0.40135133,8.115486,-0.022487372,-20.218338,14.08876,462.82025,0.016503273,0.04590079,0.6032629,0.63317144,May,2,2,2,1,Returning_Visitor,False,False
2.3322415,67.72325,0.18751588,12.000944,23.543491,819.4344,0.0046623945,0.025644813,2.0894434,-0.0030508041,Dec,2,2,6,2,Returning_Visitor,False,False
0.5381117,16.584759,0.020008713,-9.9535675,16.420742,570.51605,0.014656033,0.042794883,0.83281565,0.43715593,May,2,2,1,1,Returning_Visitor,False,False
