Administrative,Administrative_Duration,Informational,Informational_Duration,ProductRelated,ProductRelated_Duration,BounceRates,ExitRates,PageValues,SpecialDay,Month,OperatingSystems,Browser,Region,TrafficType,VisitorType,Weekend,Revenue
8.982379,73.11908,1.9875827,123.449905,17.60343,321.399,0.008807887,0.035519026,-0.15040474,-0.00011193877,Mar,3,2,8,2,Returning_Visitor,False,False
16.965593,2626.1262,23.965464,2023.8887,713.3104,42769.574,0.004144182,0.02279781,0.006418906,-0.01006537,May,2,2,1,14,Returning_Visitor,True,False
9.783001,2453.8047,2.9763525,390.99582,490.86853,23213.354,0.00010442328,0.00804213,0.07500812,0.0023263718,Jul,2,2,1,3,Returning_Visitor,False,False
3.8663013,145.17613,0.0112359,-4.382967,60.9514,4485.059,0.0012961176,0.00096908846,248.18019,-0.005352193,Oct,4,1,8,2,New_Visitor,False,False
8.06558,292.52002,8.07569,175.77742,153.02467,16146.32,0.011726108,0.025204705,0.5430185,0.0025589417,June,2,2,1,5,Returning_Visitor,True,False
5.0157523,2178.2192,2.0096488,97.83572,15.722765,564.7819,0.0355256,0.041384414,0.18047161,0.0010629693,May,1,2,4,4,Returning_Visitor,True,False
8.107135,146.59364,-0.01234623,1.8725985,506.71463,11744.995,-0.0020490403,0.0033625464,-0.009429254,-0.0032549885,Oct,4,2,9,2,Returning_Visitor,False,False
0.030512936,-1.5800252,0.002933242,-1.2246114,1.0911164,17.722363,0.20002611,0.20049374,-0.15167455,-0.0011113299,Oct,1,1,1,1,New_Visitor,True,False
0.058743365,0.814094,15.736023,1210.4059,2.0641026,194.55281,0.0054912935,0.010701097,-0.19200163,0.0024629894,Mar,2,2,1,8,Returning_Visitor,False,False
25.09353,857.41595,1.9855474,122.841866,586.32336,24808.79,0.000999469,0.008286777,3.7730365,0.004155951,Nov,2,4,3,8,Returning_Visitor,False,False
3.019218,60.780315,0.0084056035,-0.307375,5.7849813,54.85249,0.0005877033,0.022400461,45.81277,9.322042e-05,Sep,2,2,1,3,Returning_Visitor,False,True
20.319506,1302.9098,2.948696,125.623344,528.866,26615.27,0.005300119,0.016124351,6.7494283,0.009822867,Nov,1,1,1,2,Returning_Visitor,False,True
-0.2123493,3.4195552,-0.0058870534,-10.668386,43.322693,679.3072,0.0035715324,0.003649405,358.71973,-0.009178081,Dec,8,13,9,20,Other,False,True
11.098938,2073.1023,8.948875,1132.6632,45.425232,3785.4153,0.0029233524,0.012382633,8.791459,-0.0012620551,Mar,2,2,1,2,Returning_Visitor,False,True
4.0037627,66.25507,5.973002,1031.7302,104.65009,8239.363,0.004756413,0.015774023,6.421889,-0.0014723403,Nov,1,1,4,2,Returning_Visitor,False,True
0.03866542,-3.0864797,0.0077062626,-1.2387029,1.3562493,24.594555,0.19933383,0.19981872,-0.11869029,0.0004010784,Oct,2,5,1,20,Returning_Visitor,False,True
0.014220841,-1.6805043,-0.0074287276,0.29132646,13.610767,497.94183,-0.0002698622,0.0037573117,12.469767,1.0045782,May,1,8,1,11,New_Visitor,True,True
4.9633427,64.46728,-0.014383219,-1.2498647,5.578852,66.755936,0.0011349224,0.024662837,-0.036014356,-0.0026831639,Dec,8,13,9,20,Other,True,True
4.9963584,612.44073,-0.012573801,-0.38311583,471.2135,13981.789,-0.0011696428,0.002692307,12.9529705,-0.0011974511,Nov,4,2,9,2,Returning_Visitor,True,True
-0.014834039,-2.1342397,0.022192515,-1.0195981,13.22735,289.37323,0.0005294174,0.01679763,242.57843,-0.00579852,May,2,2,5,2,Returning_Visitor,False,True
