Administrative,Administrative_Duration,Informational,Informational_Duration,ProductRelated,ProductRelated_Duration,BounceRates,ExitRates,PageValues,SpecialDay,Month,OperatingSystems,Browser,Region,TrafficType,VisitorType,Weekend,Revenue
-0.0004378485,-3.2803273,-0.021751724,-0.76546675,0.32912487,3.238232,0.1992362,0.19874991,0.29078552,0.0024142999,May,1,1,4,3,Returning_Visitor,False,False
16.097506,2598.2598,22.362007,2112.6074,659.2944,42118.855,0.013040179,0.01643109,-3.1686547,0.045667954,May,2,2,1,14,Returning_Visitor,True,False
12.311247,261.42023,4.4203534,1509.0297,421.25504,21770.3,0.0012984012,0.011729478,13.573606,0.008429094,Sep,2,2,1,13,Returning_Visitor,False,False
12.691381,240.30017,0.03405667,2.3755417,431.17938,17092.693,0.006561442,0.019633867,1.9360645,0.0021688219,Nov,2,5,1,10,Returning_Visitor,False,True
14.436859,150.22955,1.9485203,1518.6462,23.195017,2037.5476,0.002961844,0.019181246,18.6238,0.0049718977,Oct,2,2,2,20,Returning_Visitor,False,False
23.611795,1521.6141,9.040096,509.24777,191.47298,10063.133,0.012263377,0.014986648,20.791222,0.004575255,Nov,3,2,2,13,Returning_Visitor,False,True
5.9498286,116.06861,8.086793,225.23474,111.38539,3564.307,0.0020819881,0.011532581,4.8129516,0.002455129,Nov,2,2,3,8,Returning_Visitor,True,True
26.111036,852.8637,2.027473,130.84637,546.8513,24317.004,0.0048773284,0.008968453,3.7009158,0.005132208,Nov,2,4,3,8,Returning_Visitor,False,False
9.073928,773.4932,4.1283965,164.5863,75.63234,13682.283,0.0033590102,0.03328373,16.074266,0.0016381728,May,2,2,2,13,Returning_Visitor,False,True
1.9152905,86.219475,10.278568,703.074,54.977993,1969.7349,0.004882961,0.020132234,26.548164,0.003107636,Dec,1,1,2,2,Returning_Visitor,False,False
