age,workclass,fnlwgt,education,education-num,marital-status,occupation,relationship,race,sex,capital-gain,capital-loss,hours-per-week,native-country,income
44.47252,Self-emp-not-inc,169558.52,Bachelors,9.663229,Married-civ-spouse,Transport-moving,Husband,White,Male,206.03111,-0.07319443,46.386486,United-States,<=50K
26.198456,Private,195768.61,11th,6.8485155,Never-married,Prof-specialty,Not-in-family,White,Male,79.418076,-0.017026827,31.227303,United-States,<=50K
46.804955,Private,186784.77,7th-8th,5.0403605,Married-civ-spouse,Prof-specialty,Husband,White,Male,149.473,-0.07846634,39.51116,United-States,<=50K
42.289326,Private,181448.36,Bachelors,9.604305,Divorced,Transport-moving,Not-in-family,White,Male,145.00432,-0.03175156,40.05307,United-States,<=50K
34.494934,Federal-gov,187494.69,Bachelors,11.179506,Never-married,Prof-specialty,Not-in-family,White,Male,227.15276,-0.016073152,38.324875,United-States,<=50K
40.019894,?,186713.22,Some-college,9.099754,Married-civ-spouse,?,Not-in-family,White,Male,126.23064,-0.041135713,31.363955,United-States,<=50K
29.03696,Private,191214.11,Bachelors,12.68399,Never-married,Transport-moving,Not-in-family,White,Male,131.7249,-0.0075663766,40.477448,United-States,<=50K
28.948631,Private,190588.08,HS-grad,9.218973,Never-married,Prof-specialty,Not-in-family,White,Male,101.84776,-0.015272065,38.166004,United-States,<=50K
40.472706,Private,176568.83,Some-college,11.177029,Married-civ-spouse,Transport-moving,Husband,White,Male,225.16832,-0.04002182,42.413414,United-States,<=50K
31.839022,Private,233807.2,Bachelors,9.685053,Never-married,Prof-specialty,Not-in-family,Black,Male,108.98692,-0.011114045,37.84155,United-States,<=50K
39.046295,Private,176602.38,Bachelors,9.772989,Married-civ-spouse,Sales,Wife,White,Female,250.51982,-0.059431,35.34008,United-States,<=50K
58.503326,Private,172837.53,HS-grad,9.258646,Widowed,Prof-specialty,Not-in-family,White,Female,150.9887,-0.0057276925,33.260128,United-States,<=50K
24.155342,Private,191060.42,Some-college,10.003875,Never-married,Prof-specialty,Not-in-family,White,Male,79.67198,0.017450407,33.407978,United-States,<=50K
38.666832,Private,192618.28,Bachelors,9.250869,Separated,Prof-specialty,Not-in-family,White,Male,119.26439,-0.00058548077,39.239502,United-States,<=50K
38.89662,Private,185919.47,Bachelors,9.981285,Married-civ-spouse,Transport-moving,Not-in-family,White,Male,3.033918,1799.4805,40.606747,United-States,<=50K
36.53534,Private,205861.14,Bachelors,9.789884,Married-civ-spouse,Prof-specialty,Not-in-family,White,Male,123.715195,-0.122770235,39.32244,South,<=50K
42.115482,Private,176930.39,Masters,13.970233,Married-civ-spouse,Prof-specialty,Not-in-family,White,Male,255.68706,-0.0014628611,41.253803,United-States,<=50K
40.597683,Private,184220.4,HS-grad,8.996152,Married-civ-spouse,Transport-moving,Husband,White,Male,197.38426,-0.012006684,42.25235,United-States,<=50K
38.365116,Private,256951.64,5th-6th,3.440417,Married-civ-spouse,Machine-op-inspct,Husband,White,Male,78.1884,-0.1180629,39.187553,Mexico,<=50K
34.884815,Private,192047.33,Assoc-acdm,12.000947,Married-civ-spouse,Transport-moving,Not-in-family,White,Male,114.74138,-0.081052706,39.77057,United-States,<=50K
45.6999,Private,184921.64,Bachelors,11.71718,Married-civ-spouse,Sales,Husband,White,Male,9389.13,-0.022939608,46.541676,United-States,>50K
45.185703,Private,178710.23,HS-grad,8.508723,Married-civ-spouse,Transport-moving,Husband,White,Male,407.47336,-0.04078476,47.514057,United-States,>50K
45.62443,Private,185441.77,Masters,13.945019,Married-civ-spouse,Sales,Husband,White,Male,937.45575,-0.014539643,46.109127,United-States,>50K
44.97178,Private,188443.31,Bachelors,12.972374,Married-civ-spouse,Prof-specialty,Not-in-family,White,Male,12898.845,-0.009145661,46.44332,United-States,>50K
43.239136,Private,195377.72,Bachelors,12.016523,Married-civ-spouse,Transport-moving,Husband,White,Male,453.17215,-0.17400162,44.989258,Vietnam,>50K
44.38169,Private,188583.3,Bachelors,11.991907,Married-civ-spouse,Sales,Husband,White,Male,2.9100165,1989.2522,46.283237,United-States,>50K
46.12974,Federal-gov,179957.23,Bachelors,10.521559,Married-civ-spouse,Exec-managerial,Husband,White,Male,453.3539,-0.09395401,45.54218,United-States,>50K
40.976234,Private,181196.2,Bachelors,11.395156,Married-civ-spouse,Sales,Wife,White,Female,1553.737,-0.035291597,37.689247,United-States,>50K
42.394085,Private,180997.47,Bachelors,12.122032,Married-civ-spouse,Transport-moving,Husband,White,Male,513.601,-0.030546114,44.19604,United-States,>50K
