age,workclass,fnlwgt,education,education-num,marital-status,occupation,relationship,race,sex,capital-gain,capital-loss,hours-per-week,native-country,income
63.014877,Self-emp-not-inc,290010.34,Masters,14.0078125,Married-civ-spouse,Farming-fishing,Husband,White,Male,41430.613,-0.020109102,49.98483,United-States,<=50K
36.008568,Self-emp-not-inc,240017.58,HS-grad,9.00062,Married-civ-spouse,Exec-managerial,Husband,Asian-Pac-Islander,Male,41534.79,-0.1748027,90.013145,South,<=50K
54.97969,Self-emp-not-inc,145652.7,HS-grad,8.996382,Divorced,Exec-managerial,Not-in-family,White,Male,34605.742,0.0023365773,60.00737,United-States,<=50K
54.99277,Self-emp-inc,298790.22,Doctorate,16.01988,Married-civ-spouse,Prof-specialty,Husband,White,Male,-5.6539483,2182.3982,60.010803,United-States,<=50K
64.00799,Private,292742.7,Some-college,9.998382,Married-civ-spouse,Exec-managerial,Wife,White,Female,10510.06,-0.0080088815,35.004467,United-States,<=50K
89.99217,Self-emp-not-inc,155949.42,Bachelors,12.994032,Married-civ-spouse,Prof-specialty,Husband,White,Male,10542.91,0.021509245,49.992813,United-States,<=50K
69.996704,Self-emp-inc,379743.66,Some-college,9.998552,Married-civ-spouse,Sales,Husband,White,Male,10543.854,-0.14654343,39.983646,United-States,<=50K
40.976864,Private,177916.97,Doctorate,16.016947,Married-civ-spouse,Prof-specialty,Husband,White,Male,-7.1695733,2055.445,60.009735,United-States,<=50K
54.987427,Local-gov,176000.66,Masters,13.9996605,Married-civ-spouse,Prof-specialty,Wife,White,Female,4.3704658,2265.5764,39.98698,United-States,<=50K
51.998577,Federal-gov,192352.8,Masters,14.00599,Married-civ-spouse,Exec-managerial,Husband,White,Male,4995.8276,-0.02316849,39.98611,United-States,<=50K
44.008717,State-gov,107407.63,Doctorate,16.002552,Married-civ-spouse,Prof-specialty,Husband,White,Male,5000.7773,-0.01937668,60.015347,United-States,<=50K
42.988697,Self-emp-inc,188402.73,Masters,14.0050535,Married-civ-spouse,Exec-managerial,Husband,White,Male,5009.3574,-0.05340378,44.99602,United-States,<=50K
64.00343,Private,159654.19,HS-grad,8.996049,Married-civ-spouse,Transport-moving,Husband,White,Male,10522.577,-0.0013560496,39.99363,United-States,<=50K
27.000114,Private,211060.92,Preschool,1.0128411,Married-civ-spouse,Farming-fishing,Other-relative,White,Male,41423.46,-0.08778183,23.984669,Mexico,<=50K
67.03607,Private,227101.78,Masters,14.002381,Married-civ-spouse,Prof-specialty,Husband,White,Male,6.277326,2465.5615,39.983498,United-States,<=50K
42.988514,Federal-gov,189942.28,Prof-school,15.016278,Married-civ-spouse,Exec-managerial,Husband,White,Male,0.26804885,-0.074247286,60.021908,United-States,<=50K
61.009388,Local-gov,180027.56,Doctorate,16.003355,Married-civ-spouse,Exec-managerial,Husband,White,Male,4059.2012,-0.011533662,39.994434,United-States,<=50K
61.9926,Self-emp-inc,234671.39,Bachelors,12.99391,Married-civ-spouse,Exec-managerial,Husband,White,Male,5016.3755,-0.07238571,49.997746,United-States,<=50K
50.969997,Federal-gov,163611.8,Bachelors,12.994899,Married-civ-spouse,Exec-managerial,Husband,White,Male,-6.1314874,1907.7532,39.9698,United-States,<=50K
58.98529,Private,169890.25,Bachelors,12.99079,Married-civ-spouse,Exec-managerial,Husband,White,Male,2.2239814,2007.2529,49.989887,United-States,<=50K
48.006435,Private,247973.98,Bachelors,12.993871,Married-civ-spouse,Exec-managerial,Husband,White,Male,5015.787,-0.00021926982,45.00194,United-States,<=50K
44.989536,Private,357700.62,Bachelors,12.99049,Married-civ-spouse,Sales,Husband,White,Male,5.858625,2005.9712,54.973576,United-States,<=50K
43.994793,Private,121015.56,Bachelors,12.995248,Married-civ-spouse,Exec-managerial,Husband,White,Male,5010.508,-0.007886811,45.0006,United-States,<=50K
61.995586,Self-emp-not-inc,82466.58,HS-grad,8.996291,Married-civ-spouse,Craft-repair,Husband,White,Male,10510.587,0.021654204,39.988705,United-States,<=50K
39.98756,Self-emp-inc,110934.84,Assoc-acdm,12.005413,Married-civ-spouse,Craft-repair,Husband,White,Male,3.546247,2374.4155,49.97997,United-States,<=50K
47.005013,Self-emp-inc,85197.15,Doctorate,16.008183,Married-civ-spouse,Prof-specialty,Husband,White,Male,-0.3690361,-0.087865755,50.000088,United-States,<=50K
50.97484,Private,153916.38,Some-college,9.998473,Married-civ-spouse,Transport-moving,Husband,White,Male,8.658308,2613.099,39.972202,United-States,<=50K
57.026974,Self-emp-not-inc,20904.61,Masters,14.010206,Married-civ-spouse,Sales,Husband,White,Male,-0.46974412,2135.984,70.02231,United-States,<=50K
54.984627,Self-emp-inc,304890.5,Prof-school,15.010382,Married-civ-spouse,Prof-specialty,Husband,White,Male,5.3283515,-0.05541031,55.00962,United-States,<=50K
54.007736,Federal-gov,149717.06,Bachelors,12.998545,Married-civ-spouse,Exec-managerial,Wife,White,Female,1.5431954,-0.07454483,44.994595,United-States,<=50K
55.981087,State-gov,54007.39,Doctorate,16.001127,Married-civ-spouse,Prof-specialty,Not-in-family,Asian-Pac-Islander,Male,2891.8213,-0.08109085,40.003986,China,<=50K
55.994114,Private,245185.8,Doctorate,16.002628,Married-civ-spouse,Prof-specialty,Husband,White,Male,1.556501,-0.012632295,50.001774,United-States,<=50K
59.002514,Private,384246.0,Doctorate,16.000385,Married-civ-spouse,Prof-specialty,Husband,White,Male,2.2453437,0.0005665578,50.002884,United-States,<=50K
62.99275,Private,187909.52,Masters,13.999882,Married-civ-spouse,Prof-specialty,Husband,White,Male,5011.585,0.024141386,45.001568,United-States,<=50K
44.999,Private,120689.33,Masters,14.00271,Married-civ-spouse,Exec-managerial,Husband,White,Male,4391.579,0.011331634,39.992123,United-States,<=50K
46.002735,Private,249840.62,Doctorate,16.003025,Married-civ-spouse,Prof-specialty,Husband,White,Male,-0.22914352,-0.020406649,69.98868,United-States,<=50K
49.997707,Self-emp-not-inc,176808.81,Doctorate,16.006594,Married-civ-spouse,Prof-specialty,Husband,White,Male,3770.599,-0.0065592965,39.990814,United-States,<=50K
55.98557,Private,158723.31,Masters,13.99831,Married-civ-spouse,Exec-managerial,Wife,White,Female,4.5140204,-0.024656221,49.99943,United-States,<=50K
48.998775,Private,237899.9,Doctorate,16.009617,Married-civ-spouse,Sales,Husband,White,Male,0.9291817,-0.027608797,60.014217,United-States,<=50K
47.001133,Private,192981.9,Doctorate,16.01024,Married-civ-spouse,Sales,Husband,White,Male,0.31443557,-0.030645296,60.01448,United-States,<=50K
43.99772,Private,146702.25,Doctorate,16.00394,Married-civ-spouse,Prof-specialty,Husband,White,Male,-0.14711227,-0.019201204,50.00076,United-States,<=50K
49.972355,Self-emp-inc,193549.6,Bachelors,12.992879,Married-civ-spouse,Exec-managerial,Husband,White,Male,1.2170235,1677.3837,47.983673,United-States,<=50K
63.988426,Private,149119.6,Masters,14.004513,Married-civ-spouse,Prof-specialty,Husband,Asian-Pac-Islander,Male,3.0784736,2060.889,59.998165,China,<=50K
61.96939,Private,162103.3,Prof-school,15.0181265,Married-civ-spouse,Prof-specialty,Husband,White,Male,-1.4276298,1632.4725,70.02032,United-States,<=50K
50.99431,Private,122935.05,Masters,14.006071,Married-civ-spouse,Prof-specialty,Husband,Asian-Pac-Islander,Male,5008.4326,0.013719634,39.990986,India,<=50K
36.01102,Private,84472.26,Bachelors,12.995917,Married-civ-spouse,Exec-managerial,Husband,White,Male,5008.2925,-0.0107554635,49.99688,United-States,<=50K
52.00033,Self-emp-inc,179871.2,Prof-school,15.017922,Married-civ-spouse,Exec-managerial,Husband,White,Male,6.034162,-0.11062424,39.992138,United-States,<=50K
49.008446,Private,82769.09,Bachelors,12.997176,Married-civ-spouse,Prof-specialty,Husband,White,Male,5010.2295,0.0034580983,45.002243,United-States,<=50K
30.997417,Private,150319.52,Doctorate,15.992884,Married-civ-spouse,Prof-specialty,Wife,White,Female,-2.7900567,-0.06487839,90.01039,United-States,<=50K
39.00689,State-gov,372455.8,Masters,13.99718,Married-civ-spouse,Prof-specialty,Husband,Black,Male,5027.263,0.027231291,55.999355,United-States,<=50K
20.020416,Private,324816.44,12th,7.99658,Never-married,Other-service,Own-child,Black,Male,8.565657,-0.022733614,35.009415,United-States,>50K
19.038387,Private,323467.38,7th-8th,4.0079546,Never-married,Other-service,Not-in-family,White,Male,1.6393868,-0.011960908,60.009438,United-States,>50K
22.011808,Private,127774.02,Some-college,9.99945,Never-married,Other-service,Own-child,White,Male,5.2989326,-0.0064219674,31.993093,United-States,>50K
22.006605,Private,52603.22,Some-college,9.999033,Never-married,Prof-specialty,Own-child,White,Male,4.8383613,0.019769743,14.983714,United-States,>50K
77.02725,Self-emp-not-inc,72930.336,7th-8th,4.003892,Married-spouse-absent,Adm-clerical,Not-in-family,White,Male,-1.6610283,-0.09536545,19.991034,Italy,>50K
24.011044,Private,82895.65,HS-grad,8.998181,Separated,Other-service,Unmarried,White,Female,1.3284737,-0.05883591,50.00003,Portugal,>50K
33.022865,Private,224297.23,7th-8th,3.9979699,Never-married,Farming-fishing,Not-in-family,White,Male,1.8808419,-0.100095674,40.001102,Mexico,>50K
66.009735,Self-emp-not-inc,58330.844,11th,7.00067,Divorced,Other-service,Not-in-family,White,Female,1.2936836,-0.018552706,39.99426,United-States,>50K
61.011173,State-gov,159830.47,11th,6.9959855,Widowed,Other-service,Unmarried,White,Female,4.211042,0.010950164,31.991896,United-States,>50K
27.012571,State-gov,23654.406,HS-grad,8.998876,Never-married,Transport-moving,Not-in-family,Amer-Indian-Eskimo,Male,4.600446,-0.0124186715,38.0122,United-States,>50K
55.98117,Self-emp-not-inc,62506.125,11th,7.0002923,Widowed,Other-service,Unmarried,White,Female,0.3028389,0.0060520926,65.01273,Greece,>50K
56.98876,Private,33957.92,HS-grad,8.993656,Widowed,Transport-moving,Unmarried,White,Male,4.8284736,655.3157,41.982864,United-States,>50K
27.007545,Private,147368.45,HS-grad,8.997885,Never-married,Other-service,Not-in-family,White,Female,1.3115059,-0.0436763,49.992573,United-States,>50K
26.014805,Self-emp-not-inc,68619.88,HS-grad,9.000808,Never-married,Sales,Other-relative,Asian-Pac-Islander,Male,3.3422675,-0.032079622,49.99149,United-States,>50K
26.017609,Private,153065.62,HS-grad,8.999967,Never-married,Adm-clerical,Own-child,Asian-Pac-Islander,Male,4.5665107,-0.042364046,79.97036,?,>50K
72.99575,?,139106.61,HS-grad,8.996043,Widowed,?,Not-in-family,White,Female,1.6215645,-0.0043162545,21.963734,United-States,>50K
22.004446,Private,185534.66,Some-college,9.998483,Never-married,Sales,Not-in-family,White,Male,6.160627,0.01803787,25.004097,United-States,>50K
65.01607,Local-gov,200739.62,HS-grad,8.998091,Divorced,Adm-clerical,Not-in-family,White,Female,2.0002265,-0.008497163,16.027273,United-States,>50K
28.011007,Private,150060.97,9th,4.9928455,Never-married,Craft-repair,Not-in-family,White,Male,1.4994942,-0.049970552,50.002266,?,>50K
24.017052,Self-emp-not-inc,83456.445,Some-college,9.999587,Never-married,Prof-specialty,Not-in-family,Asian-Pac-Islander,Male,4.0711493,-0.009694978,29.97553,United-States,>50K
22.006163,State-gov,186713.67,12th,7.9991913,Never-married,Exec-managerial,Not-in-family,White,Male,7.379621,-0.055372164,49.997135,United-States,>50K
28.010479,State-gov,74140.75,Bachelors,13.001524,Never-married,Adm-clerical,Own-child,Asian-Pac-Islander,Female,0.5906807,-0.036642,40.010994,United-States,>50K
