age,workclass,fnlwgt,education,education-num,marital-status,occupation,relationship,race,sex,capital-gain,capital-loss,hours-per-week,native-country,income
41.67704,Private,184592.23,HS-grad,10.258435,Married-civ-spouse,Sales,Husband,White,Male,-0.42054978,-0.07221787,42.45418,United-States,<=50K
37.67039,Private,177049.14,HS-grad,9.727795,Married-civ-spouse,Sales,Not-in-family,White,Male,0.754377,-0.0870723,43.81882,United-States,<=50K
26.326944,Private,197360.66,HS-grad,8.857019,Never-married,Sales,Not-in-family,White,Male,0.57456744,-0.090513155,34.80347,United-States,<=50K
45.384193,Private,208242.03,11th,4.6583195,Married-civ-spouse,Other-service,Husband,White,Male,-0.10438766,-0.09128372,38.76074,United-States,<=50K
34.539345,Private,188036.33,Bachelors,12.698588,Never-married,Priv-house-serv,Not-in-family,White,Female,0.60984576,-0.096418306,39.6619,United-States,<=50K
38.96674,Private,185420.64,HS-grad,9.962357,Married-civ-spouse,Sales,Not-in-family,White,Male,0.16624223,1776.0831,40.52022,United-States,<=50K
35.97085,Private,202103.19,HS-grad,10.185784,Married-civ-spouse,Sales,Not-in-family,White,Male,1.2128731,-0.075773165,39.49235,United-States,<=50K
39.319664,?,185726.53,HS-grad,9.1023245,Never-married,?,Not-in-family,White,Male,0.37815627,-0.09257309,30.587675,United-States,<=50K
44.47084,Private,185133.14,HS-grad,9.388395,Divorced,Sales,Not-in-family,White,Female,-0.47487107,-0.11691849,37.49984,United-States,<=50K
41.592377,Private,175915.22,HS-grad,9.940712,Married-civ-spouse,Sales,Husband,White,Male,3497.4927,-0.108289644,40.964638,United-States,<=50K
45.05386,Private,188528.73,Some-college,11.787825,Married-civ-spouse,Priv-house-serv,Husband,White,Male,9533.841,-0.08134262,45.606705,United-States,>50K
43.852333,Private,179562.47,Bachelors,13.422038,Married-civ-spouse,Priv-house-serv,Husband,White,Male,-0.25013962,-0.06457321,46.630947,United-States,>50K
44.33615,Private,188973.08,Some-college,12.000122,Married-civ-spouse,Priv-house-serv,Husband,White,Male,-0.116472624,1980.1389,46.242825,United-States,>50K
51.35815,Federal-gov,173829.23,Some-college,11.665476,Married-civ-spouse,Priv-house-serv,Husband,White,Male,-0.17140426,-0.07699387,38.790207,United-States,>50K
43.89869,Private,203040.23,HS-grad,9.386726,Married-civ-spouse,Sales,Husband,White,Male,-0.4862236,-0.06944077,44.316967,United-States,>50K
43.76922,Private,186651.84,Some-college,12.23669,Never-married,Priv-house-serv,Not-in-family,White,Male,-0.18886031,-0.096822664,46.23514,United-States,>50K
40.804455,Private,182616.52,Some-college,11.562958,Married-civ-spouse,Priv-house-serv,Wife,White,Female,0.7154366,-0.07620804,37.677135,United-States,>50K
46.454834,Private,185033.75,Some-college,13.061325,Married-civ-spouse,Priv-house-serv,Husband,White,Male,99981.89,-0.07914536,50.54839,United-States,>50K
43.518208,Private,190761.5,Some-college,12.5018015,Married-civ-spouse,Priv-house-serv,Husband,White,Male,0.63779986,-0.05214493,45.03202,United-States,>50K
43.636868,Private,184500.16,HS-grad,9.891841,Married-civ-spouse,Sales,Husband,White,Male,-0.40822068,-0.073507234,51.319363,United-States,>50K
