age,workclass,fnlwgt,education,education-num,marital-status,occupation,relationship,race,sex,capital-gain,capital-loss,hours-per-week,native-country,income
29.99696,Private,163926.95,HS-grad,9.0009165,Married-civ-spouse,Craft-repair,Husband,White,Male,-8.390276,0.050264433,40.014557,United-States,<=50K
24.856419,Private,1486322.2,Some-college,9.989674,Divorced,Exec-managerial,Unmarried,White,Female,23.724226,-2.0153027,25.009361,United-States,<=50K
89.99538,?,76592.89,HS-grad,8.992181,Widowed,?,Not-in-family,White,Female,49.241436,4366.8726,40.069153,United-States,<=50K
63.14451,Self-emp-not-inc,793818.75,1st-4th,2.0072563,Widowed,Other-service,Unmarried,White,Female,27.971052,-0.35961714,29.997404,El-Salvador,<=50K
81.07937,Self-emp-not-inc,123892.45,Bachelors,13.006667,Widowed,Prof-specialty,Not-in-family,White,Female,25.50633,1665.156,3.018956,Hungary,<=50K
18.953012,?,860367.2,Some-college,10.0019655,Never-married,?,Own-child,Black,Female,21.906477,-0.24870102,25.005043,United-States,<=50K
80.06041,Local-gov,81563.88,1st-4th,2.0005376,Widowed,Farming-fishing,Not-in-family,Asian-Pac-Islander,Male,1072.0156,-0.11276047,20.014746,Philippines,<=50K
67.98084,Self-emp-inc,505074.62,Bachelors,13.002508,Separated,Sales,Unmarried,White,Male,4.2885566,0.11932571,70.03896,Canada,<=50K
30.011694,Self-emp-not-inc,257337.44,Some-college,9.995675,Never-married,Sales,Other-relative,Asian-Pac-Islander,Male,6.3852363,2259.6057,40.002068,South,<=50K
35.96639,Self-emp-not-inc,240564.5,HS-grad,8.995552,Married-civ-spouse,Exec-managerial,Husband,Asian-Pac-Islander,Male,41327.62,0.42934617,90.050285,South,<=50K
58.0474,Private,104116.41,Some-college,9.999163,Married-civ-spouse,Craft-repair,Husband,White,Male,-1.8695244,0.1396199,40.02041,United-States,>50K
34.972214,Private,1223570.0,Bachelors,13.000884,Married-civ-spouse,Sales,Husband,White,Male,47.13328,-0.55508226,51.922318,United-States,>50K
23.896292,?,150961.23,Some-college,9.993726,Never-married,?,Not-in-family,Asian-Pac-Islander,Male,100026.09,0.029527739,49.988262,South,>50K
74.07755,State-gov,88490.22,Doctorate,15.996958,Never-married,Prof-specialty,Other-relative,White,Female,7.136335,3696.4763,19.944796,United-States,>50K
43.98083,Private,766448.44,Masters,14.005228,Separated,Exec-managerial,Not-in-family,White,Male,11.764509,2576.9736,40.044704,United-States,>50K
32.01875,Private,355656.56,Prof-school,14.999194,Married-AF-spouse,Prof-specialty,Wife,White,Female,99999.79,-0.034254,59.98592,United-States,>50K
47.034405,Federal-gov,654313.06,Bachelors,13.003555,Married-civ-spouse,Exec-managerial,Husband,Other,Male,7.121198,-0.13648026,39.999054,Peru,>50K
29.03193,Self-emp-not-inc,341475.84,HS-grad,8.998812,Married-spouse-absent,Transport-moving,Other-relative,Asian-Pac-Islander,Male,1.0014473,1562.3154,49.96454,India,>50K
21.997921,Private,119421.914,Assoc-acdm,12.000334,Never-married,Handlers-cleaners,Not-in-family,Black,Male,23.685041,2831.0322,40.00246,?,>50K
35.999977,State-gov,748010.94,Prof-school,15.022548,Married-civ-spouse,Prof-specialty,Wife,White,Female,14986.57,-0.26601973,50.032734,United-States,>50K
