age,workclass,fnlwgt,education,education-num,marital-status,occupation,relationship,race,sex,capital-gain,capital-loss,hours-per-week,native-country,income
90.02035,Self-emp-not-inc,156087.58,Bachelors,12.997531,Married-civ-spouse,Prof-specialty,Husband,White,Male,10578.188,-0.14804642,50.001343,United-States,<=50K
63.99397,Private,292544.88,Some-college,9.996855,Married-civ-spouse,Exec-managerial,Wife,White,Female,10557.26,-0.11455338,35.04194,United-States,<=50K
62.983738,Self-emp-not-inc,289651.62,Masters,13.988937,Married-civ-spouse,Farming-fishing,Husband,White,Male,41199.0,-0.110921785,49.98236,United-States,<=50K
70.05203,Self-emp-inc,379727.34,Some-college,9.995757,Married-civ-spouse,Sales,Husband,White,Male,10544.853,-0.0669841,40.00437,United-States,<=50K
54.973217,Self-emp-inc,298262.56,Doctorate,16.001738,Married-civ-spouse,Prof-specialty,Husband,White,Male,0.3596016,2178.1487,59.94867,United-States,<=50K
63.971897,Private,159730.42,HS-grad,8.998187,Married-civ-spouse,Transport-moving,Husband,White,Male,10564.699,-0.08643143,40.007286,United-States,<=50K
54.97512,Self-emp-not-inc,145395.88,HS-grad,8.998584,Divorced,Exec-managerial,Not-in-family,White,Male,34157.38,-0.1943721,59.9836,United-States,<=50K
35.95942,Self-emp-not-inc,239928.16,HS-grad,8.999431,Married-civ-spouse,Exec-managerial,Husband,Asian-Pac-Islander,Male,40992.613,-0.00042526345,89.94811,South,<=50K
41.007458,Private,177885.06,Doctorate,16.006351,Married-civ-spouse,Prof-specialty,Husband,White,Male,0.47971877,2051.0637,59.970413,United-States,<=50K
62.00368,Self-emp-not-inc,82320.32,HS-grad,8.999302,Married-civ-spouse,Craft-repair,Husband,White,Male,10594.69,-0.051832125,40.007896,United-States,<=50K
29.997572,Federal-gov,243208.97,Some-college,9.997369,Married-civ-spouse,Armed-Forces,Husband,White,Male,-0.70680463,-0.059484407,47.98236,United-States,>50K
20.000599,Private,324936.22,12th,7.997484,Never-married,Other-service,Own-child,Black,Male,0.56211627,-0.096700594,35.029007,United-States,>50K
18.993109,Private,323395.8,7th-8th,3.9931552,Never-married,Other-service,Not-in-family,White,Male,0.6153389,-0.030500337,59.962738,United-States,>50K
43.993355,Federal-gov,296696.7,Masters,13.994913,Married-civ-spouse,Armed-Forces,Husband,White,Male,-0.25587693,-0.058645174,39.996788,United-States,>50K
22.000664,Private,127514.79,Some-college,9.997669,Never-married,Other-service,Own-child,White,Male,-0.54054487,-0.0852565,32.034412,United-States,>50K
60.988697,State-gov,159851.3,11th,6.99659,Widowed,Other-service,Unmarried,White,Female,-1.8267998,-0.09734909,32.009308,United-States,>50K
21.993444,Private,52539.062,Some-college,9.998117,Never-married,Prof-specialty,Own-child,White,Male,-0.6225761,-0.10509293,14.975345,United-States,>50K
32.997997,Private,224278.39,7th-8th,3.9883502,Never-married,Farming-fishing,Not-in-family,White,Male,-0.9286064,-0.13349716,39.998196,Mexico,>50K
24.0103,Private,82701.234,HS-grad,8.997846,Separated,Other-service,Unmarried,White,Female,0.7795235,-0.036619112,49.98038,Portugal,>50K
65.986374,Self-emp-not-inc,58015.547,11th,6.993956,Divorced,Other-service,Not-in-family,White,Female,-2.4648614,-0.12145798,40.01271,United-States,>50K
