age,workclass,fnlwgt,education,education-num,marital-status,occupation,relationship,race,sex,capital-gain,capital-loss,hours-per-week,native-country,income
26.754196,Private,188876.06,Bachelors,12.64803,Never-married,Sales,Own-child,White,Male,0.6418282,-0.08953659,36.927227,United-States,<=50K
38.76693,Private,172002.64,HS-grad,9.808788,Married-civ-spouse,Sales,Wife,White,Female,0.18967973,-0.09154312,35.743996,United-States,<=50K
40.54248,Private,179596.02,HS-grad,8.941978,Divorced,Other-service,Unmarried,White,Female,-0.5988945,-0.094030306,39.772884,United-States,<=50K
54.589153,Private,177305.4,7th-8th,3.6032593,Married-civ-spouse,Other-service,Husband,White,Male,-0.92421186,-0.07420151,38.550877,United-States,<=50K
43.160824,Private,188869.73,Bachelors,12.463998,Divorced,Sales,Not-in-family,White,Male,-0.9204277,-0.1331157,43.005074,United-States,<=50K
38.391674,Private,187876.42,HS-grad,9.177533,Divorced,Craft-repair,Not-in-family,White,Male,-0.93214643,-0.09393112,42.54572,United-States,<=50K
32.340122,Private,212358.95,HS-grad,9.696696,Never-married,Adm-clerical,Unmarried,Black,Female,0.7465645,-0.08852951,38.71053,United-States,<=50K
38.039005,Private,181843.02,Some-college,9.989889,Married-civ-spouse,Sales,Husband,White,Male,0.16331254,-0.06426041,43.192867,United-States,<=50K
25.595655,Private,183360.67,HS-grad,8.986121,Never-married,Craft-repair,Own-child,White,Male,-0.04530563,-0.105115816,40.908756,United-States,<=50K
20.055006,Private,184387.64,11th,6.741449,Never-married,Sales,Own-child,White,Male,-0.57313764,-0.1114711,23.940369,United-States,<=50K
43.121773,Private,174577.48,HS-grad,9.047334,Divorced,Other-service,Not-in-family,White,Male,-1.0957206,-0.12544815,40.818172,United-States,<=50K
46.56271,Private,178050.42,HS-grad,8.570522,Married-civ-spouse,Sales,Husband,White,Male,-0.6728691,1876.1213,42.9014,United-States,<=50K
44.489597,Self-emp-not-inc,172496.6,HS-grad,9.227926,Married-civ-spouse,Sales,Husband,White,Male,-0.41627732,-0.08292191,43.02376,United-States,<=50K
23.701864,Private,201326.67,Some-college,9.538242,Never-married,Adm-clerical,Own-child,White,Female,0.33799514,-0.09747116,31.78219,United-States,<=50K
