X1,X2,X3,X4,X5,X6,X7,X8,X9,X10,X11,X12,X13,X14,X15,X16,X17,X18,X19,X20,X21,X22,X23,Y
78399.33,2,3,1,45.191254,0,0,0,0,0,0,40346.73,37151.676,36054.043,28634.285,26514.691,23656.777,3031.6768,2634.6628,1948.805,2071.4521,2004.3253,1797.0886,0
182201.33,2,1,2,35.18702,-1,-1,-1,-2,-2,-2,6004.082,3351.2917,1420.853,-934.9184,585.8555,1069.6868,2475.2498,848.5498,151.86385,420.0835,840.3621,1002.04736,0
273399.8,1,1,1,37.618534,0,0,0,0,0,0,200318.5,200025.14,191305.47,178635.56,162507.2,153951.67,11200.808,9295.641,7671.662,7845.6914,8111.2046,6486.438,0
179721.02,2,1,1,34.7203,-1,-1,-1,-1,-1,-1,6007.9805,4837.5806,4142.6577,2912.7651,4037.2695,3472.386,3912.8442,3468.4631,2939.6711,3660.3105,2579.9407,2943.1162,0
293798.47,2,2,1,36.128754,0,0,0,0,0,0,234489.06,232346.62,225506.17,210314.2,195810.58,188898.33,12966.866,10281.809,9253.384,9518.989,8662.917,8385.165,0
233051.89,2,1,1,39.917408,-2,-2,-2,-2,-2,-2,6415.2305,5152.7485,5104.4194,3656.976,4741.3984,3942.679,4068.855,3444.0312,2966.3467,4079.343,2906.7693,3555.4924,0
102567.664,1,2,1,40.28656,0,0,0,0,0,0,39803.332,37300.46,35191.277,28756.367,26593.688,22894.512,3501.8755,2856.0635,2232.9424,2257.29,2110.5012,1826.54,0
85860.14,2,2,2,26.299425,0,0,0,0,0,0,25834.344,23914.291,21957.088,18430.598,17925.252,16572.025,2686.6365,2354.186,2092.0564,2230.0854,1986.817,1825.2102,0
192052.77,2,2,1,37.07553,0,0,0,0,0,0,115414.42,118274.586,108402.055,99423.14,90096.46,81284.82,7413.3125,5620.9956,5037.2456,4634.064,4913.887,4511.1807,0
79564.41,2,2,2,32.363262,0,2,2,2,2,2,38540.953,38365.85,41485.297,39762.75,37433.727,32165.588,2843.2107,2569.881,1757.1869,1742.779,1748.4071,1775.762,0
167541.22,2,1,2,29.425325,0,0,0,0,0,0,66546.08,62503.707,60816.535,54618.188,47865.12,44500.734,5287.6416,4307.688,3505.9155,3649.6184,3730.5833,3564.5232,0
73331.7,1,2,2,32.698494,1,2,0,0,0,0,34834.566,32277.982,33261.188,28350.072,26764.658,22938.852,1325.324,2187.8044,1679.5704,2046.428,1663.2179,1662.5637,0
187208.94,1,1,2,34.690643,0,0,0,0,0,0,103624.43,105952.086,95496.664,84130.97,75930.55,68595.625,7334.488,5562.4854,4481.9033,4577.594,4730.1597,3940.3193,0
189471.25,2,1,2,34.476223,1,-2,-1,-1,-1,-1,4951.867,2527.2957,5195.732,6190.7964,6487.707,5565.339,1205.3923,3105.5012,3608.765,3124.8389,2087.7412,1999.7039,0
335922.78,2,1,1,37.4502,-1,-1,-1,-1,-1,-1,23770.383,28780.627,27671.076,23133.615,24867.605,28146.824,26637.125,21271.18,16653.742,21809.988,31302.857,19090.264,0
164896.45,1,1,2,31.213118,-1,-1,-1,-1,-1,-1,6525.879,5252.0884,3419.7788,3555.8901,4403.1406,4107.753,3749.9688,3002.8867,3047.2017,3475.9329,2516.7202,2833.788,0
211521.55,2,1,2,31.929365,-2,-2,-2,-2,-2,-2,6455.133,5686.8774,4849.525,3359.7534,4052.0586,3758.511,3911.8967,3012.2305,2563.6445,3238.54,2730.1782,3272.1135,0
77670.9,1,2,2,30.182953,0,0,0,0,0,0,33134.445,30396.08,28153.668,23309.041,21648.691,19620.236,3093.4192,2618.319,1991.8141,2106.9548,2035.7689,1760.269,0
248536.9,2,2,1,33.60471,0,0,0,0,-1,0,55589.207,45544.27,37419.47,19803.68,107850.21,79420.0,6049.507,4751.5625,4848.6074,112505.25,6145.9863,6718.298,0
218278.28,1,1,1,41.342964,-1,-1,-1,-1,-1,-1,6598.664,5650.94,4972.3413,3374.476,4602.172,3889.6868,4318.3403,4013.6973,2905.2544,3711.5947,2533.986,2441.698,0
268327.78,1,1,2,34.89142,-2,0,-1,0,0,0,39500.965,34540.188,146777.06,101131.83,78488.85,52462.383,17427.518,133180.48,9659.473,10792.395,8652.714,9351.13,0
256421.08,1,1,2,33.833347,0,0,0,0,0,0,70649.3,68422.5,63815.2,50464.84,35943.45,18577.576,12153.792,8480.574,5651.7383,7218.7817,6884.286,123626.32,0
169880.75,2,1,2,31.928492,-1,-1,-1,0,0,0,6308.4453,8927.2295,12238.76,13393.895,12599.207,9925.022,7775.557,6638.209,5286.053,2614.4155,2665.825,3258.651,0
205170.83,2,2,2,31.362942,0,0,0,0,0,0,141704.19,143706.33,135359.6,123474.26,113364.17,109385.9,8624.767,6934.7344,5643.8926,5748.499,6457.8223,5348.2744,0
448404.03,1,1,1,37.551872,0,0,0,0,0,0,386515.9,381773.62,372383.16,350944.97,330524.8,314950.44,20679.324,17783.326,15730.001,19126.18,17314.367,18242.037,0
276562.8,2,1,2,35.429867,1,0,-1,-1,0,0,42406.426,38541.04,28651.572,119675.29,86041.44,59216.273,15813.011,12590.682,119812.12,14747.097,8320.676,10539.683,0
91284.914,2,2,1,43.968582,0,0,0,0,0,0,39062.043,36784.258,34287.31,28967.986,28064.537,24939.355,2792.9888,2417.8218,1905.9745,2164.1772,1894.829,1598.801,0
175385.22,2,1,1,34.67066,1,-2,-2,-2,-2,-2,1860.8204,512.2877,401.1343,-729.94183,1017.2032,1833.0579,381.23514,387.34958,143.88191,1045.3337,1186.2413,813.8906,0
