X1,X2,X3,X4,X5,X6,X7,X8,X9,X10,X11,X12,X13,X14,X15,X16,X17,X18,X19,X20,X21,X22,X23,Y
159981.36,2,2,1,35.751854,0,0,0,0,0,0,79062.48,73676.375,69873.29,62884.71,55898.105,50184.695,4415.795,3767.08,3367.8289,3408.6975,3170.2402,3235.7273,0
257687.17,2,2,2,30.771135,0,0,0,0,0,0,201772.48,196258.47,186633.62,171655.73,154168.22,139468.92,8917.452,9002.044,7159.3003,6790.342,6596.7847,6106.848,0
71918.79,2,2,2,34.04678,2,2,2,2,0,0,40309.152,38836.465,40396.938,35689.438,31997.238,26996.986,1954.7747,2247.5972,959.6905,1872.9851,1854.2921,1621.801,0
85918.19,1,3,2,38.30347,0,0,0,0,0,0,45099.637,42400.684,40772.113,34285.125,30236.455,26368.393,2954.7974,2801.4534,2180.5305,1951.8975,2117.5007,1689.383,0
85794.57,2,2,2,32.94878,1,2,0,0,0,0,42848.96,40375.195,41061.027,35520.246,31993.127,25783.094,852.8621,2195.3064,2284.9167,2068.5994,1836.6979,1958.8936,0
185026.34,2,2,2,31.89157,0,0,0,0,0,0,72048.516,63980.94,53844.03,34743.824,95257.69,74051.61,5682.8057,5020.0854,4472.803,89244.18,4624.132,4859.5894,0
257424.53,2,1,2,33.656403,-1,-1,-1,-1,-1,-1,19289.639,16049.382,15140.963,12093.627,12231.332,8168.284,10177.857,8890.306,7050.554,8446.631,5697.376,85429.79,0
74453.78,2,3,2,38.905876,0,0,0,0,0,0,42612.75,39151.09,36820.47,28771.176,26310.436,23233.184,2685.0522,2369.3005,2018.6178,2024.0974,1805.0577,1567.2588,0
167407.9,2,2,2,30.425404,0,0,0,0,0,0,102824.95,101478.04,93975.586,85378.59,79509.625,73526.555,4820.3027,4519.257,4018.0586,3802.7632,3573.0918,3484.263,0
243342.23,1,2,2,34.60154,0,0,-1,0,0,0,45220.28,33527.56,138111.38,115971.984,91466.734,67573.96,7366.8564,116469.35,7070.2827,5834.9365,6331.3745,5724.009,0
213416.19,2,2,2,32.713707,0,0,0,0,0,-1,77594.65,75325.99,64248.797,50502.64,25318.39,100250.266,5733.8247,4699.5063,3981.882,4714.1953,109902.56,4912.952,0
142191.55,2,1,2,29.458101,-1,-1,-1,0,0,0,5958.082,6584.35,8202.49,9360.195,9643.887,7023.3037,5742.3936,4495.275,3864.118,2309.5486,1954.8016,2608.545,0
199813.56,2,1,2,34.892708,1,-2,-1,-1,-1,-1,3377.2344,1562.4479,4440.1733,5322.636,5131.047,4325.3896,1256.7131,3201.377,3461.8691,2573.0942,2125.2703,2169.73,0
