X1,X2,X3,X4,X5,X6,X7,X8,X9,X10,X11,X12,X13,X14,X15,X16,X17,X18,X19,X20,X21,X22,X23,Y
158639.7,1,1,2,28.974972,1,-1,-1,0,0,-1,-7.054582,19240.514,2237.5015,8906.328,5151.1914,9154.157,19013.332,2570.1448,8742.969,18.531748,9843.056,10542.964,0
315918.16,2,1,3,42.019913,-1,-1,-1,-1,-1,0,132711.39,202971.4,30191.305,202426.03,262695.56,282644.6,871041.44,1231648.4,883694.2,621830.44,15915.313,145634.05,0
507764.9,2,1,1,32.323063,-2,-2,-1,-1,-2,-1,-1861.9764,-14819.38,1636842.5,126634.03,96092.44,386548.16,2022.7913,1647309.5,120230.555,99008.24,377148.03,24498.11,0
495530.22,2,1,2,29.461266,-1,-1,-1,-1,0,0,65613.0,471702.94,577737.9,139971.0,119594.74,119361.836,491027.66,1226948.5,160343.88,916.2107,4419.4272,822.3628,0
726710.4,2,1,2,27.511225,1,-1,-1,0,0,-1,10064.637,7864.694,401041.97,403148.6,406105.34,403749.94,247218.7,396409.1,6431.6553,9212.143,417090.88,1737.657,0
73742.984,2,3,1,37.12458,0,0,-2,-2,-2,-1,48399.66,1341.4244,887459.3,-4914.8677,-3059.6406,132724.47,-673.80927,1068439.6,-2336.6743,-375.8667,123013.71,13512.383,0
602191.56,1,1,2,30.711079,0,-1,2,-1,-1,-1,352462.25,325968.44,316213.34,329192.78,247448.62,273898.34,327012.12,431.6035,350721.5,250450.89,272366.94,222439.31,0
566195.56,2,2,1,46.221394,0,0,0,0,0,0,567154.06,566586.75,576995.44,561229.4,444182.1,111438.195,18740.457,24901.018,15327.683,11804.118,43074.207,423286.12,0
268105.62,1,3,1,47.689983,0,0,0,0,-1,0,197633.48,204656.69,207422.25,-161936.5,173006.8,175012.72,8728.84,8657.311,1366.8912,491367.78,8402.937,6026.9575,0
516427.56,2,1,2,29.378143,0,0,0,0,-1,-1,32177.072,31248.857,38066.152,30676.46,13825.863,422022.3,2649.0837,6203.9106,2797.2363,11485.544,422458.53,21815.799,0
402684.25,2,1,1,27.369244,-1,-1,2,0,0,0,1747.5548,404922.53,381002.88,385769.62,391833.9,410347.06,407050.22,2742.5928,13658.996,13027.826,27870.611,1600.1978,0
454766.72,2,1,1,43.42593,-2,-2,-1,0,0,0,327309.62,255697.88,311981.97,283446.5,256450.03,190641.27,4498.1875,583143.8,80444.06,32807.004,444.1175,36992.043,0
493154.3,1,1,2,30.5906,-1,-1,-1,0,0,-1,5466.4414,58453.723,167067.06,245941.78,58386.676,14574.786,56392.875,170978.62,153919.56,2408.973,13905.23,524113.75,0
358534.28,1,2,1,32.786583,1,2,2,7,6,5,297942.16,303478.94,383762.38,375062.16,369624.84,361841.03,14677.863,95325.734,-256.6513,-430.2622,190.39874,122.87204,0
439935.16,2,2,2,29.398468,-1,-1,-1,-1,0,0,25197.324,92629.03,38291.855,395839.25,224315.78,266242.6,69374.52,45032.746,401894.0,5995.789,100427.086,8149.0195,0
362231.34,1,2,1,28.02638,0,0,0,-2,-1,-1,204991.17,184263.47,160799.3,194904.33,195236.14,3264.7766,5737.4585,4113.2075,203620.4,201885.19,2443.1099,98705.984,0
309811.22,2,1,2,35.7347,-2,-2,-2,-2,-2,-2,-1737.0468,302910.94,-1480.3188,1913.8512,-1409.5859,-594.81714,295539.25,737.79834,-284.40424,-147.2368,-116.17498,197950.62,0
349343.6,2,1,2,30.783094,2,0,0,0,0,2,19600.236,107818.58,279307.16,140149.42,160918.22,100300.23,98018.89,201978.7,748.0352,134791.73,373.67316,99689.305,0
591271.5,1,1,1,63.545715,0,0,0,-1,0,0,630266.0,642705.0,708886.94,321112.38,356663.78,373951.0,27418.137,61418.746,325467.38,41255.527,19945.074,50236.58,0
485254.9,2,1,2,32.91432,0,0,0,0,-1,0,623768.56,543150.1,468505.4,375743.56,399753.84,400870.94,21104.594,20938.81,18481.027,399173.66,16742.125,3733.1663,0
502198.0,1,1,2,34.01204,0,0,0,0,0,0,327393.94,321816.03,324843.34,295192.47,84312.9,266305.28,15394.683,18732.04,12622.896,4586.1465,198268.38,20457.062,0
359979.34,1,6,1,66.35327,-1,-1,-1,-1,-1,-1,48337.195,76501.734,2850.0483,149176.14,49083.688,1801.2688,74515.1,3345.755,153243.78,50237.65,1848.8964,171479.55,0
358268.94,1,1,2,35.87364,-1,-1,-1,0,0,0,356730.28,210225.72,66228.234,166324.78,15458.816,17411.48,207941.94,164943.9,99731.42,2938.6057,3244.233,5797.072,0
547658.7,1,1,2,34.79131,2,2,2,2,2,0,541142.4,558170.5,562743.1,570398.0,792999.9,504151.2,22236.262,22490.695,18172.004,-562.86914,18982.24,18312.072,0
58881.996,2,2,1,59.90997,8,7,6,5,4,3,67090.484,69568.85,66198.76,65034.76,63416.312,62319.758,107.81619,568.6177,-391.10492,0.42188412,-227.58514,23.269989,0
423301.25,2,1,1,44.96803,1,-1,-1,-1,-1,0,245.13292,22208.152,31327.635,37618.797,293707.5,245838.34,22664.883,30797.814,36058.043,295665.28,-1000.384,533.60693,0
237477.9,1,2,1,53.81966,0,0,0,2,0,0,14249.488,16921.988,248549.38,238347.11,203896.16,201557.58,1724.7529,233039.52,52.743237,7014.328,7311.771,10494.416,0
772323.2,2,2,2,41.24061,-2,-2,-2,-2,-2,-2,103977.02,61096.516,36668.766,20550.734,72359.81,184369.36,63868.176,39458.01,21869.629,81223.266,185174.5,26529.982,0
500110.4,1,2,2,30.156343,0,0,-2,-2,-2,-2,384710.5,380116.97,-2960.4517,-4251.1685,-2782.9531,-3384.0632,8945.427,2535.1843,-438.4394,2219.107,99.03791,209747.33,0
320996.75,2,2,2,37.279594,-2,-2,-2,-2,-2,-2,-2828.6719,-4738.943,-8571.518,199235.42,-1655.3203,230585.03,-865.13983,-917.58203,198385.97,-572.92334,313376.75,-121.32718,0
490950.0,2,1,1,43.91617,-2,-1,0,0,0,-1,69068.09,369255.75,290828.34,186896.19,129458.51,170150.89,367574.38,6562.7095,150.24959,-1013.48096,170787.69,371509.28,0
237798.42,2,3,2,24.96244,0,-1,-1,-1,-1,-1,200137.08,3165.7214,189990.83,95873.56,18894.928,101528.8,2310.2227,189887.38,98632.62,79329.79,100835.68,50832.68,0
477990.44,1,1,1,49.285175,-2,-2,-2,-2,-2,-2,65215.88,3361.737,36047.723,336139.8,33865.215,37193.16,-206.04123,39767.066,343779.22,34230.883,37326.184,31675.924,0
148499.23,2,2,2,33.985954,3,3,4,4,5,5,101679.96,108718.58,112889.98,116600.734,121675.54,128618.46,8280.685,8171.5024,7116.396,8051.388,10281.464,5194.25,0
281735.44,1,1,1,28.006357,1,2,0,0,0,2,286457.47,277789.66,277724.9,277750.94,269375.38,112679.29,-18.37814,10271.219,10279.409,7130.5684,318.01007,172819.6,0
320162.38,2,2,1,52.958744,0,0,0,0,0,0,6731.75,150558.7,153499.6,154683.39,158770.23,161133.14,149530.39,9737.245,5063.576,4317.553,4492.642,5509.513,0
495167.66,1,1,2,27.288206,0,0,0,0,0,0,256242.02,223584.62,481965.22,614805.6,248644.9,295127.25,29129.1,270436.0,30279.715,60518.91,51472.81,100398.88,0
298848.56,1,2,1,36.043392,1,-1,2,0,0,0,-176422.31,328446.12,284929.72,39033.137,23966.646,19193.3,508046.25,4139.989,2070.1907,16736.34,18159.047,16040.748,0
500554.78,2,1,2,34.39183,0,0,0,0,0,0,122658.18,149068.42,158070.2,257579.78,307203.75,398314.5,25624.406,18825.168,105564.24,51291.082,100612.625,200044.02,0
221715.6,2,0,1,35.12188,-2,-2,-2,-2,-2,-2,-265.48038,914.7135,10260.35,589.74176,-21.21871,106.76488,328.71805,10843.769,405.4395,313.67627,410.5672,2494.8933,0
371430.56,2,2,1,45.063442,0,0,0,0,2,2,163415.95,171000.45,338562.72,218991.34,218815.8,218371.72,10288.676,10399.704,114104.66,9891.79,237.08136,9533.333,0
330116.75,1,2,1,47.12447,-2,-2,-1,0,0,0,21355.084,23326.646,166453.53,210219.53,137617.08,22642.6,25243.71,167079.23,59744.02,353.3457,18020.354,199898.0,0
244295.78,1,2,1,46.98845,0,0,0,0,-1,-1,204620.14,240817.08,246128.36,43505.902,194522.61,23422.86,34039.25,9498.831,9344.212,202502.11,8656.873,378441.38,0
355696.72,1,3,1,34.148174,1,1,-1,-1,0,0,279148.78,-19945.396,341726.78,21325.818,22623.611,-303.57886,-272.54367,360402.4,22129.137,-278.8081,384.54132,-113.85599,0
30296.691,1,3,2,44.084858,4,3,2,7,7,7,1942.2267,2724.7605,1540.4507,1202.1324,2039.2148,2387.1633,-112.502655,-248.30716,-212.04924,-211.51366,90.451485,-95.06546,0
