X1,X2,X3,X4,X5,X6,X7,X8,X9,X10,X11,X12,X13,X14,X15,X16,X17,X18,X19,X20,X21,X22,X23,Y
49111.793,2,2,1,33.00164,0,0,0,0,2,2,40771.707,44034.16,45259.33,47412.87,46119.637,49198.457,4142.787,2677.2234,3340.415,70.33399,2839.948,1357.7874,0
296191.5,2,1,3,41.122437,-1,-1,-1,-1,-1,0,139170.6,180298.36,34621.688,226847.45,248476.28,258868.42,872871.56,1210806.1,888586.25,620914.2,18474.217,143547.23,0
514087.25,2,1,1,32.66553,-2,-2,-1,-1,-2,-1,-7409.9023,-22716.92,1653366.2,125074.164,120240.5,390775.78,3391.7488,1684799.8,120825.47,97974.83,378237.75,24874.322,0
507148.6,2,1,2,29.775305,-1,-1,-1,-1,0,0,70178.24,480572.88,580102.9,166367.36,127148.59,103022.945,491597.84,1231193.9,161758.6,4360.4043,5752.5825,5227.7134,0
499924.62,1,1,2,29.693195,-1,-1,-1,0,0,-1,-2160.375,54393.008,155865.48,258597.06,68310.8,15990.708,59194.156,172041.5,156803.94,2164.8696,13188.41,519402.47,0
745098.9,2,1,2,28.3452,1,-1,-1,0,0,-1,10863.551,6272.4243,396692.75,402225.72,394284.78,417464.7,254519.3,405178.72,9395.694,10356.418,416157.34,3366.7158,0
608899.06,1,1,2,30.173536,0,-1,2,-1,-1,-1,341377.8,326958.28,328466.84,344888.34,241452.58,269097.5,320257.28,800.1372,348415.7,250815.38,268034.47,220653.47,0
86304.27,2,3,1,37.10489,0,0,-2,-2,-2,-1,48397.26,-895.44275,867444.44,437.0816,3229.5586,119253.56,38.90067,1020697.25,1718.8732,98.978035,121360.33,14223.896,0
482613.97,2,1,2,33.186188,0,0,0,0,-1,0,623169.94,542154.94,469715.53,377299.62,397314.22,392101.8,21337.463,21863.29,17810.256,403745.66,17797.133,4950.693,0
316090.84,1,2,1,36.78378,1,-1,2,0,0,0,-140418.47,317478.16,294314.66,37180.65,31001.395,20420.955,508211.62,5.1371784,1849.1522,19760.373,18336.203,16385.828,0
354959.47,2,1,2,31.039629,2,0,0,0,0,2,19823.129,108914.164,281913.62,145598.28,161584.45,98319.96,101307.99,199930.47,704.88873,130953.97,-480.38007,99697.25,0
244804.78,1,2,1,47.00204,0,0,0,0,-1,-1,209010.12,236014.06,235548.72,41520.223,188060.84,23152.82,33440.805,10810.197,8314.652,204172.45,7670.6284,381749.22,0
515116.16,2,1,1,44.081245,-2,-1,0,0,0,-1,76340.17,363250.8,291261.03,194933.48,130831.46,167381.98,369778.5,4515.1978,535.08453,2022.7104,163403.48,378182.38,0
553500.4,1,1,2,35.091442,2,2,2,2,2,0,560990.3,554917.6,565764.1,572415.2,810687.75,502060.94,23418.693,22504.602,18057.988,322.94434,19256.312,18212.17,0
439128.6,2,2,2,28.169073,-1,-1,-1,-1,0,0,23904.168,94910.41,41245.016,401821.94,226274.66,264650.03,72248.65,47950.734,398673.2,5571.574,94205.28,7776.051,0
359982.72,1,3,1,34.06807,1,1,-1,-1,0,0,272912.94,-24505.436,340038.84,23188.072,22494.8,529.8391,219.12234,363768.8,23026.137,151.12404,-395.24384,-378.76663,0
500023.44,2,1,2,29.16012,0,0,0,0,-1,-1,31435.64,28053.947,40844.91,40991.168,13205.559,421714.4,5210.72,9586.688,6848.339,11058.163,418828.06,21283.883,0
504213.2,1,1,2,31.046337,-2,-2,-1,0,-1,-1,84076.66,12875.171,24200.268,14369.01,14223.98,108660.305,16312.746,26535.947,1096.838,12891.206,108354.01,213711.47,0
19457.55,1,3,2,26.031494,8,7,6,5,4,3,42553.195,41141.277,36349.293,30930.85,26946.398,23448.182,259.7415,-548.6826,179.68513,-151.99315,2.7263868,-20.368683,0
484272.3,2,2,2,30.290873,1,-2,-2,-2,-1,0,138.59776,3525.2878,1603.1187,-137.73871,329329.2,351370.0,377.40115,-264.58206,333.35895,331739.06,30325.502,13222.709,0
129972.21,2,1,2,30.029346,2,3,2,2,0,0,8838.227,8936.909,9625.217,10684.408,10900.209,10059.245,58.22684,1122.167,1027.5968,574.1406,718.1043,345.85007,1
476054.16,2,2,2,32.107037,0,0,0,0,0,0,487443.8,482207.4,480991.6,354846.94,338038.4,121277.72,304278.94,14896.977,11680.308,117699.96,6140.6123,250767.8,1
496930.97,1,1,1,33.761208,2,0,0,-1,0,0,504620.3,483770.56,178070.95,509306.6,516003.84,490939.7,24753.588,7792.429,504384.53,18399.945,13313.348,15358.791,1
253852.19,1,1,1,42.443302,1,1,1,1,2,2,351088.97,346247.16,324669.84,308536.1,288347.62,278533.75,15214.342,7131.0547,7950.8857,41.598152,8428.417,252587.81,1
278731.06,1,1,2,32.902164,-1,-1,-1,-1,-1,-1,307.35165,584.7213,-764.8618,2162.8901,739.8477,-333679.94,1418.511,287.4067,500.5069,352.62012,-675.71405,347566.72,1
334873.34,2,2,1,39.288883,8,7,6,5,4,3,377556.75,375822.03,366536.62,352561.62,353136.0,343877.03,441.75174,-1015.12354,271.29156,197.07277,346.7801,-238.64114,1
428491.62,1,2,1,46.277794,0,0,-1,0,0,0,52525.77,347.44006,360115.0,364384.53,369121.16,359563.9,669.1375,356897.12,15269.416,13760.538,13229.094,12335.559,1
458448.97,1,2,2,30.318483,0,0,0,0,0,0,613245.3,548873.06,492386.1,503086.62,463873.72,462412.1,19310.994,18528.54,25207.445,434174.88,18074.205,20848.137,1
338318.53,2,2,2,30.940008,4,3,2,-1,-1,-1,570368.94,577478.4,378724.38,306596.12,243705.55,230410.1,743.7469,-355.45316,1781.2457,4102.897,289835.28,8726.725,1
504651.66,1,1,1,42.220665,-2,-2,-2,-2,-1,0,37947.113,8853.987,13964.744,16612.035,287260.28,285668.56,6385.9297,12519.852,18070.74,295249.94,10596.948,12120.166,1
476154.94,1,1,1,58.60012,-2,-2,-2,-2,-2,-2,25449.898,-1818.9076,148136.48,19420.64,5759.6836,71301.7,405.41776,149095.0,19097.479,5705.225,71787.02,200196.89,1
178826.81,1,3,1,64.92653,0,-1,0,0,0,0,190614.67,174539.81,173648.25,176251.94,180137.8,122282.484,173474.73,6410.3926,4940.2417,5613.071,5551.731,3489.0698,1
303293.47,2,1,2,25.06641,1,5,4,3,2,3,317855.88,310653.8,308048.66,303925.44,313899.88,306697.66,161.41434,-824.5586,9706.102,9718.323,461.2928,-276.0596,1
550337.44,1,5,1,37.080254,0,0,0,0,0,0,453018.3,363451.84,317970.28,90585.2,89853.04,71309.04,15866.275,14065.021,3461.5803,3467.1443,2046.2062,125082.3,1
