X1,X2,X3,X4,X5,X6,X7,X8,X9,X10,X11,X12,X13,X14,X15,X16,X17,X18,X19,X20,X21,X22,X23,Y
275111.06,1,1,2,32.789978,-2,-2,-2,-2,-2,-2,4386.6562,3240.1472,3408.939,3289.7026,2102.0938,2633.14,3370.5881,3069.7632,2378.4553,2664.2058,2688.7983,2265.1113,0
160225.94,2,2,1,35.48954,0,0,0,-1,-1,-1,36791.664,24601.096,13490.729,5589.5503,2493.789,4811.7646,3230.7258,2854.5864,3751.3643,2956.2134,4972.8486,3464.8564,0
206146.77,2,1,1,42.510258,0,0,0,0,0,0,143834.34,137695.94,130756.73,118971.875,106371.04,104963.31,6844.7905,6212.532,5541.441,5086.406,5113.091,4958.275,0
180243.56,2,2,2,34.128975,-1,-1,-1,0,0,0,5100.6055,5426.565,6995.9546,11125.975,10171.672,9870.812,4739.9673,5794.248,6450.256,3337.7148,2301.1633,2675.9382,0
226711.56,1,1,1,42.06506,-1,-1,-1,-1,-1,-1,5155.1875,4959.737,3878.939,3390.5034,3380.793,4141.8896,3981.9036,4026.0261,3181.0547,3307.4668,3515.4841,2720.7595,0
82409.56,1,1,2,32.11459,0,0,0,2,2,2,32179.104,30112.88,29422.42,30034.295,26643.826,27214.5,4129.119,2106.118,1656.9462,1784.9495,1385.767,1423.52,0
93687.46,2,3,1,43.673153,0,0,0,0,0,0,43882.617,39438.88,35972.066,31232.223,26290.422,25445.082,2645.437,2808.9058,1984.7809,1989.9546,1737.1942,1648.0754,0
99871.45,2,2,2,26.36411,0,0,0,0,0,0,35462.43,30742.1,28612.988,26085.215,22270.912,21247.209,3026.6704,2729.7966,2481.7822,2098.1277,2297.8538,1889.5186,0
195485.36,2,2,2,33.047493,-1,-1,-1,-1,-1,-1,4161.5156,3729.6394,3807.1968,4036.5347,3675.6055,4066.2961,3951.1985,3680.7727,3709.7158,3664.7874,3623.0776,3521.868,0
304895.3,2,1,1,38.379402,-1,-1,-1,-1,-1,-1,30905.04,22482.203,24732.176,23183.275,58697.438,33796.84,20678.018,24024.322,17559.307,55582.797,27325.162,14869.261,0
202714.56,2,1,2,30.349758,0,0,0,0,0,0,120459.87,113110.58,110061.51,102252.88,90641.92,93295.516,6008.5444,5881.469,5277.9087,4622.616,5156.4067,4697.243,0
