X1,X2,X3,X4,X5,X6,X7,X8,X9,X10,X11,X12,X13,X14,X15,X16,X17,X18,X19,X20,X21,X22,X23,Y
170847.53,2,1,2,34.014767,-1,-1,-1,-1,-1,0,4800.746,4349.3696,3967.56,3651.6792,3981.746,3891.6516,3132.5264,3506.0107,4481.133,2870.3623,1101.672,2166.933,0
194003.55,2,1,1,40.02132,0,0,0,0,0,0,139603.48,137959.17,128813.58,124168.72,116889.555,112380.54,6389.618,6073.8257,5544.902,5222.2188,4620.676,4529.493,0
177866.53,2,1,2,33.086426,0,0,0,-1,-1,0,34203.098,30224.705,21906.508,14251.166,48707.77,33373.215,4480.122,4832.934,4315.3613,44475.363,4101.187,5784.1675,0
69027.21,2,5,2,30.274431,0,0,0,0,0,0,36846.89,35880.76,31772.512,29070.52,24102.275,21167.604,2466.6582,2380.473,2033.7836,2123.9868,999.33673,1329.3567,0
144266.67,2,1,2,32.90692,0,-1,-1,-1,0,-1,14679.148,8937.257,5587.388,6091.9644,6816.711,6011.093,2987.3928,4632.8984,5204.0264,3946.9175,2181.4111,2639.1033,0
123903.89,1,1,2,29.6621,0,0,0,0,0,0,70068.47,68522.06,64672.7,59869.96,52628.773,50919.47,4435.775,6230.6494,5668.69,3076.0986,5731.1147,3239.0837,0
383453.75,2,1,2,35.472576,0,0,0,0,0,0,40576.555,38180.16,36974.848,37531.22,35188.95,32137.176,5588.532,6359.309,5807.346,5670.828,4737.319,5510.411,0
343886.62,2,1,2,33.981606,0,0,0,-1,-1,0,157777.92,139758.11,100754.49,72286.5,234808.56,174208.83,14694.831,15386.226,17101.906,248747.1,13990.015,23444.342,0
63276.94,2,3,2,45.624897,0,0,0,0,0,0,39399.863,38322.145,34032.89,29541.695,25769.393,24130.705,2932.429,2157.851,1977.4188,1817.0544,1609.289,1312.2246,0
294844.3,2,1,2,37.928974,-2,-2,-2,-2,-2,-2,17468.21,16721.754,11662.588,17833.15,18618.328,18387.91,12193.212,9771.554,19622.096,17321.637,22183.938,10610.517,0
212683.7,2,1,1,40.873177,-2,-2,-2,-2,-2,-2,4364.211,4319.971,1977.0327,1150.5895,755.87897,1924.4368,2469.632,2040.043,2088.3926,1418.5386,1774.3058,1925.1348,0
424877.75,2,1,2,37.816936,-1,-1,-2,-1,0,-1,62242.125,84371.4,47614.465,113451.9,115149.06,82545.23,66304.97,44701.566,102688.29,58947.023,30968.625,37212.484,0
250325.06,1,1,2,35.52283,-2,-1,-1,0,0,0,33239.805,21438.95,97223.14,66957.59,55598.492,40618.38,7339.0195,100336.45,4512.297,4609.693,4252.1367,5343.661,0
129492.0,2,1,2,33.909855,-1,-1,-1,0,0,0,9116.254,9767.585,12389.51,12094.156,10334.656,10284.7,2337.6936,5680.3857,1569.2006,2031.0156,1861.7345,2687.755,0
385529.3,1,1,2,35.249176,0,-1,-1,0,0,0,56233.246,37546.133,281930.53,251726.94,203719.16,167198.81,7630.135,278829.72,13977.79,10767.49,9685.273,14100.811,0
166727.95,2,1,1,38.92912,-1,-1,-1,-1,-1,-1,3731.2305,3914.7175,3626.3413,2396.1519,2010.7617,2938.6204,3149.322,2718.6743,2804.9314,2147.4756,2355.8923,2368.8257,0
321290.4,2,1,2,36.129543,0,0,-2,-1,0,-1,53269.49,48691.582,42095.65,123357.45,90807.88,65084.87,9585.152,25154.236,104930.31,9813.756,6967.5103,10112.035,0
253817.69,2,1,2,33.603012,0,0,0,0,0,-1,40465.953,31214.926,24620.145,17733.705,8525.318,92748.46,4798.853,4224.2837,4203.434,4401.051,103090.78,11409.671,0
198529.6,1,1,2,31.45542,0,0,0,0,0,0,127158.51,125078.95,119629.72,113565.21,108474.34,104526.484,5839.486,5683.6206,4743.6113,4522.1733,4549.999,4455.3916,0
187831.34,2,1,1,37.675552,0,0,0,0,0,0,89271.43,87753.13,80632.49,73862.04,67227.57,65710.43,4205.084,4081.511,3310.818,3282.257,3180.0837,3131.5647,0
382972.22,1,1,2,38.610184,-1,-1,-1,-1,-1,-1,7028.957,6228.401,6735.4897,6561.2104,5695.3438,6378.5225,5262.7637,6155.6694,5276.5083,4740.516,5362.385,5530.9946,0
173295.47,2,1,2,31.466312,0,-1,0,0,0,0,30002.094,67643.97,62161.516,56609.98,49131.742,40190.29,54493.1,10556.569,6522.812,5242.708,6222.584,10061.739,0
235613.23,2,1,2,34.626762,0,0,0,0,0,0,193968.92,190473.34,184042.2,178274.4,168263.88,162499.12,8734.481,8791.683,7197.3613,6898.48,6443.558,6919.181,0
215829.75,2,1,2,30.53977,-2,-2,-2,-2,-2,-2,3254.5664,3815.2097,2459.7983,1775.4684,1597.0195,1406.1125,2556.4148,2580.5059,2133.4583,1962.7241,2072.0508,1935.7537,0
482110.97,2,1,2,37.42574,-2,-1,0,0,0,-1,177765.67,233261.45,298168.75,289882.34,187768.12,75143.266,48484.3,119619.945,30697.246,7719.9585,42979.91,439553.66,0
150418.72,2,1,2,29.816328,-1,-1,-1,-1,-1,-1,3135.1367,2915.8152,3126.1968,2550.2222,2691.5742,2601.093,3019.6848,3312.8928,2824.349,2697.6968,2911.325,2281.4165,0
78459.05,1,1,1,41.195667,0,0,0,0,0,0,42241.074,40033.26,35475.97,32214.164,28341.14,26278.49,2604.6763,2464.6345,1675.0797,1774.209,1740.0172,1550.1824,0
57293.613,1,1,2,34.8174,2,2,2,7,3,3,32206.088,33967.383,31134.414,31637.209,30342.748,28193.053,1864.8394,1468.8345,901.20074,407.43994,788.6568,1042.1963,0
86710.94,2,2,1,35.878536,0,0,0,0,0,0,37896.25,35463.04,31258.232,27935.629,26257.744,24665.406,2458.3193,2311.1428,1588.6041,1717.4766,1757.223,1276.6226,0
305745.38,2,1,2,32.86913,0,-1,-2,-1,0,0,37119.426,279521.12,890204.4,115456.0,54859.934,115812.1,368112.47,1145751.6,81734.1,-1754.5596,84091.56,-2592.7021,0
388635.22,1,2,2,36.9542,0,0,-2,-1,0,-1,140230.11,58654.535,73092.49,104693.44,109563.73,175943.6,17620.326,46020.23,76357.13,84411.96,171291.19,39464.633,0
213596.2,2,1,2,36.059036,-1,-1,-1,-1,-1,-1,11492.98,11113.03,12146.861,20965.762,11022.719,17308.31,9137.734,10781.177,21056.783,8442.532,18417.328,7690.158,0
218883.33,2,1,2,35.37674,-1,-1,-2,-2,-2,-2,5591.6875,3685.1902,622.1538,-364.81683,-20.980429,1604.3157,2125.98,266.2109,376.84772,267.063,353.3841,671.4126,0
69042.06,2,2,2,25.970516,0,0,0,0,0,0,37261.91,35302.45,31212.535,28776.014,26455.475,23870.342,2590.3457,2195.2332,1891.202,1655.762,1910.711,2440.0637,0
343117.44,2,1,2,36.386864,0,0,0,0,0,-1,174032.72,163732.58,123783.57,88306.234,57148.035,213345.55,10359.626,6581.2754,6574.8306,5356.6396,206178.67,9406.071,0
266544.7,2,1,2,33.2858,-1,-1,-1,-1,-1,-1,17368.332,11861.417,11670.705,12734.873,12314.201,5809.0146,6603.8027,10262.375,11454.521,8003.9214,5268.6816,70726.98,0
136511.36,2,1,2,31.729107,1,2,0,0,0,0,103419.44,103565.47,99838.97,96583.12,93824.2,89625.63,3379.935,3851.6445,3823.9463,4035.9963,3729.1946,3512.3528,0
159029.31,2,1,2,33.57481,-1,-1,-1,0,-1,-1,5252.133,5465.8813,6153.431,4709.804,3805.3594,4723.292,4198.3296,3897.2507,1268.4928,2850.5444,4151.9946,2777.235,0
87234.74,2,1,2,33.30375,0,0,0,0,0,-1,33713.32,30763.094,23542.096,15535.826,6115.0938,7437.501,3207.2795,2580.696,1946.3329,2176.4158,8164.1514,3651.7637,0
63839.074,2,1,2,31.755766,0,0,0,0,2,0,30696.95,31507.494,29176.182,29840.793,29034.936,29935.943,3175.9355,2148.5425,2584.23,912.40234,1578.3871,1166.1184,0
343078.03,2,1,2,37.74834,0,0,0,0,0,0,267501.56,251425.19,244771.08,219888.1,193953.22,178937.86,12693.45,13616.34,9712.728,8066.587,8562.744,8308.423,0
269264.66,2,1,2,32.74641,0,0,0,0,0,0,62217.82,161812.08,125393.375,108444.82,93036.586,69927.36,125000.47,11617.456,6377.14,5242.418,5127.604,10245.418,0
340553.66,2,1,2,36.169266,-2,-1,-2,0,0,-1,35072.49,137952.06,217076.2,143444.42,109911.93,74932.664,136187.11,187315.5,6615.2993,16586.441,26565.363,36127.992,0
468376.88,1,1,2,39.429176,0,0,0,0,0,0,430362.62,421068.1,414443.12,385011.78,366513.62,342329.62,18729.033,19155.818,16061.058,17876.586,19352.28,15383.874,0
193837.27,2,1,2,33.878124,1,-2,-2,-1,-1,-1,733.379,-91.634155,626.5952,2955.1753,3006.6328,2656.8586,238.42508,1774.4126,1487.4545,2056.1548,2300.4287,1952.4436,0
365985.62,1,1,2,35.8921,-2,-1,0,-1,-1,-1,56738.613,58235.297,74506.18,86430.79,83095.17,43385.527,21467.684,52002.68,60118.383,34435.156,41578.086,179350.25,0
162251.9,2,1,2,33.458824,0,0,-2,-2,-2,-2,42809.766,2463.077,1253.3921,41.038635,478.02347,2553.132,1171.6052,338.82468,847.8194,734.33374,1003.65485,750.47656,0
322721.84,2,1,3,46.15135,-1,-1,-1,-1,-1,0,94708.85,203066.17,-20111.604,266109.94,244355.81,226313.34,863667.5,1289850.4,746897.25,711618.2,16660.396,128663.93,0
364375.88,2,2,2,35.450798,0,0,0,0,0,0,296012.66,265080.5,238281.92,207059.69,203837.4,73495.414,14315.057,20614.57,10634.682,15867.339,10766.737,271062.7,0
62249.027,1,1,2,29.52704,0,0,0,0,0,0,29967.613,28452.3,26421.902,23435.775,21968.385,19441.09,2449.8984,2400.3855,1479.38,1522.9072,1681.7509,1489.8127,0
53915.74,1,1,2,31.62552,1,4,3,2,0,0,24354.996,25610.18,23105.078,21966.152,20616.23,20185.424,2064.0564,283.4023,-167.30852,2091.7146,1166.4401,1896.5088,0
276652.53,2,1,2,34.99741,0,0,0,-1,-1,0,56094.27,53561.855,29312.477,15765.195,123009.72,95264.43,5741.472,5080.7104,5899.276,124450.69,5386.428,7655.892,0
406949.44,1,1,2,38.713943,-1,-1,-1,-1,-1,-1,35296.387,22474.818,43333.97,54873.617,61634.656,82307.54,14323.767,39815.79,34757.293,36695.094,71564.43,29525.914,0
55521.31,1,1,2,27.663664,1,2,0,0,0,0,32496.262,31469.957,28920.957,26638.605,24987.096,21214.799,856.8001,2303.2314,1282.5006,1366.6382,1545.6505,1921.0635,0
169546.78,2,1,2,33.062347,0,0,0,-1,0,0,36063.445,29317.488,18857.834,60576.887,51654.81,42330.324,4270.117,5362.503,59443.33,4374.0566,2762.379,5862.0576,0
306924.38,2,1,2,35.51683,0,0,0,0,0,0,182967.11,170615.3,153139.03,144561.3,150735.56,131661.34,11383.367,12532.133,11055.481,70098.766,11485.06,12281.234,0
348930.7,2,1,2,34.588467,0,0,0,0,0,0,196148.0,200254.8,167490.64,146025.88,110615.42,144762.81,32927.035,18254.87,19884.822,8245.779,86179.44,12100.625,0
350190.72,2,1,2,37.73897,-2,-1,-2,-1,-1,-1,30230.268,52081.383,37010.97,33820.293,32252.168,21975.297,47954.105,37101.727,30594.97,23159.957,17792.03,20921.371,0
142023.89,2,1,2,33.422935,-1,2,2,-1,-1,-1,6759.5312,5070.889,4763.7554,5598.9683,3811.0664,3677.015,212.05496,2644.0867,2774.554,1770.5325,2430.931,2030.6274,0
358005.75,2,1,2,32.808693,0,0,0,-1,-1,-1,28138.38,24656.104,17365.4,10753.906,6791.367,5541.624,6483.5127,5023.0493,4943.4805,4684.5264,5432.0806,5632.075,0
263708.25,2,1,2,34.307735,0,0,0,0,0,0,227279.19,214844.88,177179.0,103188.2,66439.516,53858.77,9882.664,8382.109,5788.938,4188.226,5090.4814,6007.3267,0
215009.5,2,1,2,34.544052,1,-2,-2,-2,-2,-2,1120.797,832.87756,-535.75635,682.8238,509.06644,338.71802,319.20975,894.7539,-41.014088,29.958994,486.7718,383.64548,0
456874.72,1,1,2,41.971905,0,0,0,0,0,0,403476.22,361015.28,341877.03,295043.53,290901.66,256749.4,14438.3125,19885.973,247321.3,60506.652,18035.387,43110.477,0
74487.6,2,1,2,27.928558,0,0,2,0,0,0,26485.13,25376.744,22086.611,21126.273,18892.637,17149.906,3799.2546,4162.708,1582.5382,2151.4163,2106.9658,1464.0344,0
122685.53,2,1,2,31.4488,-1,0,0,0,0,0,18996.908,21589.492,20661.098,19495.418,18260.559,17570.938,6443.7456,3845.3635,2742.2761,2404.398,2700.3804,2668.1514,0
264880.0,1,1,2,36.911884,0,0,0,0,-1,-1,176256.16,127353.88,43476.043,14969.0625,7061.371,5054.077,8016.955,4288.387,3927.905,3104.4321,2081.9578,3709.5923,0
367429.12,1,1,2,40.052704,-2,-1,-2,-1,0,0,53941.16,27352.01,25262.717,300972.53,183874.3,157071.16,19583.936,38588.695,327635.25,8585.943,13711.52,7740.5015,0
262124.34,2,1,2,29.96368,0,0,0,0,0,0,44094.367,42424.273,37547.914,37099.26,33290.51,29992.346,3747.4805,3455.0967,2832.558,3493.0686,3313.532,3064.7715,0
318000.62,1,1,2,36.080296,0,0,-2,-1,0,0,83402.88,71694.34,35605.137,170572.1,137000.27,127981.086,16284.173,14942.606,180145.16,7521.192,8483.959,20930.58,0
240124.14,1,1,2,36.89383,1,2,0,0,0,0,210746.33,200597.03,192417.6,180940.84,169023.05,163647.94,3286.414,8233.876,6630.5312,5597.614,6662.07,6315.479,0
61779.457,2,1,2,32.893284,2,2,2,2,2,2,31812.346,32620.902,30851.768,31449.018,30792.275,31065.383,1711.4666,2668.8904,1602.8307,1070.3513,1510.379,978.89014,0
311527.44,2,1,2,33.693356,-2,-1,-1,-1,-1,-1,24334.764,20960.783,16656.04,9653.734,82290.42,51020.383,11769.874,12590.051,1812.8634,80303.13,5814.4185,10338.991,0
38594.3,1,1,2,32.074154,4,4,2,0,0,0,35431.52,37237.727,32910.953,29653.336,29913.482,20794.97,676.3328,908.89014,307.43414,419.68555,1362.1678,2847.0933,0
278617.12,1,2,2,33.89161,0,0,0,0,0,0,229191.98,202920.05,175258.94,128394.78,107665.86,44065.875,7735.839,10409.858,6933.5884,3953.935,6680.5356,151155.56,0
224120.67,2,1,2,34.667435,-2,-2,-2,-1,-1,-1,3594.2422,3172.9714,3330.1577,4239.316,3548.5117,3691.3547,2886.311,3387.1902,3489.7888,3477.1184,3931.4333,3271.9534,0
