model,method,cv_balanced,cv_macro_f1,cv_weighted_f1,cv_accuracy,cv_balanced_std,cv_macro_f1_std,cv_weighted_f1_std,cv_accuracy_std,optuna_time,train_time,test_balanced,test_macro_f1,test_weighted_f1,test_accuracy,test_roc_auc,inf_time_per_sample,space,IPC,seed,vae_pretrain_time,vae_fine_tunning_time,encoder_inference_time,decoder_inference_time,destillation_time
naive_bayes,Full-data,0.783,0.364,0.722,0.567,0.0,0.001,0.001,0.002,123.901,1.352,0.783,0.364,0.722,0.566,,0.0,original,,,,,,,
logreg,Full-data,0.718,0.792,0.999,0.999,0.015,0.013,0.0,0.0,242.332,5.59,0.699,0.778,0.999,0.999,,0.0,original,,,,,,,
knn,Full-data,0.847,0.902,1.0,1.0,0.003,0.003,0.0,0.0,16170.396,23.337,0.847,0.899,1.0,1.0,,0.000543,original,,,,,,,
xgb,Full-data,0.925,0.942,1.0,1.0,0.004,0.004,0.0,0.0,1486.399,15.461,0.857,0.879,0.999,0.999,,0.0,original,,,,,,,
rf,Full-data,0.988,0.598,0.994,0.99,0.002,0.003,0.0,0.0,97449.789,4303.132,0.99,0.597,0.994,0.99,,1.6e-05,original,,,,,,,
mlp,Full-data,0.855,0.908,1.0,1.0,0.013,0.004,0.0,0.0,10114.573,465.826,0.841,0.9,1.0,1.0,,1e-06,original,,,,,,,
naive_bayes,random,0.8,0.76,0.76,0.8,0.187,0.244,0.244,0.187,35.595,0.002,0.799,0.39,0.772,0.631,,0.0,original,10,5,,,,,
logreg,random,0.8,0.733,0.733,0.8,0.245,0.327,0.327,0.245,1.072,0.005,0.779,0.499,0.97,0.944,,0.0,original,10,5,,,,,
knn,random,0.75,0.68,0.68,0.75,0.224,0.299,0.299,0.224,1.418,0.001,0.736,0.512,0.983,0.969,,1e-06,original,10,5,,,,,
xgb,random,0.9,0.867,0.867,0.9,0.2,0.267,0.267,0.2,1.36,0.02,0.814,0.458,0.903,0.824,,0.0,original,10,5,,,,,
rf,random,0.75,0.68,0.68,0.75,0.224,0.299,0.299,0.224,10.693,0.252,0.866,0.481,0.941,0.891,,3e-06,original,10,5,,,,,
mlp,random,0.7,0.653,0.653,0.7,0.292,0.333,0.333,0.292,1.328,0.017,0.797,0.462,0.91,0.838,,0.0,original,10,5,,,,,
naive_bayes,k-means,0.75,0.68,0.68,0.75,0.224,0.299,0.299,0.224,0.511,0.001,0.78,0.362,0.716,0.56,,0.0,original,10,5,3188.237088918686,0,2.081027624302673e-06,0.0012798309326171875,14.372997760772705
logreg,k-means,0.7,0.66,0.66,0.7,0.187,0.227,0.227,0.187,0.706,0.005,0.734,0.429,0.851,0.742,,0.0,original,10,5,3188.237088918686,0,2.081027624302673e-06,0.0012798309326171875,14.372997760772705
knn,k-means,0.8,0.787,0.787,0.8,0.1,0.107,0.107,0.1,0.695,0.001,0.683,0.397,0.788,0.652,,1e-06,original,10,5,3188.237088918686,0,2.081027624302673e-06,0.0012798309326171875,14.372997760772705
xgb,k-means,0.9,0.893,0.893,0.9,0.122,0.131,0.131,0.122,1.075,0.029,0.648,0.3,0.596,0.426,,0.0,original,10,5,3188.237088918686,0,2.081027624302673e-06,0.0012798309326171875,14.372997760772705
rf,k-means,0.9,0.893,0.893,0.9,0.122,0.131,0.131,0.122,12.228,0.319,0.612,0.258,0.512,0.346,,4e-06,original,10,5,3188.237088918686,0,2.081027624302673e-06,0.0012798309326171875,14.372997760772705
mlp,k-means,0.55,0.48,0.48,0.55,0.1,0.147,0.147,0.1,1.628,0.038,0.72,0.409,0.81,0.683,,1e-06,original,10,5,3188.237088918686,0,2.081027624302673e-06,0.0012798309326171875,14.372997760772705
naive_bayes,k-means,0.7,0.627,0.627,0.7,0.187,0.259,0.259,0.187,0.541,0.002,0.746,0.446,0.882,0.791,,0.0,latent,10,5,3188.237088918686,0,2.081027624302673e-06,0.0012798309326171875,14.372997760772705
logreg,k-means,0.75,0.733,0.733,0.75,0.274,0.292,0.292,0.274,0.846,0.006,0.903,0.498,0.963,0.93,,0.0,latent,10,5,3188.237088918686,0,2.081027624302673e-06,0.0012798309326171875,14.372997760772705
knn,k-means,0.65,0.613,0.613,0.65,0.2,0.232,0.232,0.2,0.9,0.001,0.751,0.511,0.981,0.966,,0.0,latent,10,5,3188.237088918686,0,2.081027624302673e-06,0.0012798309326171875,14.372997760772705
xgb,k-means,0.8,0.787,0.787,0.8,0.1,0.107,0.107,0.1,1.157,0.014,0.812,0.447,0.883,0.793,,0.0,latent,10,5,3188.237088918686,0,2.081027624302673e-06,0.0012798309326171875,14.372997760772705
rf,k-means,0.85,0.847,0.847,0.85,0.2,0.202,0.202,0.2,12.475,0.448,0.867,0.445,0.877,0.783,,1.3e-05,latent,10,5,3188.237088918686,0,2.081027624302673e-06,0.0012798309326171875,14.372997760772705
mlp,k-means,0.75,0.733,0.733,0.75,0.274,0.292,0.292,0.274,1.799,0.039,0.868,0.487,0.95,0.906,,1e-06,latent,10,5,3188.237088918686,0,2.081027624302673e-06,0.0012798309326171875,14.372997760772705
naive_bayes,k-center,0.8,0.787,0.787,0.8,0.1,0.107,0.107,0.1,0.513,0.001,0.78,0.361,0.716,0.56,,0.0,original,10,5,3188.237088918686,0,2.081027624302673e-06,0.0011200904846191406,5.102742910385132
logreg,k-center,0.85,0.813,0.813,0.85,0.2,0.261,0.261,0.2,0.879,0.007,0.5,0.001,0.0,0.001,,0.0,original,10,5,3188.237088918686,0,2.081027624302673e-06,0.0011200904846191406,5.102742910385132
knn,k-center,0.8,0.793,0.793,0.8,0.187,0.189,0.189,0.187,0.72,0.001,0.5,0.001,0.0,0.001,,1e-06,original,10,5,3188.237088918686,0,2.081027624302673e-06,0.0011200904846191406,5.102742910385132
xgb,k-center,0.8,0.76,0.76,0.8,0.187,0.244,0.244,0.187,1.086,0.02,0.571,0.377,0.749,0.6,,0.0,original,10,5,3188.237088918686,0,2.081027624302673e-06,0.0011200904846191406,5.102742910385132
rf,k-center,0.7,0.66,0.66,0.7,0.187,0.227,0.227,0.187,11.243,0.246,0.5,0.002,0.001,0.002,,2e-06,original,10,5,3188.237088918686,0,2.081027624302673e-06,0.0011200904846191406,5.102742910385132
mlp,k-center,0.75,0.707,0.707,0.75,0.158,0.213,0.213,0.158,1.576,0.011,0.56,0.337,0.67,0.506,,0.0,original,10,5,3188.237088918686,0,2.081027624302673e-06,0.0011200904846191406,5.102742910385132
naive_bayes,k-center,0.7,0.653,0.653,0.7,0.1,0.16,0.16,0.1,0.508,0.002,0.59,0.162,0.321,0.192,,0.0,latent,10,5,3188.237088918686,0,2.081027624302673e-06,0.0011200904846191406,5.102742910385132
logreg,k-center,0.8,0.76,0.76,0.8,0.187,0.244,0.244,0.187,0.936,0.009,0.5,0.001,0.0,0.001,,0.0,latent,10,5,3188.237088918686,0,2.081027624302673e-06,0.0011200904846191406,5.102742910385132
knn,k-center,0.85,0.813,0.813,0.85,0.2,0.261,0.261,0.2,0.635,0.001,0.5,0.001,0.0,0.001,,0.0,latent,10,5,3188.237088918686,0,2.081027624302673e-06,0.0011200904846191406,5.102742910385132
xgb,k-center,0.8,0.76,0.76,0.8,0.187,0.244,0.244,0.187,1.114,0.014,0.743,0.413,0.819,0.695,,0.0,latent,10,5,3188.237088918686,0,2.081027624302673e-06,0.0011200904846191406,5.102742910385132
rf,k-center,0.7,0.653,0.653,0.7,0.1,0.16,0.16,0.1,8.718,0.252,0.5,0.002,0.001,0.002,,4e-06,latent,10,5,3188.237088918686,0,2.081027624302673e-06,0.0011200904846191406,5.102742910385132
mlp,k-center,0.7,0.653,0.653,0.7,0.1,0.16,0.16,0.1,1.558,0.037,0.727,0.315,0.624,0.455,,0.0,latent,10,5,3188.237088918686,0,2.081027624302673e-06,0.0011200904846191406,5.102742910385132
naive_bayes,ag,0.65,0.573,0.573,0.65,0.122,0.196,0.196,0.122,0.512,0.001,0.78,0.361,0.716,0.56,,0.0,original,10,5,3188.237088918686,0,2.081027624302673e-06,0.00112152099609375,1242.2678167819977
logreg,ag,0.75,0.74,0.74,0.75,0.158,0.158,0.158,0.158,0.844,0.008,0.678,0.454,0.899,0.819,,0.0,original,10,5,3188.237088918686,0,2.081027624302673e-06,0.00112152099609375,1242.2678167819977
knn,ag,0.75,0.733,0.733,0.75,0.0,0.0,0.0,0.0,0.715,0.001,0.71,0.391,0.776,0.636,,1e-06,original,10,5,3188.237088918686,0,2.081027624302673e-06,0.00112152099609375,1242.2678167819977
xgb,ag,0.85,0.847,0.847,0.85,0.2,0.202,0.202,0.2,1.046,0.018,0.562,0.442,0.879,0.787,,0.0,original,10,5,3188.237088918686,0,2.081027624302673e-06,0.00112152099609375,1242.2678167819977
rf,ag,0.75,0.74,0.74,0.75,0.158,0.158,0.158,0.158,11.297,0.454,0.724,0.401,0.796,0.663,,5e-06,original,10,5,3188.237088918686,0,2.081027624302673e-06,0.00112152099609375,1242.2678167819977
mlp,ag,0.6,0.587,0.587,0.6,0.255,0.267,0.267,0.255,1.334,0.018,0.666,0.41,0.814,0.688,,0.0,original,10,5,3188.237088918686,0,2.081027624302673e-06,0.00112152099609375,1242.2678167819977
naive_bayes,ag,0.7,0.693,0.693,0.7,0.187,0.185,0.185,0.187,38.049,0.001,0.682,0.458,0.906,0.83,,1e-06,latent,10,5,3188.237088918686,0,2.081027624302673e-06,0.00112152099609375,1242.2678167819977
logreg,ag,0.7,0.653,0.653,0.7,0.1,0.16,0.16,0.1,1.15,0.007,0.823,0.442,0.872,0.776,,0.0,latent,10,5,3188.237088918686,0,2.081027624302673e-06,0.00112152099609375,1242.2678167819977
knn,ag,0.7,0.667,0.667,0.7,0.245,0.279,0.279,0.245,1.239,0.001,0.736,0.446,0.883,0.792,,1e-06,latent,10,5,3188.237088918686,0,2.081027624302673e-06,0.00112152099609375,1242.2678167819977
xgb,ag,0.8,0.793,0.793,0.8,0.187,0.189,0.189,0.187,1.355,0.039,0.821,0.439,0.867,0.768,,0.0,latent,10,5,3188.237088918686,0,2.081027624302673e-06,0.00112152099609375,1242.2678167819977
rf,ag,0.85,0.813,0.813,0.85,0.2,0.261,0.261,0.2,12.869,0.455,0.874,0.497,0.963,0.931,,1.3e-05,latent,10,5,3188.237088918686,0,2.081027624302673e-06,0.00112152099609375,1242.2678167819977
mlp,ag,0.65,0.613,0.613,0.65,0.2,0.232,0.232,0.2,1.597,0.031,0.813,0.413,0.817,0.692,,0.0,latent,10,5,3188.237088918686,0,2.081027624302673e-06,0.00112152099609375,1242.2678167819977
naive_bayes,lc,0.9,0.893,0.893,0.9,0.122,0.131,0.131,0.122,0.492,0.001,0.5,0.001,0.0,0.001,,0.0,original,10,5,3188.237088918686,0,2.081027624302673e-06,0.001249551773071289,13.249374151229858
logreg,lc,0.95,0.947,0.947,0.95,0.1,0.107,0.107,0.1,0.624,0.022,0.551,0.278,0.553,0.383,,0.0,original,10,5,3188.237088918686,0,2.081027624302673e-06,0.001249551773071289,13.249374151229858
knn,lc,0.95,0.947,0.947,0.95,0.1,0.107,0.107,0.1,0.666,0.001,0.599,0.34,0.675,0.511,,1e-06,original,10,5,3188.237088918686,0,2.081027624302673e-06,0.001249551773071289,13.249374151229858
xgb,lc,0.95,0.947,0.947,0.95,0.1,0.107,0.107,0.1,1.038,0.044,0.572,0.301,0.599,0.429,,0.0,original,10,5,3188.237088918686,0,2.081027624302673e-06,0.001249551773071289,13.249374151229858
rf,lc,0.95,0.947,0.947,0.95,0.1,0.107,0.107,0.1,9.37,0.104,0.505,0.025,0.047,0.025,,1e-06,original,10,5,3188.237088918686,0,2.081027624302673e-06,0.001249551773071289,13.249374151229858
mlp,lc,0.95,0.947,0.947,0.95,0.1,0.107,0.107,0.1,1.325,0.02,0.571,0.268,0.533,0.365,,1e-06,original,10,5,3188.237088918686,0,2.081027624302673e-06,0.001249551773071289,13.249374151229858
naive_bayes,lc,0.9,0.893,0.893,0.9,0.122,0.131,0.131,0.122,0.555,0.002,0.487,0.002,0.001,0.002,,0.0,latent,10,5,3188.237088918686,0,2.081027624302673e-06,0.001249551773071289,13.249374151229858
logreg,lc,0.9,0.893,0.893,0.9,0.122,0.131,0.131,0.122,0.686,0.007,0.43,0.272,0.541,0.372,,0.0,latent,10,5,3188.237088918686,0,2.081027624302673e-06,0.001249551773071289,13.249374151229858
knn,lc,0.9,0.893,0.893,0.9,0.122,0.131,0.131,0.122,0.658,0.001,0.473,0.174,0.345,0.21,,0.0,latent,10,5,3188.237088918686,0,2.081027624302673e-06,0.001249551773071289,13.249374151229858
xgb,lc,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,1.012,0.023,0.572,0.302,0.6,0.43,,0.0,latent,10,5,3188.237088918686,0,2.081027624302673e-06,0.001249551773071289,13.249374151229858
rf,lc,0.9,0.893,0.893,0.9,0.122,0.131,0.131,0.122,10.054,0.264,0.443,0.04,0.077,0.041,,3e-06,latent,10,5,3188.237088918686,0,2.081027624302673e-06,0.001249551773071289,13.249374151229858
mlp,lc,0.9,0.893,0.893,0.9,0.122,0.131,0.131,0.122,1.485,0.019,0.464,0.231,0.459,0.299,,0.0,latent,10,5,3188.237088918686,0,2.081027624302673e-06,0.001249551773071289,13.249374151229858
naive_bayes,random,0.85,0.84,0.84,0.85,0.122,0.131,0.131,0.122,0.533,0.001,0.813,0.425,0.84,0.725,,0.0,original,10,6,,,,,
logreg,random,0.95,0.947,0.947,0.95,0.1,0.107,0.107,0.1,0.681,0.005,0.795,0.446,0.881,0.79,,0.0,original,10,6,,,,,
knn,random,0.9,0.893,0.893,0.9,0.122,0.131,0.131,0.122,0.678,0.001,0.763,0.472,0.929,0.87,,1e-06,original,10,6,,,,,
xgb,random,0.85,0.84,0.84,0.85,0.122,0.131,0.131,0.122,1.04,0.052,0.696,0.401,0.796,0.663,,0.0,original,10,6,,,,,
rf,random,0.85,0.813,0.813,0.85,0.2,0.261,0.261,0.2,9.711,0.15,0.777,0.449,0.888,0.801,,1e-06,original,10,6,,,,,
mlp,random,0.9,0.893,0.893,0.9,0.122,0.131,0.131,0.122,1.569,0.029,0.784,0.431,0.852,0.744,,0.0,original,10,6,,,,,
naive_bayes,k-means,0.65,0.547,0.547,0.65,0.2,0.275,0.275,0.2,0.512,0.001,0.78,0.362,0.716,0.56,,0.0,original,10,6,2262.4002962112427,0,2.323014056357011e-06,0.0011508464813232422,15.247054100036621
