Administrative,Administrative_Duration,Informational,Informational_Duration,ProductRelated,ProductRelated_Duration,BounceRates,ExitRates,PageValues,SpecialDay,Month,OperatingSystems,Browser,Region,TrafficType,VisitorType,Weekend,Revenue
1.0038564,4.8873057,-0.00776305,-0.41449934,164.32704,5754.186,0.003507232,0.008995785,52.58611,-0.00027985996,Nov,2,2,1,1,Returning_Visitor,False,False
0.9689317,5.0225444,-0.012378417,-0.42941862,14.632708,378.03412,-0.000115160234,0.0016582299,69.711395,-0.00041602305,Nov,8,13,9,20,Other,False,False
4.0218077,42.128075,-0.006969593,-0.17442901,65.85128,2551.415,0.00035541286,0.015720246,62.218388,-0.00016935667,Nov,4,1,2,2,Returning_Visitor,False,False
6.000738,200.77403,-0.0067121605,0.12488739,83.912766,3635.8943,0.0067941234,0.016609263,66.32232,-0.00057710084,Nov,2,2,4,2,Returning_Visitor,False,False
2.0085647,20.763916,-0.006573818,-0.02221115,24.635204,284.3777,3.1869524e-05,0.007432441,77.43982,-0.00035669407,Nov,2,2,7,2,New_Visitor,False,False
6.0364957,144.13666,-0.0069990377,-0.29555708,31.684229,2294.0564,-9.720992e-05,0.0010677676,63.044918,-0.0004139816,Nov,3,2,9,3,New_Visitor,True,False
8.00536,167.82901,-0.0024950723,-0.34654814,70.14238,2145.4617,0.00018795919,0.0092527075,67.90983,-0.00011208405,Nov,2,4,5,2,Returning_Visitor,False,False
4.0660253,157.29381,-0.026807033,0.86028856,62.294792,4422.4814,0.0002711468,0.001420087,246.0769,-0.0012164278,Oct,4,1,8,2,New_Visitor,False,False
2.9849286,31.775768,-0.004390798,-0.071397856,14.772106,288.59607,3.7771104e-06,0.0005469013,56.21546,-0.00028603277,Sep,2,4,1,2,New_Visitor,False,False
0.024688847,0.9416041,-0.0034121494,-0.28896147,68.01302,1198.988,0.0030962003,0.014273715,64.12946,-0.00019760928,Nov,4,1,1,1,Returning_Visitor,False,False
0.00086129433,0.18165538,-0.00028913433,-0.21456726,2.9316258,-3.579395,0.19980435,0.19976367,0.06327125,-0.00014196089,Nov,3,2,1,11,Returning_Visitor,False,True
0.98451054,0.21424815,-0.000333659,-0.33522993,1.2104783,-8.5468025,0.19993047,0.1999974,0.094963275,6.41259e-05,Nov,3,2,3,8,Returning_Visitor,False,True
0.9845493,4.8288035,-0.001542471,-0.36018187,2.7222657,19.050121,0.0064026,0.074989304,-0.055288114,-0.00027632093,June,4,2,1,5,Returning_Visitor,True,True
2.9973166,89.96428,-0.0068745236,-0.35791594,7.7481046,68.892166,0.018330617,0.032849826,-0.02242545,-0.00016813478,June,2,2,8,1,Returning_Visitor,False,True
2.0114791,27.04097,-0.0065410356,-0.35449415,0.9845337,23.822216,0.04970238,0.06664245,-0.0062053576,-0.00011958679,Dec,3,2,2,3,Returning_Visitor,False,True
0.01160825,0.46098277,0.0048813303,-0.25262266,1.1556668,-3.0709722,0.19946213,0.20063946,0.05666133,7.291386e-05,Oct,2,5,1,20,Returning_Visitor,False,True
1.0017821,35.56496,-0.008268498,-0.24841125,0.96081966,-10.568043,0.05300537,0.09314489,-0.04020337,-0.00021335608,Sep,3,2,3,6,Returning_Visitor,False,True
3.0095904,74.39972,-0.0062102894,-0.35547072,2.569161,89.5721,-0.0003842845,0.03287551,-0.017820157,-0.00026100254,June,1,1,7,3,Returning_Visitor,True,True
0.018487342,0.29849955,-0.0019698958,-0.30341917,8.16641,329.3966,0.0998376,0.109237336,0.04320737,5.15605e-05,Nov,3,12,1,1,Returning_Visitor,False,True
2.0026662,56.69818,-0.00477644,-0.41200835,1.6650968,25.532543,-0.00026116738,0.05959917,0.01575967,-0.0003008557,Dec,1,2,9,3,Returning_Visitor,True,True
