Administrative,Administrative_Duration,Informational,Informational_Duration,ProductRelated,ProductRelated_Duration,BounceRates,ExitRates,PageValues,SpecialDay,Month,OperatingSystems,Browser,Region,TrafficType,VisitorType,Weekend,Revenue
14.003295,958.7473,4.8307686,819.5524,464.92447,20362.643,0.005706982,0.017937254,2.4759865,0.06833869,June,2,2,1,13,Returning_Visitor,False,False
1.8134564,34.91375,0.1543821,3.6570702,50.554806,1911.1272,0.011208688,0.030912496,3.7310655,-0.0010275407,Nov,2,2,1,1,Returning_Visitor,False,False
1.6423756,61.041718,0.13589682,6.256773,30.204664,1164.8173,0.015105182,0.035931677,3.508815,-0.0020214852,Dec,2,2,1,1,Returning_Visitor,False,False
1.3244699,53.36829,0.05856929,2.531849,21.56651,694.151,0.017236605,0.038068905,0.5748221,0.062374182,May,1,8,1,2,Returning_Visitor,False,False
8.127472,228.3955,1.7520534,111.210266,152.31664,6923.965,0.009360655,0.021695282,4.2904615,0.08242979,Dec,2,2,1,1,Returning_Visitor,False,False
1.2133121,20.537674,0.1433963,9.445679,22.523893,621.70715,0.018845186,0.043598235,1.82184,0.16741626,May,2,2,1,3,Returning_Visitor,False,False
7.9677033,191.65117,4.233356,318.59247,120.98492,5050.8984,0.005974471,0.018221296,5.859488,0.0138519695,Nov,2,2,1,2,Returning_Visitor,False,False
8.5704155,1088.1614,0.80938905,33.403187,41.34791,1899.9258,0.01188009,0.020004377,4.4675946,0.034698054,Sep,3,2,1,4,Returning_Visitor,False,False
2.0349894,81.56496,0.20248683,10.961164,19.340282,654.2753,0.008731023,0.029280253,3.0903258,0.040975604,Dec,1,1,3,2,Returning_Visitor,False,False
3.0429034,81.30034,0.5182382,25.924221,37.33387,1160.5419,0.013601503,0.031248333,3.287662,-0.0032627073,Aug,2,2,1,1,Returning_Visitor,False,False
2.0699334,58.18893,0.30209172,22.151426,25.983343,938.1673,0.0047801747,0.022781113,3.2440405,0.0031286057,Nov,2,2,3,2,Returning_Visitor,False,False
1.674711,57.070717,0.3398391,25.150415,34.60036,1227.71,0.016565874,0.039058063,2.1767237,0.17739514,May,2,2,1,6,Returning_Visitor,False,False
1.0003448,22.66566,0.12551571,8.504133,23.65219,1018.568,0.010179205,0.03480259,1.6403301,0.002744342,Nov,2,2,3,1,Returning_Visitor,False,False
1.0741565,23.52068,0.13347553,7.6516075,22.826498,801.59454,0.026367461,0.0479877,1.6205385,0.052041404,Nov,3,2,4,13,Returning_Visitor,False,False
1.4276204,43.865986,0.16794996,10.623375,24.410774,884.7066,0.0073054195,0.026766667,1.6263187,0.07368286,Dec,2,2,3,2,Returning_Visitor,False,False
1.806372,52.67004,0.16350718,9.165009,20.369286,669.80566,0.009473109,0.031734023,1.8049018,-0.0011772601,Mar,1,1,1,3,Returning_Visitor,False,False
1.1045842,24.758492,0.16779526,5.7837696,22.181904,703.4051,0.012468771,0.036248095,2.4980428,0.16872793,May,2,2,1,4,Returning_Visitor,False,False
0.9091387,12.540351,0.1403792,4.168663,28.497719,975.01935,0.0070955795,0.03143042,2.524838,0.059522413,May,4,1,1,4,Returning_Visitor,False,False
0.9619639,26.516003,0.03779743,3.8016014,20.053835,674.75885,0.00974289,0.035480026,0.8837287,0.0029921595,Mar,2,2,9,3,Returning_Visitor,False,False
0.8504745,21.615196,0.16586284,5.2613945,20.91776,796.6374,0.009070805,0.038427968,1.3003337,0.007269977,Mar,2,4,1,1,Returning_Visitor,False,False
2.4965856,76.95502,0.61510694,61.184887,25.593916,983.2502,0.0068970216,0.022325924,2.8637338,-0.00052691746,Mar,2,2,1,8,Returning_Visitor,False,False
0.04049147,-1.2831349,-0.029044531,-0.2874089,6.3006024,148.22823,0.16260739,0.17118834,0.6494567,0.13505304,May,3,2,1,13,Returning_Visitor,False,False
0.0073450874,1.1166759,-0.018396817,-1.4770147,3.626202,48.266552,0.18981197,0.18974543,0.38892767,0.04998921,May,2,2,9,1,Returning_Visitor,False,False
0.98645854,41.218777,0.10036672,6.7553387,25.813334,972.0357,0.024858108,0.04901626,2.8309717,0.12764741,Nov,3,2,1,13,Returning_Visitor,False,False
1.2823042,20.00047,0.18218754,14.162338,31.92824,1147.1471,0.011519831,0.036142863,2.3519115,0.106984146,May,2,5,3,4,Returning_Visitor,False,False
1.4417609,43.48105,0.2049659,21.265223,33.281002,1181.2814,0.018585261,0.03760293,2.7038,0.074040025,Nov,2,6,1,1,Returning_Visitor,False,False
2.1590853,59.65754,0.21456487,19.558754,23.615349,838.52185,0.006206488,0.027343834,2.995871,0.055506468,Dec,2,2,1,2,Returning_Visitor,False,False
0.9019077,38.698936,0.19928496,14.12631,17.614237,745.6042,0.009490102,0.034741662,1.7658432,0.0014026786,Mar,2,2,1,10,Returning_Visitor,False,False
