Administrative,Administrative_Duration,Informational,Informational_Duration,ProductRelated,ProductRelated_Duration,BounceRates,ExitRates,PageValues,SpecialDay,Month,OperatingSystems,Browser,Region,TrafficType,VisitorType,Weekend,Revenue
6.9821296,164.4314,0.003739365,0.56452364,73.07745,3022.6292,0.0028011797,0.02634518,4.2973523,-0.0002699805,May,2,2,5,1,Returning_Visitor,False,False
16.973585,2625.1885,23.97698,2046.447,705.8787,43145.08,0.005166584,0.016661366,2.9913723,0.002446151,May,2,2,1,14,Returning_Visitor,True,False
9.924253,2415.4688,2.9862823,434.838,486.39072,23334.387,0.00066551904,0.01159476,-0.08236436,0.0009482267,Jul,2,2,1,3,Returning_Visitor,False,False
8.002084,114.03812,9.062558,2232.0552,20.434595,1165.7251,0.009964118,0.01161383,-0.06622819,-0.0007463259,Jul,3,2,4,2,Returning_Visitor,True,False
7.268529,2709.2742,3.0220957,345.71307,67.81765,5934.0635,0.03417106,0.038521424,-0.32723644,3.952036e-05,Jul,3,2,1,13,Returning_Visitor,False,False
15.083281,2656.4082,13.069487,1965.5757,342.7083,29634.5,0.0050420496,0.029834742,0.42616722,-0.0017111091,Dec,2,2,1,2,Returning_Visitor,False,False
11.907255,243.76794,4.0445156,1518.948,438.61453,22143.766,0.0047048214,0.012342487,11.466585,-0.00029444075,Sep,2,2,1,13,Returning_Visitor,False,False
7.9526377,158.47783,-0.0061941366,1.2687739,514.1622,12001.554,0.00024094213,0.0038668688,-0.012949742,0.0009730707,Oct,4,2,9,2,Returning_Visitor,False,False
4.001037,154.23007,0.0151225105,-0.06286819,61.65084,4415.056,0.00037518112,0.0013879116,247.76678,0.00012331331,Oct,4,1,8,2,New_Visitor,False,False
-0.007802122,-2.3344045,15.818126,1204.9218,7.216454,192.23152,0.0034600978,0.012946081,0.35465738,-0.000836083,Mar,2,2,1,8,Returning_Visitor,False,False
27.022593,856.07404,2.0313895,137.2431,586.6804,24973.088,0.003032224,0.00957265,4.658748,0.00053778914,Nov,2,4,3,8,Returning_Visitor,False,False
21.905388,1167.456,2.98646,105.352104,207.74355,4264.7686,0.002109287,0.009538534,176.8783,0.0011830764,Nov,2,5,3,3,Returning_Visitor,True,False
7.9458895,296.6642,8.020127,181.65291,156.91472,16037.163,0.007392,0.027663577,2.1211283,-0.00083211187,June,2,2,1,5,Returning_Visitor,True,False
-0.02073156,1.3473659,-0.0006040555,-0.4352246,1.4845319,-2.1154058,0.19888128,0.19945191,-0.022405423,0.99530226,May,4,1,2,3,Returning_Visitor,True,False
16.722641,594.8625,4.0129533,1355.6506,157.54422,5701.974,0.0029540432,0.013855939,2.6582808,0.8014184,May,2,2,1,13,Returning_Visitor,False,False
4.984193,1656.5759,0.01202292,0.64942354,15.139706,456.3761,0.00026316164,0.0061990796,-0.048083104,-0.00029854974,Dec,8,13,9,20,Other,False,False
-0.019164674,-1.1202703,4.0106564,225.72562,222.29195,9609.12,0.053499557,0.066996045,-0.103109635,-0.00045822686,June,8,13,9,5,Other,False,False
10.028459,300.1149,11.866659,294.5493,34.467087,1463.5157,0.007138412,0.023199013,13.748818,-0.0003892792,Dec,3,2,1,2,Returning_Visitor,True,False
0.023068793,-1.0247121,1.0063536,1212.1316,28.462929,2405.6514,0.016869716,0.031099008,-0.10966424,-0.00020166984,Mar,2,2,1,3,Returning_Visitor,True,False
-0.0015889334,-0.7842794,-0.0017564517,-0.5368367,1.0757985,9.53413,0.19947468,0.20012632,-0.04625062,-0.0004500573,June,2,4,3,4,New_Visitor,False,False
2.012569,13.288405,0.0013651926,0.05946152,53.28405,2014.9551,0.0033567788,0.03640803,8.071956,-0.00038794926,June,2,2,3,3,Returning_Visitor,False,True
20.073177,1304.7505,3.039212,145.64612,515.16785,27112.951,0.005564367,0.014702202,8.429303,-6.294375e-05,Nov,1,1,1,2,Returning_Visitor,False,True
-0.0013037848,1.142097,0.0030778726,0.7473659,43.684723,774.8129,0.00038960172,0.0052133007,359.9243,0.00020297119,Dec,8,13,9,20,Other,False,True
11.157011,2059.4622,8.993231,1139.8391,45.17759,3579.12,0.002934355,0.014691948,7.686253,-0.00015409788,Mar,2,2,1,2,Returning_Visitor,False,True
5.032413,610.407,-0.0041636447,1.0638827,468.61414,13946.539,0.00027861787,0.003527819,13.466487,0.0009081128,Nov,4,2,9,2,Returning_Visitor,True,True
3.0375662,42.533035,4.0085325,1644.4219,49.61061,5001.993,0.00956737,0.0291325,5.9714484,0.8240132,May,2,2,2,4,Returning_Visitor,False,True
8.092731,1601.7455,1.9761574,145.58954,14.12826,1713.5132,-3.650073e-05,0.03196128,-0.065008916,3.2297023e-05,Nov,4,1,3,8,New_Visitor,False,True
6.077849,109.449554,8.999297,354.31027,119.67695,6242.4624,0.0022505631,0.011666632,32.235847,-0.0005444673,Dec,3,2,1,2,Returning_Visitor,True,True
4.9847426,61.26114,-0.0019055825,0.40886873,5.322394,46.64741,0.0001964454,0.024770672,-0.031628408,-0.00031619644,Dec,8,13,9,20,Other,True,True
1.9847151,78.654915,0.008288898,0.318098,31.678835,1236.4131,0.0002882049,0.0107717505,215.14494,0.000107588865,May,3,2,4,2,Returning_Visitor,False,True
-0.02628886,1.2929606,-0.0022093873,-0.40526778,13.089474,487.59564,-0.00028230096,0.0037119898,11.818766,1.0036042,May,1,8,1,11,New_Visitor,True,True
13.998835,418.38696,5.9865146,447.2704,260.72342,11385.789,-0.00014105473,0.007429297,33.5848,5.4127224e-05,Mar,2,4,9,2,Returning_Visitor,False,True
9.988605,253.83894,2.0022588,508.4887,13.772619,306.52478,8.092601e-05,0.021434376,29.627756,-1.9596271e-05,May,2,4,4,2,Returning_Visitor,False,True
26.078587,1571.1776,9.1013365,501.21933,181.41766,9820.18,0.011300886,0.014415833,19.709427,0.0003186638,Nov,3,2,2,13,Returning_Visitor,False,True
12.135973,506.41122,2.003718,1675.0979,247.84901,8880.037,0.014941403,0.02866538,1.5450389,0.00012062738,Jul,2,2,1,1,Returning_Visitor,False,True
4.0000377,1665.6276,0.019162275,-0.11554153,2.259852,82.72945,0.0002790351,0.01713257,114.65972,2.538661e-05,Sep,2,10,1,2,Returning_Visitor,False,True
-0.013812892,0.2290797,0.006751098,0.155672,12.640461,525.6371,-2.128478e-05,0.016919643,45.65132,-8.023282e-05,Nov,2,4,9,8,New_Visitor,True,True
7.0155325,72.62029,1.0015858,0.1656131,307.91693,7692.9277,5.2000993e-05,0.0071705794,-0.027875222,-9.53128e-05,Jul,4,1,1,4,Returning_Visitor,False,True
7.968946,101.385315,0.0024728556,-0.048891142,83.209755,1501.8715,4.6645888e-05,0.0023648504,81.70538,5.64071e-05,May,4,1,7,4,New_Visitor,True,True
13.987849,513.43713,0.003341355,0.65866655,170.34348,7106.031,0.0034114101,0.016318077,4.5192995,-5.8715545e-05,Nov,2,2,7,1,Returning_Visitor,True,True
