Administrative,Administrative_Duration,Informational,Informational_Duration,ProductRelated,ProductRelated_Duration,BounceRates,ExitRates,PageValues,SpecialDay,Month,OperatingSystems,Browser,Region,TrafficType,VisitorType,Weekend,Revenue
0.5975739,9.420501,-0.0034814696,3.2673912,27.91182,936.8847,0.019939622,0.052115586,0.67834634,0.6439277,May,2,2,1,6,Returning_Visitor,False,False
2.4525075,55.690514,-0.010579012,7.2157154,17.682222,597.0988,0.00087237137,0.017933967,0.6485264,-0.00036278492,Nov,2,2,1,2,New_Visitor,False,False
2.2608225,49.671852,0.029508598,11.106211,15.972726,613.4484,0.0052703074,0.026062869,0.93333596,-0.0004024071,Nov,2,2,1,8,New_Visitor,False,False
0.0017129255,0.62725776,0.0006301183,-0.2739659,2.379784,52.68867,0.17857935,0.18811071,0.02698537,0.0035522718,May,2,2,6,1,Returning_Visitor,False,False
2.826551,66.86398,0.0041782935,7.3711033,23.10505,796.2716,0.0051499414,0.024212606,1.6435454,-0.00043383738,Sep,2,2,1,3,Returning_Visitor,False,False
1.5038004,32.880005,-0.005769692,2.4172745,26.529415,900.12164,0.015638886,0.042195816,1.444545,-0.00043304017,Aug,2,2,1,1,Returning_Visitor,False,False
0.74434507,10.885184,-0.00065251405,1.7250346,17.01088,689.6562,0.006263794,0.038318776,0.4080331,-0.00057394925,Mar,2,2,1,1,Returning_Visitor,False,False
6.3414073,149.704,1.1067398,53.315742,153.66936,5971.5337,0.0038589386,0.018081097,3.8979995,-0.00017526126,Nov,2,2,1,2,Returning_Visitor,False,False
1.5526007,31.419731,-0.0080558285,3.9732094,24.854988,964.6045,0.006713917,0.03176335,1.5129216,-0.00032332292,Dec,2,2,1,2,Returning_Visitor,False,False
1.3016875,31.981636,-0.01025667,5.7257156,17.72563,735.2688,0.008022813,0.0332728,0.3452861,-0.0003725042,Mar,1,1,1,2,Returning_Visitor,False,False
0.011459,0.71262306,0.00040904467,-0.32509047,2.1233258,28.440136,0.17973909,0.18837617,0.025675021,0.004496018,Mar,2,2,1,1,Returning_Visitor,False,False
1.594091,32.3731,-0.0018132549,6.4526176,25.369263,902.0027,0.0068185995,0.031563763,1.2535288,0.0032612632,May,2,2,4,4,Returning_Visitor,False,False
2.10326,49.274124,-0.0050952653,3.0852642,20.002493,768.6311,0.007304736,0.03459707,1.0871856,0.0021804112,May,2,2,1,6,Returning_Visitor,False,False
2.4614744,47.14393,0.5352547,44.623653,70.937,3324.9417,0.008323867,0.025491565,2.905406,0.00024692962,May,2,2,3,3,Returning_Visitor,False,False
0.81775963,19.782738,-0.00010388308,1.4684314,18.550846,651.71497,0.0124715315,0.041141406,0.32297394,-0.0004230713,Nov,1,1,1,2,Returning_Visitor,False,False
0.5718343,9.996863,-0.0033611278,5.2559814,22.005276,727.5447,0.01269577,0.04154249,0.27777454,0.60148776,May,2,2,1,3,Returning_Visitor,False,False
0.83004963,17.720928,-0.00047045166,1.8238086,15.446371,572.58636,0.010128519,0.041167963,0.41703293,0.00051674497,May,1,1,1,3,Returning_Visitor,False,False
1.2021736,27.668957,0.00049582904,2.1876125,15.752255,559.00916,0.010115772,0.03326096,0.54159564,-0.0005098966,Nov,2,2,1,11,Returning_Visitor,False,False
0.123124965,1.647491,0.0022000452,0.19575302,8.199661,147.9421,0.12708256,0.15234601,0.006565295,0.6655001,May,3,2,1,3,Returning_Visitor,False,False
1.0154741,26.021809,-0.007933937,4.5512466,17.018595,677.8046,0.01672838,0.04323559,0.5956618,7.24035e-05,Nov,3,2,1,3,Returning_Visitor,False,False
0.030619986,0.6876139,0.0014239926,0.59401506,3.27278,114.38313,0.15520227,0.16949242,0.03662225,0.0007919955,Nov,3,2,1,13,Returning_Visitor,False,False
5.931164,1201.8225,0.017285533,11.014189,31.74395,1820.6771,0.0055422257,0.022265488,2.4122844,0.00034032264,Mar,2,2,1,2,Returning_Visitor,False,False
3.0138352,71.35271,4.036281,1380.4875,41.26305,2102.9548,0.009371972,0.028706605,3.3388739,0.0016516583,Nov,2,2,1,2,Returning_Visitor,False,False
6.653271,217.75858,1.809449,119.84277,58.837566,2011.4888,0.009010337,0.026462404,4.096739,-0.0003842426,Aug,2,2,6,1,Returning_Visitor,False,False
0.54651487,9.770064,-0.0027103047,2.3149776,17.180828,635.66833,0.015155418,0.051367257,0.7627751,-3.352513e-05,Nov,2,2,1,1,Returning_Visitor,False,False
2.2145998,65.17246,-0.008001111,3.5660076,11.942274,398.50867,0.002065759,0.021307465,0.6769635,-0.000155588,Nov,1,1,1,2,New_Visitor,False,False
0.92596555,19.296474,0.04614795,13.705847,21.920412,914.7452,0.015055269,0.044291545,0.5028865,0.70663303,May,1,1,1,3,Returning_Visitor,False,False
1.8466582,34.678806,0.004956134,3.8035107,31.54015,1054.0985,0.008279619,0.037109695,1.4178851,0.000703192,June,2,2,3,3,Returning_Visitor,False,False
1.2102627,22.644989,-0.006608687,4.167179,21.62763,838.89795,0.0062370053,0.036010988,1.0307405,0.0007984179,May,2,2,2,2,Returning_Visitor,False,False
3.4049995,77.979614,0.44903302,32.847332,48.971554,1907.9263,0.004796363,0.020751823,3.54168,0.0003672118,May,2,4,1,3,Returning_Visitor,False,False
0.728469,14.508285,0.0006670136,0.14679901,14.0536175,508.55823,0.014253033,0.04424828,0.2026269,-0.00034058964,Mar,3,2,1,1,Returning_Visitor,True,False
1.122332,22.053753,-0.007001541,4.388653,18.021667,602.73456,0.009811462,0.037388086,0.5803954,0.005058261,Aug,1,1,1,3,Returning_Visitor,False,False
1.0346922,18.107903,0.0043282886,5.804144,35.51318,1429.7589,0.004472108,0.027390039,0.5939643,-0.00061105314,Nov,2,2,1,2,Returning_Visitor,True,False
1.6660347,41.36199,-0.0019859294,6.715206,21.626629,884.92065,0.008164788,0.033007715,0.5797512,0.00038401285,Mar,2,2,8,2,Returning_Visitor,False,False
0.7188053,16.55687,-0.0050456743,4.052973,19.411997,759.4646,0.0035387722,0.030467711,0.6535651,-0.000448746,Mar,2,2,1,10,Returning_Visitor,False,False
0.67067695,9.913482,-0.0019774656,2.984953,16.547642,648.611,0.009088107,0.039810184,0.53423136,0.0013720194,Mar,2,5,1,1,Returning_Visitor,False,False
0.77845097,15.677657,-0.0014394742,2.547327,17.927233,713.8621,0.0054062004,0.035878167,0.7502901,-0.0005539966,Mar,2,4,1,2,Returning_Visitor,False,False
6.3114047,167.92444,0.46962416,29.54263,36.243176,1465.192,0.006141569,0.021993002,15.272894,-0.00052078936,Nov,2,2,1,2,Returning_Visitor,False,False
5.8021393,204.20804,0.6234496,25.731762,58.153698,2081.1704,0.009486789,0.021548621,1.7616088,-9.356936e-05,Nov,3,2,1,1,Returning_Visitor,True,False
9.093616,514.23486,2.9924195,217.47847,89.65433,3572.3467,0.0062288134,0.018132776,4.0228477,0.000111258276,Nov,1,2,1,2,Returning_Visitor,False,False
3.4600966,103.80011,3.097916,160.99748,46.268208,1822.6504,0.0078961365,0.021367447,3.1865025,8.192534e-05,Nov,1,1,1,2,Returning_Visitor,False,False
1.0456,18.462414,-0.006202183,4.3176804,24.420519,822.84906,0.0036787463,0.026192235,1.5623014,-0.00035117692,Nov,4,1,1,3,Returning_Visitor,False,False
1.005781,24.606976,-0.0024607996,5.3245354,19.46154,752.58887,0.023451753,0.04547785,0.03835269,0.00052409497,Nov,3,2,2,13,Returning_Visitor,False,False
3.2384682,68.09124,3.1117003,237.38445,45.79608,1735.1287,0.0044752858,0.02240021,2.8423047,-0.00033544874,Mar,2,2,1,2,Returning_Visitor,False,False
1.0199413,18.16249,0.010693945,7.1093655,30.831793,1092.901,0.01931155,0.050456256,0.5186197,1.0005207,May,3,2,1,3,Returning_Visitor,True,False
1.5373832,32.677475,-0.0024840455,9.59688,21.213272,810.75867,0.0079420945,0.035897803,0.50916404,0.00021178523,Nov,2,10,1,3,Returning_Visitor,False,False
2.1578777,51.588768,0.055202253,8.28577,24.367477,913.6813,0.005554709,0.02919899,1.2721388,-0.00028278804,Nov,1,1,1,10,Returning_Visitor,False,False
5.7032804,137.13818,0.33669513,21.603096,76.014305,2840.968,0.0078271935,0.023069376,3.5319304,0.6706122,May,2,2,1,4,Returning_Visitor,False,False
1.3656325,35.557896,-0.0045835595,4.6557617,17.137842,682.0151,0.014438475,0.03843229,0.31119272,-0.0003842128,Mar,3,2,4,2,Returning_Visitor,False,False
1.3055683,40.5611,0.00059864705,1.6179827,13.466305,510.59515,0.005763329,0.032663167,0.37892792,0.002246617,Nov,1,8,4,11,Returning_Visitor,False,False
0.7267096,13.48706,-0.0021008472,2.3049698,15.927317,636.7937,0.011570659,0.048398964,0.94276017,-0.00019249818,Mar,2,2,4,1,Returning_Visitor,False,False
15.377747,1115.3594,4.4312873,653.2718,494.10092,22641.309,0.006979991,0.02033775,3.300574,9.069095e-05,Sep,2,2,1,3,Returning_Visitor,False,False
0.3294294,3.6303248,0.00019822306,-0.11712463,11.396282,501.4629,0.0063756197,0.041372817,0.4978015,0.25050947,Feb,2,2,1,3,Returning_Visitor,False,False
2.1179078,52.5009,-0.004589639,6.7218285,23.504417,858.7024,0.0076292423,0.023651851,3.122091,0.0032667022,May,1,1,6,4,Returning_Visitor,False,False
5.270028,197.56206,0.23845966,15.739189,32.441307,1259.9983,0.0073708245,0.02313083,2.9321325,0.00072168064,Nov,1,1,6,2,Returning_Visitor,False,False
16.083237,2643.247,18.758965,1999.898,559.5501,36426.113,0.004967164,0.021815965,-0.17528991,0.0008843864,May,2,2,1,11,Returning_Visitor,True,False
1.6910511,53.239216,-0.0018695217,3.3192482,16.072823,671.48035,0.011431791,0.03873277,1.0723484,-0.00026474273,Nov,1,1,8,2,Returning_Visitor,False,False
1.1209688,28.941612,7.665939e-05,4.631775,18.74994,733.11725,0.012397711,0.038185082,0.93661755,0.0017463589,Nov,3,2,1,10,Returning_Visitor,False,False
