Administrative,Administrative_Duration,Informational,Informational_Duration,ProductRelated,ProductRelated_Duration,BounceRates,ExitRates,PageValues,SpecialDay,Month,OperatingSystems,Browser,Region,TrafficType,VisitorType,Weekend,Revenue
1.4190769,48.424694,0.08210159,5.0825615,22.627716,687.62164,0.0076723476,0.026435416,0.8231012,0.0003571982,Mar,1,1,1,2,Returning_Visitor,True,False
1.8318092,46.087242,0.10889221,5.7484837,30.08597,988.55835,0.005575947,0.027979536,1.6436207,-0.00018371022,Nov,2,2,1,2,Returning_Visitor,False,False
8.163236,327.27887,1.7573957,76.614204,76.86677,2891.0454,0.00907363,0.021952335,4.5652094,-0.0007151452,Nov,3,2,1,2,Returning_Visitor,False,False
1.0601209,31.222382,0.06448702,4.1167717,15.393599,580.0955,0.016062137,0.040842973,1.5423439,0.0005636836,Mar,3,2,1,1,Returning_Visitor,False,False
1.8706114,44.53316,0.14807798,10.573395,22.924015,754.0065,0.002505427,0.02441364,1.1206038,-8.54296e-05,Mar,2,2,3,2,Returning_Visitor,True,False
0.9194797,29.665657,0.12684222,5.19952,24.241154,747.82556,0.014749484,0.042473134,0.52362937,0.76098484,May,2,2,1,4,Returning_Visitor,False,False
0.86283445,30.4855,0.08219657,7.0922356,20.682335,720.6492,0.011218852,0.0400866,1.1008122,0.19142447,May,2,2,3,1,Returning_Visitor,False,False
1.3327011,33.537804,0.111882396,6.6946583,18.794565,674.037,0.0048001814,0.03232478,1.5010121,0.00090678287,Nov,2,4,1,2,Returning_Visitor,False,False
4.2182627,129.2859,0.34345427,24.552372,35.470657,1286.794,0.0051650363,0.021837723,5.2245545,0.0020809907,May,2,2,1,2,Returning_Visitor,True,False
0.5452579,15.409324,0.050596632,8.274328,16.361998,468.28387,0.014558576,0.048161678,0.74081486,0.38162598,May,2,2,1,3,Returning_Visitor,False,False
3.5694766,89.03062,2.726411,567.66534,41.87217,1679.1179,0.007446054,0.022997474,3.2952898,-0.0012120841,Nov,2,2,1,2,Returning_Visitor,False,False
0.03633631,1.1889644,0.001899578,0.91123,1.7949147,21.642406,0.19596924,0.19760399,0.059606753,0.0031929712,Mar,2,2,1,1,Returning_Visitor,False,False
1.4343705,42.58826,0.15730514,14.351051,23.633297,805.20917,0.014626951,0.040920027,1.4440186,0.07660841,May,2,2,3,6,Returning_Visitor,False,False
7.739205,171.68716,0.67027414,23.674652,146.78845,6109.474,0.005735816,0.020853499,5.054556,0.03809915,May,2,2,1,1,Returning_Visitor,False,False
1.6362139,47.0969,0.09880269,3.9866695,22.232782,716.59436,0.00887515,0.036206137,1.7830427,0.012612301,May,2,2,4,2,Returning_Visitor,False,False
2.3527484,85.16222,0.14313455,5.8656425,17.416367,525.2071,0.007725336,0.028314017,1.2381318,0.00015739599,Nov,1,1,3,8,Returning_Visitor,False,False
9.381782,307.27454,3.4460895,168.90129,321.64612,12555.242,0.006890625,0.020805096,2.5312774,-0.002412298,Nov,2,2,1,3,Returning_Visitor,False,False
3.2605345,111.44523,0.20523356,17.233341,21.373251,631.6067,0.0049105524,0.02370691,2.2253308,0.00021953756,Sep,2,2,1,2,Returning_Visitor,False,False
1.2391516,28.05169,0.08040283,6.9069576,15.9114485,532.6207,0.0050872727,0.03256075,0.37127134,0.0007665145,Mar,2,2,1,2,Returning_Visitor,False,False
0.023344167,2.6757503,0.026495583,1.3150119,6.5534825,76.19771,0.15715611,0.16695873,0.065864764,0.5775575,May,3,2,1,3,Returning_Visitor,False,False
1.0665679,28.932507,0.09880269,10.5686245,21.283876,713.0645,0.009587045,0.04091503,1.1289637,-0.0001755034,Mar,2,2,1,1,Returning_Visitor,False,False
0.5521983,18.426975,0.073175676,7.33239,18.77614,562.134,0.009102574,0.037542142,0.58336276,0.00017326573,Nov,1,1,4,2,Returning_Visitor,False,False
1.7617486,59.799465,0.06642548,2.1042957,13.954222,418.72168,0.0022172944,0.019437475,0.5990383,0.0010037223,Dec,3,2,1,2,New_Visitor,False,False
0.034212716,0.6913218,0.006117054,0.6616687,2.418345,9.817333,0.18855456,0.1912573,-0.048436917,-0.00035991272,Nov,1,1,1,3,Returning_Visitor,False,False
1.8266889,46.214165,0.21726291,14.839468,23.06721,719.94464,0.004144789,0.02360398,1.0646236,0.00015423694,Nov,2,2,3,2,New_Visitor,True,False
2.8455205,74.48436,0.11192066,9.692537,19.87413,613.3299,0.001399839,0.017731072,0.77783555,0.0003197963,Nov,2,2,3,2,New_Visitor,False,False
1.3761941,37.052746,0.06149549,7.871546,22.34082,837.7708,0.019273965,0.04569588,0.62392825,0.10999128,May,2,5,1,1,Returning_Visitor,False,False
1.5735742,40.724346,0.12220723,6.144026,27.885944,924.92755,0.010253574,0.03424283,1.6280601,-0.00038694715,Nov,2,2,1,1,Returning_Visitor,False,False
5.1109223,139.95409,0.42215607,24.28643,43.95831,1638.4183,0.0065988046,0.023637433,3.01892,-0.00014185286,Dec,2,2,4,1,Returning_Visitor,False,False
1.1599962,44.751427,0.073673196,6.7502003,15.551067,578.57367,0.0118135335,0.04413428,0.599158,6.867448e-05,Mar,1,1,1,1,Returning_Visitor,False,False
1.6280092,60.375397,0.08383683,5.422695,19.345362,580.78204,0.008215753,0.030002587,1.0874379,0.009567629,May,1,1,1,4,Returning_Visitor,False,False
5.379113,194.05284,8.517232,942.0157,163.05511,7667.2544,0.004779631,0.019619973,3.504084,0.005314781,Nov,2,2,1,2,Returning_Visitor,False,False
9.52846,338.9568,1.8587502,85.15492,69.96513,2659.6277,0.0050252075,0.017697807,6.068977,-0.00084293756,Nov,1,1,1,2,Returning_Visitor,False,False
