Administrative,Administrative_Duration,Informational,Informational_Duration,ProductRelated,ProductRelated_Duration,BounceRates,ExitRates,PageValues,SpecialDay,Month,OperatingSystems,Browser,Region,TrafficType,VisitorType,Weekend,Revenue
2.645381,88.0513,0.44528297,15.969753,34.75953,1340.3445,0.01619835,0.028564638,2.275549,0.037710033,May,2,5,1,2,Returning_Visitor,True,False
1.5592941,30.38823,0.18838488,14.313456,23.680756,735.74695,0.042796988,0.056205224,0.8186533,0.16249782,May,2,2,8,3,Returning_Visitor,False,False
2.241568,61.966106,0.1249252,2.2439384,17.358198,604.13965,0.01022715,0.024147475,0.6433527,-0.0009960172,Dec,2,2,1,2,New_Visitor,False,False
2.3725488,91.52574,0.42841253,24.289616,22.672022,814.2951,0.011248406,0.026016805,2.3466694,2.5185444e-05,Dec,1,1,3,2,Returning_Visitor,False,False
1.8499542,70.77344,0.21806134,0.7484035,23.1577,827.4415,0.06683526,0.07078287,1.5047829,0.0031201157,Dec,3,2,1,1,Returning_Visitor,False,False
1.7299266,61.213062,0.35491687,3.4145222,21.318848,823.54504,0.029935474,0.043616172,1.0624459,0.17011441,May,1,1,1,1,Returning_Visitor,False,False
2.559418,82.439926,0.5457616,79.17081,51.624775,2216.2822,0.011418652,0.029617574,2.4035835,0.0017649332,Nov,2,2,1,2,Returning_Visitor,False,False
2.770525,92.564804,0.5153814,17.87336,23.622696,904.3931,0.015942594,0.028751507,2.4129748,-0.001816058,Dec,1,1,1,2,Returning_Visitor,False,False
1.5617548,41.56154,0.1488672,4.530979,27.140717,1031.1204,0.034392532,0.05266781,0.4565718,0.012843351,Mar,2,2,8,1,Returning_Visitor,False,False
2.664098,75.90283,0.26784185,2.9410515,30.310007,1160.934,0.02338838,0.033772007,1.4902756,0.037465535,May,2,2,2,2,Returning_Visitor,True,False
0.23673546,5.0577846,0.011105247,-2.6904736,5.5713677,165.6833,0.1537521,0.16539723,0.25389358,0.14536506,May,3,2,1,13,Returning_Visitor,False,False
1.6687142,60.2999,0.2430331,1.958681,18.033642,658.9552,0.044569936,0.05195917,1.0747674,0.107420474,May,1,1,8,3,Returning_Visitor,True,False
1.346852,42.30906,0.13724037,-0.88402754,16.896078,630.97003,0.059257828,0.068979375,0.5579106,0.0005670103,Mar,3,2,4,1,Returning_Visitor,False,False
1.9026363,53.720947,0.14357759,-8.008604,28.58232,1039.955,0.049533967,0.05761836,0.51270694,0.014815371,Dec,3,2,1,3,Returning_Visitor,False,False
2.4831355,69.562805,0.27011314,-1.0031377,40.13213,1415.5951,0.02374288,0.039905116,2.2245033,-0.002043308,Dec,2,2,8,1,Returning_Visitor,False,False
1.8184739,74.99397,0.09420959,-0.77854353,15.838669,550.47186,0.039791066,0.048482496,0.6986558,0.025173703,Mar,1,1,8,1,Returning_Visitor,False,False
1.346928,46.533222,0.105066426,3.9644032,27.220976,889.8824,0.036851,0.048108615,1.0285013,0.19022864,May,2,4,1,3,Returning_Visitor,False,False
2.3252106,82.90349,0.43424833,24.657104,24.170374,1025.1808,0.013902973,0.028934024,1.5077217,0.003991662,Mar,2,2,1,2,Returning_Visitor,False,False
1.9513106,44.64904,0.3603468,15.427511,29.661211,995.33777,0.021800645,0.034762584,1.706753,0.183845,May,2,2,1,4,Returning_Visitor,False,False
1.5745196,45.42639,0.12476856,-7.1617565,18.094103,590.68054,0.07130793,0.077131145,0.8964302,0.22864963,May,3,2,1,3,Returning_Visitor,False,False
1.9439571,66.224174,0.42256555,17.55104,39.062565,1767.1008,0.03556612,0.05037798,1.2669828,0.055524945,Nov,2,2,1,1,Returning_Visitor,True,False
2.9326158,102.61348,0.59184426,57.621365,27.035816,1009.32245,0.029006934,0.03381637,1.2665846,0.026363852,Nov,3,2,3,2,Returning_Visitor,True,False
2.1418355,70.79663,0.27292216,30.956787,33.65046,1276.4042,0.022083856,0.037131783,1.8784335,0.18992154,May,2,2,8,2,Returning_Visitor,False,False
1.8760741,63.680305,0.29688713,-1.8356038,15.854174,602.28534,0.034866855,0.04712836,0.38288423,0.015624735,Mar,1,1,1,3,Returning_Visitor,False,False
2.5618477,92.32911,0.49808633,21.377953,28.226799,1131.4945,0.014268328,0.027362624,2.395688,0.0034492488,Dec,3,2,1,2,Returning_Visitor,False,False
1.7213725,74.65298,0.17960005,-4.957716,21.082577,740.3456,0.030000828,0.03601451,1.0162332,0.011703226,Mar,1,1,1,3,Returning_Visitor,True,False
2.6992888,111.2714,0.3867303,5.7592754,24.334726,874.1848,0.0290263,0.035638776,1.1721056,0.16933492,May,3,2,5,4,Returning_Visitor,True,False
1.7239497,48.643276,0.20787017,1.8403071,23.114958,849.7457,0.04203521,0.052589174,2.0238698,0.22601348,May,2,2,1,1,Returning_Visitor,False,False
1.7411056,46.54643,0.26000243,14.096703,22.483986,775.7791,0.024455968,0.04130463,0.8724696,0.03087679,Mar,2,4,1,3,Returning_Visitor,False,False
2.5372868,83.08476,0.5065261,46.87476,38.245842,1362.1139,0.01268941,0.026460214,2.0346773,-0.0004081962,Dec,2,2,5,2,Returning_Visitor,True,False
2.5164115,87.75898,0.28592595,22.48879,23.057446,858.23035,0.032771643,0.039764483,1.7166398,0.037456967,Nov,1,1,2,3,Returning_Visitor,False,False
1.8232827,65.16884,0.2526121,2.1241474,17.956335,667.8381,0.03667067,0.04388783,0.88128537,0.010752111,Mar,3,2,1,3,Returning_Visitor,False,False
1.7747257,61.36049,0.2265882,31.868183,34.8516,1299.4667,0.038831964,0.053611517,0.95245904,0.011879682,Dec,2,2,1,3,Returning_Visitor,False,False
1.438413,48.341312,0.12511908,4.0913525,24.782341,925.47797,0.040520597,0.055020012,0.40378258,0.015123381,Mar,2,4,1,1,Returning_Visitor,False,False
0.20215833,4.145103,0.032756276,-9.54167,2.0668912,-36.078907,0.17588572,0.17888995,0.3521349,0.014972898,Nov,1,1,1,1,Returning_Visitor,False,False
2.3288085,81.57567,0.2918183,20.167288,20.573593,724.8333,0.051088434,0.05364954,1.8744414,0.12786175,May,1,1,3,3,Returning_Visitor,False,False
2.3782334,90.986534,0.29578474,1.7860125,27.453905,1003.30597,0.02245999,0.033975042,1.0312097,0.21810985,May,3,2,1,2,Returning_Visitor,False,False
2.2290316,61.926884,0.44607323,42.049656,36.023888,1326.8252,0.015667733,0.027695546,0.7358758,0.01811563,Mar,2,2,1,2,Returning_Visitor,True,False
1.7905511,45.98092,0.2331598,9.597914,30.676847,1127.3196,0.044657394,0.05753857,0.84760636,-0.0010307295,Mar,2,2,1,1,Returning_Visitor,False,False
2.6058378,66.62549,0.42262545,14.611723,39.778053,1480.7192,0.013427098,0.027733952,2.0584078,0.00065001723,Dec,2,2,3,2,Returning_Visitor,False,False
2.5196497,88.89681,0.53780425,8.995508,28.508585,1072.9972,0.02597543,0.033669412,1.9650705,0.028588058,Nov,3,2,1,2,Returning_Visitor,True,False
1.5879096,71.13221,0.1088529,0.8059787,10.767788,557.49475,0.07008749,0.064546295,0.8771965,0.00078201917,Dec,8,13,9,20,Other,False,False
1.8901163,85.10474,0.12709035,8.432936,27.140854,1145.5665,0.020923821,0.03530367,0.8917834,0.12895013,May,2,5,2,3,Returning_Visitor,False,False
1.848916,37.164383,0.17517965,-11.126261,29.569632,1106.7125,0.021069549,0.034439627,1.5894196,0.043522127,May,4,1,1,1,Returning_Visitor,False,False
2.1817567,59.847256,0.30742487,22.146238,32.31769,1234.1735,0.027356239,0.037012152,2.492274,0.0024627435,Dec,2,2,2,2,Returning_Visitor,False,False
1.6312227,56.39591,0.23894237,-0.40842253,29.135742,1093.642,0.03765194,0.051404182,1.1074021,0.007828849,Dec,2,4,4,1,Returning_Visitor,False,False
4.1582985,123.72091,0.38565063,4.8420734,37.53021,1238.415,0.010267704,0.021234175,2.1775734,0.008805565,Oct,2,2,1,2,Returning_Visitor,False,False
1.8811326,57.955658,0.18632106,-1.0953923,18.764223,664.5967,0.035964865,0.04690133,1.5484998,0.0785935,May,1,1,1,3,Returning_Visitor,False,False
1.7955462,62.60437,0.20526801,3.397892,28.739271,1172.3074,0.036699157,0.05152121,0.96793145,0.10908709,May,2,2,8,1,Returning_Visitor,False,False
