fLength,fWidth,fSize,fConc,fConc1,fAsym,fM3Long,fM3Trans,fAlpha,fDist,class
23.288729,10.669174,2.4021375,0.5951941,0.34475946,4.011061,5.1866813,1.2809889,12.717697,186.86789,g
42.898247,22.633272,3.1059394,0.22904937,0.121289596,17.676424,28.465322,-12.287966,13.939564,123.91269,g
35.29444,15.329117,2.638179,0.3932915,0.21547383,-8.712413,-1.203598,-3.7974105,15.034962,212.64804,g
29.968235,13.2062435,2.5426805,0.46814048,0.2638462,12.999804,13.106554,-2.7113595,11.834858,170.2691,g
33.483673,15.390089,2.621788,0.42495775,0.23568425,5.8034797,12.868746,-1.910737,43.39919,216.85623,g
67.577484,20.987734,3.0668654,0.24854803,0.13303687,39.028706,56.22673,-10.689683,6.446106,252.08272,g
42.03041,20.051376,2.8420737,0.29653707,0.15841153,-0.15752363,6.741978,-2.5843387,59.988094,90.08539,g
21.99944,12.210624,2.4013314,0.58437264,0.33567417,-0.5620117,0.0566864,1.5132204,63.25298,166.626,g
27.81731,12.997157,2.5305274,0.48738337,0.27601674,5.5777965,9.483778,-1.2908809,12.72263,204.16408,g
85.96263,33.14149,3.580895,0.15796565,0.08525032,-43.448963,66.49039,19.946245,4.5312138,309.55325,g
76.56734,26.10859,3.310972,0.1882433,0.098831855,51.856895,65.40991,15.908515,6.6460667,254.62968,g
29.73681,15.858782,2.6339982,0.40210977,0.22049427,9.558041,12.352439,-3.9531708,25.770649,95.13053,g
45.83157,20.593054,2.971843,0.25701648,0.1376767,24.918911,23.680244,11.842886,8.511082,190.34033,g
93.82241,43.73001,3.921799,0.10283908,0.05092044,35.271175,79.42312,-25.365068,6.2441998,261.91797,g
74.57176,29.148218,3.1306767,0.2858222,0.16276339,-35.260315,-27.698462,-17.62765,9.644901,322.81622,g
68.37551,17.589909,2.853019,0.338716,0.19180116,-72.87749,46.424446,-8.374305,8.643448,278.70288,g
72.27979,29.668613,3.500776,0.15162888,0.078950584,43.538334,65.36541,16.726225,5.7273617,207.88766,g
71.9361,18.236523,2.8483257,0.31900477,0.17579505,53.582916,64.5928,-6.335001,8.927036,260.75018,g
27.503822,13.9719715,2.5456119,0.44540378,0.24621166,5.5508466,5.0557313,2.6196256,11.6417465,129.66782,g
80.99267,28.287981,3.256497,0.25027922,0.14154649,-5.963581,57.266693,17.760485,4.1094933,337.52094,g
77.8948,23.211891,3.2010307,0.22910725,0.12601031,-69.552,59.78363,-13.783533,6.912134,286.9145,g
92.86742,42.538948,3.923312,0.08697826,0.041225344,49.1326,83.653534,21.609179,5.8347874,253.22316,g
25.947416,11.978067,2.434707,0.5986273,0.34928167,2.0619783,5.6864095,-0.70373535,28.656973,212.56374,g
39.417854,19.819677,2.8426304,0.28541577,0.15226406,-6.3038435,-7.076809,10.946236,11.21059,202.57541,g
47.056835,19.195162,2.9791362,0.260484,0.13934687,17.808422,28.370155,-9.454343,9.724667,209.10059,g
