age,workclass,fnlwgt,education,education-num,marital-status,occupation,relationship,race,sex,capital-gain,capital-loss,hours-per-week,native-country,income
54.49296,Private,171441.0,HS-grad,8.409847,Married-civ-spouse,?,Husband,White,Male,47.1439,-1.4150294,39.738808,United-States,<=50K
26.829044,Private,186340.64,HS-grad,8.9609375,Never-married,Craft-repair,Other-relative,White,Male,66.27672,1.1354238,39.982937,United-States,<=50K
28.724466,Private,182109.69,Some-college,10.529334,Never-married,Other-service,Not-in-family,White,Male,95.641525,-0.148405,39.892014,United-States,<=50K
22.943602,Private,177062.72,HS-grad,8.738441,Never-married,Adm-clerical,Own-child,White,Female,24.204573,1.2520162,33.470985,United-States,<=50K
54.893143,Private,174364.31,9th,8.589849,Divorced,Sales,Not-in-family,White,Female,40.395123,-1.6740168,37.002213,United-States,<=50K
32.417747,Private,174551.1,Some-college,10.036356,Married-civ-spouse,?,Husband,White,Male,84.28233,-1.5704173,42.24349,United-States,<=50K
30.866503,Private,203972.11,HS-grad,9.348737,Never-married,Adm-clerical,Not-in-family,Black,Female,19.790266,-4.251417,36.850643,United-States,<=50K
63.436203,Local-gov,166526.62,HS-grad,8.639719,Widowed,Adm-clerical,Not-in-family,White,Female,157.9799,-8.92658,29.871864,United-States,<=50K
41.52695,Private,174124.69,HS-grad,8.879802,Divorced,Craft-repair,Not-in-family,White,Male,90.491196,-0.9861354,40.8903,United-States,<=50K
22.70366,Private,188859.7,9th,8.805667,Never-married,Handlers-cleaners,Other-relative,White,Male,-14.71596,-1.5910624,34.65289,United-States,<=50K
52.801556,Private,169897.78,Some-college,10.762822,Divorced,Armed-Forces,Not-in-family,White,Female,39.470196,-4.1698055,38.470432,United-States,<=50K
29.733524,Private,181561.75,HS-grad,8.723817,Never-married,?,Not-in-family,White,Male,47.36668,0.30974016,40.646152,United-States,<=50K
64.308235,?,172414.47,9th,8.809107,Married-civ-spouse,Other-service,Husband,White,Male,267.67087,-8.825087,32.428123,United-States,<=50K
31.617304,Private,184156.4,HS-grad,8.862063,Married-civ-spouse,Machine-op-inspct,Husband,White,Male,122.67357,-1.6082667,42.247833,United-States,<=50K
32.745243,Private,176395.9,Some-college,10.749746,Married-civ-spouse,Craft-repair,Husband,White,Male,115.1129,-0.81143755,42.928574,United-States,<=50K
53.100655,Private,165387.69,Bachelors,10.715217,Married-civ-spouse,Craft-repair,Husband,White,Male,103.30284,-1.6224116,40.550194,United-States,<=50K
21.281664,?,182113.42,Some-college,9.279998,Never-married,?,Other-relative,White,Male,54.839092,-9.540113,32.889412,United-States,<=50K
28.442892,Private,178602.02,Assoc-acdm,10.637532,Never-married,Adm-clerical,Not-in-family,White,Female,-11.363787,-2.6864376,37.757298,United-States,<=50K
36.093304,Private,171359.39,Some-college,10.421677,Married-civ-spouse,Sales,Husband,White,Male,135.0432,-0.784872,41.63589,United-States,<=50K
23.255384,Private,187486.19,9th,9.468318,Never-married,Sales,Own-child,White,Male,8.487165,-2.9765759,36.522682,United-States,<=50K
25.804386,Private,182597.8,Bachelors,11.737489,Never-married,Prof-specialty,Not-in-family,White,Male,37.20689,2.6271992,38.204258,United-States,<=50K
40.064014,Private,189523.03,Doctorate,12.185679,Never-married,Prof-specialty,Not-in-family,White,Male,74.54216,1.2827855,40.216423,United-States,<=50K
31.922497,Private,180005.73,9th,10.107351,Married-civ-spouse,Armed-Forces,Husband,White,Male,49.785015,1796.6941,39.77802,United-States,<=50K
30.651785,Private,167369.94,9th,9.731716,Married-civ-spouse,Adm-clerical,Wife,White,Female,159.03136,2.4406605,35.702454,United-States,<=50K
28.177841,Private,198630.53,9th,9.222628,Never-married,Sales,Not-in-family,Black,Female,-29.462908,-33.350933,36.06672,United-States,<=50K
27.49258,Private,224981.16,HS-grad,8.93132,Never-married,Machine-op-inspct,Not-in-family,Black,Male,2.678327,-3.9245815,38.32981,United-States,<=50K
29.883444,Private,177339.97,Some-college,11.366587,Never-married,Exec-managerial,Not-in-family,White,Female,71.77989,-2.121069,39.69411,United-States,<=50K
29.185736,Private,200158.19,Some-college,10.958681,Never-married,Adm-clerical,Not-in-family,Black,Female,-28.742083,-9.095823,37.68884,United-States,<=50K
54.252922,Private,169877.8,HS-grad,9.105486,Married-civ-spouse,Craft-repair,Husband,White,Male,109.91893,-1.2433985,39.989094,United-States,<=50K
53.7324,Private,182621.98,9th,8.759063,Divorced,Adm-clerical,Not-in-family,Black,Female,46.472027,-4.5834103,37.2125,United-States,<=50K
52.189964,Private,174808.23,Bachelors,10.927257,Divorced,Craft-repair,Not-in-family,White,Male,81.67241,-1.588003,39.908596,United-States,<=50K
22.052437,Private,180177.08,Some-college,9.707375,Never-married,Sales,Other-relative,White,Female,21.279158,-11.147238,31.27491,United-States,<=50K
28.652735,Private,185266.72,Some-college,10.86691,Never-married,Exec-managerial,Not-in-family,White,Male,55.202618,0.11975296,40.206974,United-States,<=50K
54.30246,Private,172244.17,HS-grad,8.535657,Married-civ-spouse,Sales,Husband,White,Male,94.98216,-2.3896084,40.198273,United-States,<=50K
21.931107,Private,173713.98,Some-college,10.375841,Never-married,Adm-clerical,Own-child,White,Female,12.79991,0.56986433,29.885708,United-States,<=50K
43.423424,Self-emp-not-inc,161566.58,HS-grad,8.899065,Married-civ-spouse,Craft-repair,Husband,White,Male,107.14244,-1.1138057,43.736816,United-States,<=50K
41.191483,Private,207568.9,9th,9.45803,Married-civ-spouse,Armed-Forces,Husband,Black,Male,15.342146,-1.7588786,39.872627,United-States,<=50K
31.7792,Private,182569.23,HS-grad,8.94745,Divorced,Sales,Not-in-family,White,Female,36.839703,-1.5564708,39.613613,United-States,<=50K
33.221222,Private,188716.86,9th,9.630678,Married-spouse-absent,Armed-Forces,Not-in-family,White,Male,1.3881661,-2.9828777,38.36498,United-States,<=50K
28.336468,Private,187522.6,Some-college,10.09006,Never-married,Sales,Not-in-family,White,Male,101.33452,-1.7728251,41.205425,United-States,<=50K
52.691956,Private,171439.86,HS-grad,8.80247,Divorced,Sales,Not-in-family,White,Male,64.19701,0.6988774,39.578896,United-States,<=50K
33.60332,Private,172154.67,Some-college,10.412436,Divorced,Adm-clerical,Not-in-family,White,Female,120.95824,-0.8167934,38.53816,United-States,<=50K
31.939665,Private,258026.73,Assoc-voc,5.8463483,Married-civ-spouse,Armed-Forces,Husband,White,Male,73.75627,-14.214125,39.813793,Mexico,<=50K
26.07206,Private,255516.55,HS-grad,7.110703,Never-married,Machine-op-inspct,Not-in-family,White,Male,-39.391132,-4.728483,38.178387,Mexico,<=50K
31.111134,Private,179730.64,HS-grad,9.547956,Never-married,Adm-clerical,Not-in-family,White,Female,69.500595,0.91868025,38.44797,United-States,<=50K
27.403336,Private,173142.84,Bachelors,11.312587,Never-married,Adm-clerical,Not-in-family,White,Female,98.15434,1.6275884,37.380264,United-States,<=50K
21.926867,Private,188279.05,9th,9.137185,Never-married,Other-service,Own-child,White,Male,5.9450507,-2.787733,31.999739,United-States,<=50K
32.66504,Private,180789.92,HS-grad,9.296284,Married-civ-spouse,Craft-repair,Husband,White,Male,88.63603,0.16677292,42.316757,United-States,<=50K
51.788864,Private,168472.75,HS-grad,10.086087,Divorced,Adm-clerical,Not-in-family,White,Female,52.24168,-3.2156734,39.43445,United-States,<=50K
26.828966,Private,220111.47,Some-college,10.463583,Never-married,Armed-Forces,Not-in-family,Black,Male,3.8545966,-0.876234,37.38285,United-States,<=50K
43.728848,?,161893.28,Bachelors,11.3699465,Married-civ-spouse,Adm-clerical,Wife,White,Female,2425.177,-0.9131221,33.285156,United-States,>50K
50.702915,Private,179498.08,Bachelors,12.971954,Married-civ-spouse,Exec-managerial,Husband,White,Male,3310.449,-1.9029902,45.44682,United-States,>50K
39.111244,Private,176665.75,Bachelors,12.465195,Never-married,Prof-specialty,Not-in-family,White,Female,3294.1301,1.593752,44.19139,United-States,>50K
34.78628,Private,188329.47,Some-college,10.01859,Married-civ-spouse,Exec-managerial,Husband,White,Male,877.8092,-1.5788325,45.446594,United-States,>50K
35.781048,Private,192443.2,Masters,13.868761,Married-civ-spouse,Craft-repair,Husband,White,Male,2328.3164,-3.863226,46.87544,United-States,>50K
51.37273,Private,182026.73,Masters,13.481652,Married-civ-spouse,Exec-managerial,Husband,White,Male,3041.5598,-4.2680416,46.133297,United-States,>50K
43.69406,Private,173517.38,Some-college,12.111316,Never-married,Craft-repair,Not-in-family,White,Male,66.30522,2176.0974,43.43453,United-States,>50K
43.852814,Private,173218.72,9th,9.938605,Married-civ-spouse,Sales,Wife,White,Female,2088.9026,-1.6445826,40.330074,United-States,>50K
48.042446,Private,186426.73,HS-grad,10.338557,Married-civ-spouse,Sales,Husband,White,Male,84.1237,1911.3387,43.504482,United-States,>50K
52.640064,Private,176983.16,HS-grad,9.95099,Married-civ-spouse,Sales,Husband,White,Male,1795.5763,-2.0669765,43.823956,United-States,>50K
48.047142,Private,173686.5,HS-grad,9.2387085,Married-civ-spouse,Adm-clerical,Husband,White,Male,853.6794,0.8936406,41.91797,United-States,>50K
45.401115,State-gov,184322.92,Bachelors,12.350388,Married-civ-spouse,Prof-specialty,Husband,White,Male,1431.6986,0.5616475,41.45597,United-States,>50K
51.759556,Private,186253.83,Bachelors,12.705965,Married-civ-spouse,Prof-specialty,Husband,White,Male,1977.9856,-0.22046463,42.480877,United-States,>50K
35.575497,Private,194784.27,9th,10.498019,Married-civ-spouse,Exec-managerial,Husband,White,Male,95.3546,1900.8938,45.747654,United-States,>50K
34.654,Private,190573.36,Bachelors,11.7933855,Married-civ-spouse,Sales,Husband,White,Male,1920.7832,-2.6862469,46.855076,United-States,>50K
46.25393,Private,180847.89,Bachelors,11.831353,Married-civ-spouse,Exec-managerial,Husband,White,Male,73.28044,1938.3834,45.621456,United-States,>50K
51.889168,Private,166960.62,Masters,14.6332035,Married-civ-spouse,Prof-specialty,Husband,White,Male,2644.5564,-5.7560024,43.989574,United-States,>50K
34.61071,Private,183528.83,Bachelors,12.706549,Married-civ-spouse,Prof-specialty,Husband,White,Male,1917.276,-0.32252303,45.177612,United-States,>50K
52.457325,Private,168425.6,HS-grad,8.896984,Married-civ-spouse,Craft-repair,Husband,White,Male,1433.3391,-0.85330003,42.860523,United-States,>50K
51.341038,Private,177600.86,Some-college,11.445984,Divorced,Craft-repair,Not-in-family,White,Male,3656.018,-0.08418839,45.38353,United-States,>50K
33.867466,Private,177397.58,Bachelors,12.485198,Married-civ-spouse,Prof-specialty,Wife,White,Female,1642.6975,-0.3139247,38.82232,United-States,>50K
51.76211,Private,191334.03,Masters,14.392169,Never-married,Prof-specialty,Not-in-family,White,Male,7190.3755,-5.621443,45.052937,United-States,>50K
34.498745,Private,184670.66,HS-grad,8.958783,Married-civ-spouse,Craft-repair,Husband,White,Male,1493.9854,-0.87661546,45.666172,United-States,>50K
56.022392,Self-emp-not-inc,169188.9,Bachelors,11.50825,Married-civ-spouse,Craft-repair,Husband,White,Male,2135.6858,-4.227331,41.039337,United-States,>50K
51.927,Private,186591.23,Bachelors,11.552079,Married-civ-spouse,Sales,Husband,White,Male,2966.1577,-3.169424,44.636063,United-States,>50K
32.55641,Private,190708.0,Bachelors,12.34428,Never-married,Armed-Forces,Not-in-family,White,Male,4006.937,-0.41178694,46.242603,United-States,>50K
