age,workclass,fnlwgt,education,education-num,marital-status,occupation,relationship,race,sex,capital-gain,capital-loss,hours-per-week,native-country,income
44.6546,Self-emp-inc,161959.38,HS-grad,10.0191,Married-civ-spouse,Farming-fishing,Husband,White,Male,221.77129,-14.477125,44.920067,United-States,<=50K
23.001982,?,183353.2,HS-grad,9.829651,Never-married,?,Own-child,White,Female,68.053696,-6.1202984,31.607742,United-States,<=50K
37.572872,Private,170007.06,HS-grad,9.902692,Married-civ-spouse,Exec-managerial,Wife,White,Female,232.81084,-10.63233,34.51674,United-States,<=50K
54.73374,Private,171051.86,HS-grad,9.556151,Married-civ-spouse,Craft-repair,Husband,White,Male,182.35478,-5.3959103,39.905037,United-States,<=50K
43.09152,Private,168331.64,HS-grad,10.061974,Divorced,Exec-managerial,Unmarried,White,Female,97.41118,-13.722731,38.431034,United-States,<=50K
32.731064,Private,192907.92,Bachelors,13.026689,Never-married,Prof-specialty,Not-in-family,White,Male,137.20091,-11.796507,40.958843,United-States,<=50K
53.837288,Private,176789.58,7th-8th,4.6217093,Married-civ-spouse,Sales,Husband,White,Male,221.8192,-3.4884243,38.202744,United-States,<=50K
35.264977,Private,99819.52,HS-grad,9.847208,Married-civ-spouse,Craft-repair,Husband,White,Male,116.93858,-3.8227062,47.17663,United-States,<=50K
59.011566,Private,176561.33,HS-grad,9.8092165,Married-civ-spouse,?,Husband,White,Male,181.56847,-10.160429,30.279163,United-States,<=50K
25.669579,Private,189827.66,12th,8.031725,Never-married,Other-service,Own-child,White,Male,153.35454,-8.031607,31.110952,United-States,<=50K
35.991695,Local-gov,192309.45,HS-grad,9.791544,Divorced,Protective-serv,Husband,White,Male,162.86247,-15.832624,40.65971,United-States,<=50K
25.984644,Private,187736.34,HS-grad,9.749108,Never-married,Exec-managerial,Not-in-family,White,Female,105.34483,-8.25466,36.978348,United-States,<=50K
21.356256,Private,181380.9,11th,6.5413146,Never-married,Tech-support,Own-child,White,Female,147.1165,-15.311789,25.430498,United-States,<=50K
25.712896,Private,193456.42,HS-grad,9.693655,Never-married,Sales,Own-child,White,Male,51.771465,-3.7988186,37.98115,United-States,<=50K
37.265007,Private,179454.47,HS-grad,9.534021,Never-married,Transport-moving,Not-in-family,White,Male,117.51903,-3.793272,44.260796,United-States,<=50K
