fLength,fWidth,fSize,fConc,fConc1,fAsym,fM3Long,fM3Trans,fAlpha,fDist,class
21.57541,8.259639,2.3984926,0.61744106,0.3499162,-29.899517,-21.21704,-1.8841715,11.540309,202.36893,g
28.345293,25.020283,3.26813,0.22319065,0.1294446,26.421741,23.91772,-16.707273,8.157416,132.14252,g
87.031624,21.706001,3.1830194,0.1984492,0.1315478,-74.18937,53.254524,-17.802694,7.3461256,275.83975,g
20.393034,7.9518676,2.3209348,0.6422649,0.39506173,0.20169699,-5.672836,-3.432483,34.79039,200.24692,g
24.641205,13.506353,2.674981,0.3830519,0.18614464,34.100933,10.61589,11.479202,9.827554,226.57875,g
85.48615,47.25309,3.4932756,0.17689866,0.11743279,47.070477,71.073654,27.359642,8.732533,161.19914,g
21.2274,9.048218,2.437965,0.5657193,0.29564598,-34.1141,-17.429155,-2.3188815,10.526395,123.97791,g
95.88183,43.64469,3.5923123,0.14510956,0.10902451,53.801315,83.54089,-25.511724,4.4316607,279.22186,g
26.849903,12.965309,2.4775717,0.49282178,0.2576125,-31.75475,-22.757929,-1.8577721,63.889427,120.45066,g
24.232944,16.459688,2.8044589,0.32142398,0.15446663,37.524635,12.12803,12.290245,9.150872,139.79605,g
80.74685,24.28586,3.3778174,0.1751483,0.11902756,58.597958,69.33803,-19.07115,4.679509,271.26907,g
19.179228,7.799375,2.3062894,0.6464845,0.3969732,-5.6080613,-9.093357,-3.134508,71.36363,101.10836,g
80.11744,15.057423,2.8535838,0.27441546,0.14697878,64.75435,59.835423,-5.145407,6.1175184,263.86462,g
21.863728,9.797622,2.4805536,0.5295848,0.28875634,29.311049,13.147209,-6.1493855,9.06829,212.0026,g
28.075836,14.931349,2.8210793,0.29420733,0.15028892,41.355328,24.35154,-14.193017,8.012586,151.50352,g
31.561478,20.401888,2.7718542,0.31709132,0.1566417,-14.496911,-20.43028,-8.524232,65.02185,115.806755,g
77.54944,14.119843,2.7582889,0.32118595,0.17658558,-77.33471,40.04644,-7.2673154,8.61287,267.96002,g
101.937294,36.283978,3.5075946,0.18034405,0.12384199,-71.15572,63.364243,21.023005,8.052625,280.95007,g
26.534777,13.761639,2.6749077,0.36728147,0.16652192,-34.348843,-13.035717,-2.6481156,10.257276,132.25792,g
21.995407,11.503971,2.439892,0.53766793,0.2879402,8.209881,-1.970452,1.4642109,29.750519,212.0303,g
20.637499,12.086752,2.4915888,0.4928728,0.2568722,15.545191,5.3965354,-4.0398073,29.85881,116.20568,g
21.76468,8.539278,2.3352551,0.6307909,0.3712649,-3.8068857,-10.041262,-9.07628,69.26319,196.84831,g
86.91931,18.037308,2.7114618,0.47147763,0.269607,-70.24277,-41.36707,0.28119272,10.445481,274.3691,g
96.86489,39.681183,3.5465531,0.16703892,0.11630568,51.704292,75.49163,20.07513,5.953391,273.759,g
87.332535,22.667902,3.1453679,0.22614834,0.13939837,-74.09344,45.611786,17.684332,8.726974,270.58844,g
34.58182,16.929207,2.8556838,0.31042743,0.15349688,-16.98278,-29.838926,15.993258,11.259484,211.45267,g
63.96479,33.25754,3.4892585,0.17224903,0.11699974,46.859768,63.36449,-20.78044,5.6489534,174.40971,g
31.491632,25.045982,3.2615576,0.23858602,0.13306665,27.573177,20.066767,14.888863,8.861836,143.00809,g
17.996271,7.7036033,2.358559,0.6233637,0.3725225,18.448889,4.0414605,-2.5032935,10.58298,209.96791,g
86.22711,31.3064,3.4288561,0.20463666,0.13269742,16.56253,28.208275,-18.81626,6.9431467,289.8262,g
21.856403,9.69583,2.3457177,0.6355787,0.372089,1.202089,-11.728657,11.719435,71.90825,187.56119,g
27.294037,15.674545,2.8219216,0.27765137,0.14952363,35.472218,3.1851227,-12.6029825,8.865546,231.5697,g
96.93128,30.795897,3.3133607,0.2475804,0.14253424,-57.38117,-49.99315,4.290853,9.929494,276.88235,g
17.859869,9.467078,2.4413903,0.5660175,0.31060785,20.3478,11.643124,-5.4858713,9.158513,123.63991,g
19.897528,12.177593,2.5816545,0.43520442,0.21417272,24.6223,6.8714557,10.283186,9.516282,138.44725,g
23.364767,18.843145,2.7506828,0.33748308,0.16168815,19.244518,7.5330844,-4.7209735,28.787306,112.25517,g
19.376245,8.33552,2.3408792,0.6254926,0.37251702,1.7546102,-1.9371907,-1.706766,37.91067,111.25925,g
40.20318,17.051502,2.9190753,0.27578,0.14700083,-27.22769,-27.775202,-11.653646,10.011832,219.22931,g
23.117355,11.940725,2.6359527,0.3916612,0.19991194,33.42633,14.252003,-12.637528,9.015389,229.78236,g
99.50918,35.795204,3.5333426,0.16020615,0.11838737,-72.465744,68.41297,-22.204493,6.3933096,289.31284,g
19.066198,12.218291,2.5949779,0.41043505,0.20031613,25.686243,9.234185,-13.58169,8.692754,132.02577,g
42.671745,18.515608,3.1700978,0.21939325,0.13238965,38.610596,33.002647,-14.749489,7.259284,244.42963,g
41.44591,31.729702,3.2037625,0.25203133,0.13624693,18.728554,9.967275,1.776169,64.11879,106.67718,g
24.367811,11.564682,2.571777,0.43159994,0.21829847,-26.714167,-18.436626,-2.2012506,10.862361,211.61812,g
21.060106,16.259281,2.6135921,0.41005886,0.19484973,18.14341,6.4030156,-1.5225912,66.024216,97.558716,g
73.73899,25.183212,3.3701227,0.20350981,0.12800705,44.801323,51.698227,15.144313,6.9202814,263.0082,g
19.798388,11.235441,2.4096007,0.5788713,0.3176081,9.929798,-0.22135608,-1.3203223,68.060486,103.19193,g
16.177988,6.8129725,2.3238876,0.6321776,0.39021394,5.429052,2.6906855,-4.9163485,10.185309,112.025345,g
26.184496,17.094843,2.6197972,0.38564524,0.18790016,14.671495,-3.015372,2.3898282,53.34984,206.28867,g
35.08472,18.544518,3.0668185,0.25417337,0.14036033,38.67627,11.719771,13.927111,8.998837,229.59694,g
101.56805,39.227318,3.2766294,0.20765816,0.12817307,54.615543,69.83081,24.766579,13.086372,261.85492,h
23.267544,8.581511,2.4067075,0.6416042,0.38569656,-4.1369653,-11.384916,0.24600181,72.27067,215.16783,h
97.85324,52.786144,3.3779569,0.25077102,0.14000493,12.012138,-54.44973,37.530937,16.192314,248.45802,h
121.03231,66.83959,3.4366188,0.1464244,0.115192614,55.914093,93.95742,-34.032333,62.37469,254.95485,h
115.52071,23.652346,2.991333,0.28635398,0.16931057,-91.14168,59.84132,-2.65393,60.948776,251.30528,h
122.18997,47.841816,3.3217466,0.22559376,0.1437636,-81.49947,-66.35931,-21.437017,54.440838,259.01883,h
31.774757,15.323442,2.72983,0.38435945,0.17561156,-26.634008,-24.0978,-3.6672993,13.895494,119.35455,h
130.59204,67.68491,3.370947,0.17813055,0.12738964,-105.33316,80.40089,44.314373,41.736477,242.04619,h
130.21971,59.661217,3.427467,0.23695806,0.14321217,-87.88086,-73.88597,42.03873,11.750083,267.47342,h
19.978304,8.074232,2.43462,0.6219578,0.3745171,0.13817036,-0.20356719,-1.4460062,34.953815,109.78389,h
98.30724,38.4384,3.265412,0.19559078,0.12800154,54.235455,63.87546,-23.727669,12.670891,271.9861,h
140.5046,67.23034,3.469758,0.22742,0.1379232,-98.62083,-77.72866,47.71968,66.818146,239.31432,h
51.494938,17.554,2.9684787,0.30068088,0.14639916,48.091267,22.094763,-2.3569489,11.769064,123.677986,h
105.67045,31.107092,3.173952,0.2655236,0.13746928,77.39594,-58.37667,-4.647912,51.582317,153.35898,h
19.204416,8.746421,2.4786503,0.6065477,0.36065274,11.98728,8.349039,-2.6627212,10.617351,219.95366,h
126.39943,70.55918,3.4460547,0.17156525,0.118311085,48.78433,89.20443,42.429363,62.42076,234.68344,h
35.914013,15.644704,2.8229733,0.33144212,0.15918596,13.087254,-8.361031,-3.2381876,66.791794,116.93239,h
107.313324,33.342987,3.1470582,0.27160835,0.14049652,-62.48799,-64.274864,4.2531495,12.155643,128.87389,h
27.19715,11.202658,2.545871,0.5066009,0.28140584,20.483025,5.734863,-2.2271404,68.18951,217.69455,h
135.60056,71.0541,3.5062504,0.17298052,0.123376675,-96.7132,-72.196495,-36.032753,14.053947,253.20685,h
54.67825,15.446579,2.973195,0.3005748,0.15771964,44.44474,35.137974,-2.0419848,9.897109,254.95403,h
26.768936,11.26389,2.607138,0.45276734,0.23586825,28.498735,13.8266945,-2.5979207,62.74687,120.78145,h
19.998587,8.345223,2.4244087,0.6227645,0.3697338,2.300139,-3.248575,-2.9715672,69.316666,95.75697,h
120.9471,30.081987,2.8706024,0.33720297,0.16110462,74.35605,93.256874,-14.68467,57.743702,148.15096,h
22.420107,8.892577,2.4508224,0.6148882,0.3664487,9.11574,3.7989576,-0.8963482,40.090878,211.10526,h
140.64975,79.08941,3.5085948,0.2129475,0.12208716,73.282585,-74.24781,52.285366,59.497253,218.19133,h
127.788895,73.05816,3.5457604,0.1777481,0.11734585,47.631104,-67.32234,-34.972565,59.7536,255.22484,h
38.98224,13.649505,2.691939,0.4075462,0.20489769,-32.192825,-27.360346,3.0744777,69.48329,219.71187,h
113.18921,56.49527,3.3943589,0.15351185,0.109770015,57.21316,92.89344,-26.870419,13.78954,127.21118,h
114.52583,20.042015,2.79305,0.39024395,0.1913145,-72.6981,-72.344406,-2.3590598,66.40735,138.6905,h
17.665998,7.4792514,2.4291935,0.6219848,0.37649715,1.299831,2.0861475,-4.0236297,9.998155,120.129456,h
113.69697,40.944164,3.3057444,0.2568362,0.15726611,-69.36824,-64.72525,-18.664576,10.630782,284.831,h
73.16722,22.702198,3.1286101,0.2362762,0.13363846,40.151173,43.983643,-11.540317,60.47494,121.39514,h
143.39745,75.865486,3.5157318,0.18532069,0.13216665,-104.944786,-80.99289,-36.219532,65.07526,273.15134,h
114.232635,25.414442,2.8222399,0.5215992,0.30337888,-81.34261,-58.40609,0.8399488,14.094902,268.37445,h
100.332924,27.271324,3.2107112,0.20839386,0.13849464,-81.17471,56.338387,-19.070906,14.504628,279.42017,h
86.07753,25.432425,3.1050966,0.25747105,0.13758507,-59.152824,-7.292995,4.8022776,63.008766,119.90563,h
106.40119,39.906475,3.184572,0.26849106,0.15367629,-70.95585,-40.02922,32.1907,60.024086,243.57527,h
40.14231,15.981015,2.8237848,0.31898093,0.16500446,34.836174,11.04004,-5.0551305,64.634346,232.68683,h
28.026403,12.21823,2.595719,0.4726247,0.24547206,-28.522293,-20.92362,2.691281,68.288536,113.40843,h
151.2432,90.14309,3.5477822,0.20588288,0.12322088,-108.66453,-85.16876,63.809574,47.19085,231.31462,h
87.344444,28.337,3.1914918,0.23151183,0.13621047,46.435005,45.89408,15.854932,65.53749,232.99045,h
131.2332,68.376236,3.416864,0.15201114,0.12771678,-104.48472,91.06133,-35.00467,61.319164,259.90732,h
144.05032,67.35519,3.5286183,0.18853922,0.122044794,-100.616135,-76.29823,-32.62651,67.33675,139.60313,h
24.256712,11.966098,2.6673627,0.41052377,0.21418427,29.480291,15.370996,-3.0541134,15.463881,227.85966,h
108.30602,35.44996,3.174861,0.23270193,0.14440267,-82.467995,57.856777,22.930191,10.221625,269.88168,h
128.29675,55.49407,3.3510647,0.16103597,0.12688743,-113.52091,94.41642,-26.674597,9.447543,236.71681,h
22.463818,9.007443,2.4347699,0.6231821,0.3653599,-5.6637735,-10.899193,-0.5783484,72.385414,149.84904,h
22.224588,11.036159,2.6187108,0.4895715,0.25592825,27.707678,19.557236,-5.6267223,10.881026,124.23378,h
41.602665,17.527348,2.8164296,0.3606304,0.18232065,-44.697395,-16.099417,-2.262804,11.932805,239.8219,h
