fLength,fWidth,fSize,fConc,fConc1,fAsym,fM3Long,fM3Trans,fAlpha,fDist,class
16.955881,8.562084,2.238026,0.7843035,0.51492035,4.1391654,1.8267645,0.19407572,19.33654,171.88826,g
103.87994,23.719398,3.0578117,0.22314507,0.12152939,80.91086,92.31541,-6.727287,6.3316355,243.12192,g
36.14217,16.601086,2.6819558,0.34418225,0.18945096,-3.7873807,-21.391718,0.67687845,7.620963,193.37662,g
70.41214,25.665066,3.3871229,0.18187883,0.09856067,40.15328,60.635353,-14.761938,4.336566,231.0555,g
21.894253,13.344901,2.380356,0.5213403,0.28747606,3.8999267,0.21305974,1.3043779,80.26143,185.90414,g
30.019566,17.988573,2.6727173,0.36748546,0.2012733,6.749949,9.588949,1.2026641,50.243473,79.05251,g
30.472178,15.085671,2.5895143,0.40538174,0.22246623,13.326874,10.983608,2.3411326,7.339135,123.00603,g
24.304693,11.052189,2.3769622,0.58383524,0.33511755,6.6598496,2.555332,-0.6758946,11.354745,200.46446,g
104.23206,51.95349,4.1185455,0.08895389,0.048539408,-8.011201,77.68078,32.333267,3.9488819,273.4281,g
89.44435,37.05333,3.892715,0.124299206,0.066251464,50.60654,77.89138,-19.956263,3.9584358,254.9838,g
42.73308,23.209993,3.0941992,0.229437,0.12585461,19.55087,25.25584,13.20072,10.40478,152.95288,g
26.154835,14.0214615,2.4954095,0.45828584,0.2532025,6.369061,4.3482575,0.5364927,26.892164,182.69336,g
17.399668,9.040585,2.1735926,0.74643487,0.44041395,1.3195268,-0.36530083,0.44372645,59.03609,93.36152,g
115.22286,22.236792,2.866545,0.27591032,0.1560742,-160.95612,80.98689,2.9271154,9.790601,253.84279,g
28.440874,16.372131,2.625338,0.39032412,0.21428871,1.1716906,-1.4549242,-0.86093706,23.529161,102.63271,g
21.455395,12.085797,2.3565965,0.5744083,0.32497045,1.6266099,-0.5933787,1.3299733,68.908714,82.7263,g
82.45386,33.72677,3.762284,0.13271755,0.07269382,51.455547,73.413216,19.83642,4.958173,219.446,g
47.789135,21.229496,3.0112188,0.23380034,0.12699114,-0.8665458,-26.315706,1.439238,6.2437696,199.39812,g
71.32684,24.93619,3.1230757,0.2523848,0.14495781,-51.310257,44.72712,17.417723,4.9583864,292.7782,g
87.45641,31.812294,3.5678544,0.18268651,0.10345106,-44.97708,60.69477,19.02976,3.2029445,309.9755,g
21.3958,11.051524,2.3308358,0.586356,0.3291497,5.171944,1.9315027,0.16278459,36.521263,187.66048,g
79.806046,21.891521,2.7883391,0.40185246,0.23253833,-57.683784,-48.35475,1.6471648,5.9024057,304.54,g
27.113657,12.864163,2.4738958,0.47906873,0.2661,-1.1082398,-3.3991907,-0.43861398,6.976878,183.0711,g
78.60425,27.855417,3.2762449,0.2465546,0.14206454,-24.24342,50.62681,-18.701584,3.7901714,319.2325,g
23.85083,11.811116,2.37943,0.5456598,0.30542743,0.9613234,0.4246896,0.25555828,11.136899,111.96242,g
19.705973,8.393292,2.1968415,0.70923126,0.40376717,4.061622,1.4489359,0.6562387,9.241908,159.73944,g
157.69408,136.59665,4.6345325,0.04440016,0.011578732,56.647858,-7.64784,61.059006,60.269253,188.33957,g
